FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Lance Thomas,Nyk,PF,26,40,26,54.2,18.1,0.142,66,0.742,295,0.441,21,0.333,0.478,8.3,3,6.7,1.2,7.9,0.65,0.2,4.8
Lance Thomas,Okc,PF,26,22,20.5,42.7,15.3,0.108,33,0.697,125,0.36,1,0,0.402,5.1,3.4,8.9,0.9,6.3,0.5,0,4.9
Landry Fields,Tor,SF,26,26,8.3,17.3,10.9,0.155,6,0.833,39,0.487,2,0.5,0.527,1.8,1,6.9,0.6,10,0.42,0,4.9
Langston Galloway,Nyk,PG,23,45,32.4,67.5,19.4,0.101,78,0.808,335,0.424,176,0.352,0.489,11.8,4.2,7.5,3.3,17.6,1.13,0.27,6.8
Larry Drew,Phi,PG,24,12,18.3,38,17.1,0.296,3,0.667,32,0.5,26,0.154,0.388,3.8,1.3,3.7,3.8,33.8,0.5,0,5.8
Larry Sanders,Mil,C,26,27,21.7,45.2,17.3,0.127,48,0.5,172,0.5,0,0,0.507,7.3,6.1,16.2,0.9,6.3,0.96,1.44,6.3
Lavoy Allen,Ind,PF,25,63,17,35.4,15.4,0.111,47,0.702,299,0.472,0,0,0.493,5,5.1,16.7,1.2,10.9,0.24,0.67,7.4
Leandro Barbosa,Gol,SG,32,66,14.9,31,20.8,0.095,74,0.784,274,0.511,112,0.384,0.558,7.1,1.4,5,1.5,14.9,0.62,0.12,6.6
LeBron James,Cle,SF,30,69,36.1,75.3,32.9,0.152,528,0.71,940,0.536,340,0.353,0.576,25.3,6.1,9.6,7.4,38.6,1.58,0.71,11.6
Lester Hudson,Lac,SG,30,5,11.1,23.2,15.4,0.16,4,0.75,8,0.375,6,0.5,0.571,3.6,1.6,8.1,1,12.7,1.2,0.2,6.5
Lorenzo Brown,Min,PG,24,29,18.9,39.4,13.1,0.187,19,0.632,94,0.489,28,0.214,0.468,4.2,2.4,7.3,3.1,24.9,0.97,0.21,6.7
Lou Amundson,Cle,PF,32,12,6.6,13.8,11.1,0.26,5,0.6,12,0.333,0,0,0.387,0.9,1.7,14.5,0.4,8.6,0.08,0,5.1
Lou Amundson,Nyk,PF,32,41,20.9,43.6,18.3,0.17,82,0.463,242,0.434,1,0,0.444,6,6,16.7,1.6,12.6,0.51,1.27,7.4
Lou Williams,Tor,SG,28,80,25.2,52.5,27.3,0.084,395,0.861,481,0.464,447,0.34,0.564,15.5,1.9,4.3,2.1,13.6,1.1,0.13,6.3
Luc Mbah a Moute,Phi,PF,28,67,28.6,59.6,18.7,0.123,163,0.589,434,0.435,202,0.307,0.466,9.9,4.9,9.3,1.6,9.8,1.21,0.31,6
Luis Scola,Ind,PF,34,81,20.5,42.7,23.1,0.113,226,0.699,622,0.474,20,0.25,0.515,9.4,6.5,17.6,1.3,11,0.58,0.22,8.4
Luke Babbitt,Nor,SF,25,63,13.2,27.4,12.7,0.115,19,0.684,77,0.429,115,0.513,0.639,4.1,1.8,7.6,0.4,4.3,0.27,0.17,4.3
Luke Ridnour,Orl,PG,33,47,14.5,30.3,15.1,0.17,21,0.857,113,0.487,63,0.317,0.507,4,1.4,5.6,2,21,0.43,0.09,6.2
Luol Deng,Mia,SF,29,72,33.6,70,19.9,0.107,251,0.761,567,0.513,221,0.353,0.56,14,5.2,9.3,1.9,9.9,0.92,0.31,6.2
Malcolm Thomas,Phi,PF,26,17,11.4,23.8,13.4,0.221,13,0.692,33,0.545,7,0,0.492,2.6,3.3,15.6,0.4,6,0.18,0.06,5.3
Manu Ginobili,San,SG,37,70,22.7,47.2,24.2,0.185,204,0.721,331,0.489,258,0.345,0.544,10.5,3,7.5,4.2,28.6,0.96,0.29,9
Marc Gasol,Mem,C,30,81,33.2,69.1,25,0.121,440,0.795,1055,0.5,17,0.176,0.558,17.4,7.8,13.4,3.8,19.7,0.88,1.62,9.7
Marcin Gortat,Was,C,30,82,29.9,62.3,17.9,0.105,175,0.703,772,0.569,3,0,0.587,12.2,8.7,16.5,1.2,6.5,0.6,1.34,6.7
Marco Belinelli,San,SG,28,62,22.4,46.7,19.1,0.106,99,0.848,240,0.471,230,0.374,0.553,9.2,2.5,6.4,1.5,10.3,0.5,0.05,5.8
Marcus Morris,Pho,PF,25,81,25.2,52.6,19.4,0.082,113,0.628,450,0.487,313,0.358,0.52,10.4,4.8,10.3,1.6,10.2,0.78,0.2,6.8
Marcus Smart,Bos,PG,20,67,27,56.2,15.3,0.144,127,0.646,205,0.41,272,0.335,0.491,7.8,3.3,6.7,3.1,16.3,1.48,0.27,6.4
Marcus Thornton,Bos,SG,27,39,16.4,34.2,24.2,0.063,51,0.824,181,0.414,124,0.419,0.531,8.9,1.9,6.2,0.9,8.8,0.54,0.18,6
Marcus Thornton,Pho,SG,27,9,8.9,18.6,26.2,0.106,5,0.8,21,0.524,19,0.105,0.379,3.6,1.4,8.8,0.2,3.9,0.67,0,4.5
Mario Chalmers,Mia,PG,28,80,29.6,61.7,19.2,0.182,266,0.774,415,0.467,248,0.294,0.521,10.2,2.6,5.2,3.8,21,1.53,0.13,6.3
Markel Brown,Bro,SG,23,47,16.6,34.6,15.5,0.103,57,0.825,146,0.404,64,0.266,0.459,4.6,2.3,7.7,0.8,7.4,0.66,0.26,4.9
Markieff Morris,Pho,PF,25,82,31.5,65.6,23.8,0.124,232,0.763,921,0.494,179,0.318,0.523,15.3,6.2,10.7,2.3,12.3,1.23,0.48,7.6
Marreese Speights,Gol,PF,27,76,15.9,33.1,29.5,0.102,178,0.843,628,0.498,18,0.278,0.546,10.4,4.3,14.5,1,10.1,0.26,0.45,8.9
Martell Webster,Was,SF,28,32,11,22.9,18.4,0.157,64,0.75,48,0.292,42,0.238,0.449,3.3,1.4,7.4,0.5,6.7,0.22,0.03,4.8
Marvin Williams,Cha,PF,28,78,26.1,54.3,13.5,0.101,87,0.713,230,0.5,265,0.358,0.541,7.4,4.9,10.4,1.3,7.8,0.88,0.46,5.5
Mason Plumlee,Bro,C,24,82,21.3,44.3,19.5,0.144,317,0.495,486,0.576,3,0,0.57,8.7,6.2,16.5,0.9,7,0.79,0.77,6.9
Matt Barnes,Lac,SF,34,76,29.9,62.3,15.2,0.116,95,0.779,248,0.569,376,0.362,0.574,10.1,4,7.5,1.5,7.2,0.88,0.66,5.3
Matt Bonner,San,PF,34,72,13,27.1,12.7,0.043,37,0.811,104,0.462,126,0.365,0.536,3.7,1.6,7,0.7,7.1,0.14,0.17,4.9
Matthew Dellavedova,Cle,SG,24,67,20.6,42.9,12.8,0.159,38,0.763,140,0.307,167,0.407,0.493,4.8,1.9,5.2,3,21.1,0.36,0.03,5.9
Maurice Harkless,Orl,SF,21,45,15,31.2,13.9,0.133,41,0.537,102,0.52,56,0.179,0.449,3.5,2.4,8.9,0.6,5.4,0.71,0.2,4.6
Meyers Leonard,Por,C,22,55,15.4,32.1,15.9,0.131,32,0.938,133,0.586,112,0.42,0.631,5.9,4.5,15.8,0.6,5.8,0.18,0.25,6.5
