FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Ricky Rubio,Min,PG,24,22,31.5,65.5,20.3,0.204,71,0.803,168,0.387,51,0.255,0.452,10.3,5.7,10.3,8.8,43.5,1.82,0.05,10.2
Robbie Hummel,Min,SF,25,45,16.5,34.3,12.2,0.089,29,0.828,121,0.521,51,0.314,0.536,4.4,3,10.3,0.6,5.6,0.36,0.2,4.8
Robert Covington,Phi,SF,24,70,27.9,58.2,22.2,0.131,217,0.82,310,0.426,446,0.374,0.554,13.5,4.5,8.8,1.5,9.8,1.39,0.44,6.5
Robert Sacre,Lal,C,25,67,16.9,35.2,15,0.095,82,0.671,305,0.413,1,0,0.449,4.6,3.5,11.3,0.8,7.4,0.42,0.64,5.5
Robin Lopez,Por,C,26,59,27.8,57.8,15.6,0.129,127,0.772,436,0.537,1,0,0.574,9.6,6.7,12.9,0.9,5.1,0.27,1.42,5.6
Rodney Hood,Uta,SG,22,50,21.3,44.4,19.9,0.099,80,0.763,204,0.456,170,0.365,0.529,8.7,2.3,6.4,1.7,13.2,0.6,0.24,6.1
Rodney Stuckey,Ind,PG,28,71,26.4,55,23.6,0.122,216,0.819,613,0.452,141,0.39,0.528,12.6,3.5,7.3,3.1,20.2,0.79,0.14,7.8
Ronnie Price,Lal,PG,31,43,22.8,47.6,13.5,0.176,45,0.8,114,0.404,109,0.284,0.455,5.1,1.6,3.9,3.8,24.4,1.56,0.09,5.5
Ronny Turiaf,Min,C,32,2,9.7,20.2,0,,0,0,0,0,0,0,,0,0.5,3,1,13.7,0,0,0
Roy Hibbert,Ind,C,28,76,25.3,52.8,21.6,0.118,204,0.824,708,0.448,2,0,0.501,10.6,7.1,15.5,1.1,7.4,0.24,1.64,6.9
Rudy Gay,Sac,SF,28,68,35.4,73.8,27.4,0.124,393,0.858,896,0.479,220,0.359,0.556,21.1,5.9,9.4,3.7,19,1.04,0.6,8.7
Rudy Gobert,Uta,C,22,82,26.3,54.8,14.2,0.169,273,0.623,425,0.607,2,0,0.627,8.4,9.5,20.8,1.3,8.1,0.78,2.29,7.1
Russ Smith,Mem,PG,23,6,6,12.5,33.3,0.194,13,0.923,10,0.5,5,0.2,0.603,4.2,0.5,4.8,1,27.3,0.5,0,8.5
Russell Westbrook,Okc,PG,26,67,34.4,71.6,38.9,0.143,654,0.835,1183,0.457,288,0.299,0.536,28.1,7.3,11.4,8.6,47.1,2.09,0.21,14.1
Ryan Anderson,Nor,PF,26,61,27.5,57.2,23.8,0.072,151,0.854,370,0.457,359,0.34,0.524,13.7,4.9,10,0.9,5.4,0.54,0.33,5.7
Ryan Hollins,Sac,C,30,46,9.6,20,13.3,0.191,54,0.574,82,0.646,0,0,0.648,3,2.2,13.2,0.3,5,0.13,0.41,5.2
Ryan Kelly,Lal,PF,23,52,23.7,49.4,14.2,0.095,95,0.832,175,0.337,134,0.336,0.473,6.4,2.8,6.5,1.8,10.9,0.56,0.46,5.4
Samuel Dalembert,Nyk,C,33,32,17,35.4,15.3,0.219,20,0.7,130,0.438,0,0,0.461,4,5.3,17.8,0.9,8.6,0.44,1.28,6.3
Sean Kilpatrick,Min,SG,25,4,17.9,37.2,14.8,0.084,4,1,7,0.429,13,0.308,0.506,5.5,1.5,4.8,1,8.5,0.75,0,4.5
Sebastian Telfair,Okc,PG,29,16,20.4,42.6,21.1,0.114,34,0.706,65,0.431,60,0.3,0.479,8.4,1.9,4.9,2.8,20.8,0.63,0,7
Serge Ibaka,Okc,PF,25,64,33.1,68.9,19.2,0.104,110,0.836,581,0.511,205,0.376,0.549,14.3,7.8,12.6,0.9,4.2,0.47,2.42,5.6
Sergey Karasev,Bro,SG,21,33,16.8,35.1,14.6,0.137,38,0.763,80,0.475,54,0.296,0.508,4.6,2,6.7,1.4,12.3,0.7,0.03,5.6
Shabazz Muhammad,Min,SG,22,38,22.8,47.4,25.6,0.071,145,0.717,346,0.503,51,0.392,0.556,13.5,4.1,10.2,1.2,9.6,0.47,0.18,7.1
Shabazz Napier,Mia,PG,23,51,19.8,41.3,15.7,0.243,56,0.786,110,0.4,118,0.364,0.517,5.1,2.2,6.7,2.5,19.9,0.78,0.08,6.1
Shane Larkin,Nyk,PG,22,76,24.5,51.1,13.8,0.151,78,0.782,316,0.481,116,0.302,0.504,6.2,2.3,5.5,3,19.4,1.22,0.12,5.7
Shannon Brown,Mia,SG,29,5,17.8,37,13.3,0.162,4,0.75,12,0.333,7,0.429,0.482,4,0.2,0.7,0.6,5.2,0.8,0,1.8
Shaun Livingston,Gol,PG,29,78,18.8,39.2,16.2,0.19,91,0.714,394,0.503,2,0,0.529,5.9,2.3,6.7,3.3,24.2,0.63,0.26,7.6
Shavlik Randolph,Bos,PF,31,5,5,10.4,21.2,0.084,2,0.5,9,0.333,1,0,0.322,1.4,2.4,26.4,0.2,5.9,0.2,0.2,7
Shavlik Randolph,Pho,PF,31,16,6.3,13.2,13.8,0.064,10,0.5,21,0.286,4,0,0.289,1.1,1.6,14.1,0.2,4,0.25,0.13,4.5
Shawn Marion,Cle,SF,36,57,19.3,40.2,13.1,0.105,34,0.765,221,0.484,46,0.261,0.489,4.8,3.5,10.5,0.9,6.9,0.47,0.47,5.1
Shawne Williams,Mia,SF,28,44,21,43.7,14.3,0.083,33,0.848,88,0.477,152,0.395,0.574,6.6,3.2,9,0.8,6.3,0.48,0.39,4.9
Shawne Williams,Det,SF,28,19,8.6,17.9,19.3,0.1,7,1,34,0.441,26,0.154,0.388,2.6,1.4,9,0.4,7.6,0.21,0.21,5.3
Shayne Whittington,Ind,PF,23,20,5.4,11.3,24.2,0.088,23,0.783,36,0.5,6,0.167,0.547,2.9,1.5,14.8,0.3,9.6,0.25,0.1,8.1
Shelvin Mack,Atl,PG,24,55,15.1,31.5,19.8,0.138,31,0.806,165,0.467,127,0.315,0.489,5.4,1.4,5.4,2.8,28.6,0.53,0.04,7.3
Solomon Hill,Ind,SF,23,82,29,60.5,16,0.137,193,0.824,426,0.43,208,0.327,0.507,8.9,3.8,7.3,2.2,11.9,0.8,0.22,5.8
Spencer Dinwiddie,Det,PG,21,34,13.4,27.9,21.4,0.152,34,0.912,104,0.375,65,0.185,0.394,4.3,1.4,5.7,3.1,34.9,0.56,0.18,7.9
Spencer Hawes,Lac,PF,26,73,17.5,36.4,18.1,0.121,68,0.647,239,0.452,175,0.314,0.479,5.8,3.5,11.4,1.2,10,0.33,0.73,6.6
Stephen Curry,Gol,PG,26,80,32.7,68.1,29.4,0.143,337,0.914,695,0.528,646,0.443,0.638,23.8,4.3,7,7.7,38.6,2.04,0.2,11.3
Steve Blake,Por,PG,34,81,18.9,39.3,13.3,0.232,41,0.707,108,0.417,219,0.352,0.507,4.3,1.7,4.8,3.6,26.2,0.51,0.06,6.3
Steve Novak,Uta,SF,31,22,5,10.4,16.6,0.077,2,0,2,0,33,0.485,0.669,2.2,0.7,8.5,0.3,9.3,0,0.05,6.2
Steve Novak,Okc,SF,31,13,6.8,14.1,11.4,0.087,0,0,6,0.5,15,0.2,0.357,1.2,0.5,3.7,0.4,7.8,0,0.08,3.7
Steven Adams,Okc,C,21,70,25.3,52.7,14.5,0.168,205,0.502,397,0.547,2,0,0.549,7.7,7.5,15.8,0.9,5.4,0.54,1.23,5.9
Taj Gibson,Chi,PF,29,62,27.3,56.9,17.9,0.116,184,0.717,507,0.503,0,0,0.546,10.4,6.4,12.8,1.1,6.9,0.58,1.21,6.1
Tarik Black,Hou,C,23,25,15.7,32.7,12.9,0.166,29,0.517,82,0.549,1,0,0.548,4.2,5.1,17.9,0.3,3.1,0.24,0.08,4.7
Tarik Black,Lal,C,23,38,21.1,44,14.5,0.112,89,0.562,190,0.589,0,0,0.598,7.2,6.3,16.6,0.9,6.8,0.34,0.58,6.5
Tayshaun Prince,Bos,SF,34,9,22,45.9,14.7,0.061,6,0.833,51,0.549,8,0.625,0.616,8.4,3.3,8.3,2,14.3,0.56,0.22,6.9
Tayshaun Prince,Mem,SF,34,26,24.2,50.3,15.7,0.071,30,0.833,150,0.4,33,0.455,0.484,7.3,3.2,7.6,1.4,8.9,0.35,0.23,5.3
Tayshaun Prince,Det,SF,34,23,24.8,51.7,14.9,0.085,29,0.655,134,0.433,26,0.423,0.486,7.3,4.2,9.1,1.7,10.3,0.65,0.35,6
Terrence Jones,Hou,PF,23,33,27,56.2,18.7,0.098,94,0.606,262,0.553,37,0.351,0.567,11.7,6.7,13.7,1.1,6.9,0.55,1.79,6.5
Terrence Ross,Tor,SF,23,82,25.5,53.1,18.5,0.081,56,0.786,363,0.452,390,0.372,0.519,9.8,2.8,6.2,1,6.5,0.65,0.3,4.7
Thabo Sefolosha,Atl,SF,30,52,18.8,39.1,14.9,0.122,58,0.776,171,0.462,78,0.321,0.506,5.3,4.3,13.1,1.4,11.2,1.02,0.4,6.7
Thaddeus Young,Bro,PF,26,28,29.6,61.7,22.3,0.105,71,0.606,277,0.516,50,0.38,0.539,13.8,5.9,11.2,1.4,8,1.36,0.29,6.6
Thaddeus Young,Min,PF,26,48,33.4,69.6,21.5,0.097,129,0.682,576,0.469,65,0.292,0.491,14.3,5.1,8.7,2.8,14.7,1.77,0.35,7.1
Thomas Robinson,Por,PF,23,32,12.2,25.4,16.8,0.227,48,0.438,91,0.516,0,0,0.513,3.6,4.2,18.2,0.3,3.4,0.53,0.34,5.4
Thomas Robinson,Phi,PF,23,22,18.5,38.5,24,0.118,58,0.603,167,0.473,2,0,0.496,8.8,7.7,22.6,1.1,11.7,0.73,0.41,9.1
Tiago Splitter,San,C,30,52,19.8,41.3,18.6,0.144,120,0.75,303,0.558,0,0,0.601,8.2,4.8,13.9,1.5,11.8,0.67,0.71,7.9
Tim Duncan,San,PF,38,77,28.9,60.3,22.5,0.121,311,0.74,812,0.514,7,0.286,0.56,13.9,9.2,18,3,16.8,0.82,1.95,10.1
Tim Frazier,Phi,PG,24,6,28.6,59.5,17.5,0.266,15,0.333,32,0.313,11,0.273,0.343,5.7,3.2,6,7.2,40.3,1,0,7.1
Tim Frazier,Por,PG,24,5,13.6,28.3,18.4,0.253,6,0.833,12,0.5,6,0.333,0.557,4.6,1.8,7.1,3.4,36.6,0.4,0,8.9
Tim Hardaway Jr.,Nyk,SG,22,70,24,50,24.1,0.095,156,0.801,363,0.435,354,0.342,0.512,11.5,2.2,5.4,1.8,13.5,0.29,0.2,6
Timofey Mozgov,Cle,C,28,46,25,52,18.4,0.15,130,0.708,334,0.59,0,0,0.621,10.6,6.9,15.9,0.8,5.6,0.39,1.22,6.2
Timofey Mozgov,Den,C,28,35,25.6,53.4,15.5,0.148,86,0.733,226,0.509,6,0.333,0.554,8.5,7.8,16.4,0.5,2.7,0.43,1.17,5
TJ Warren,Pho,SF,21,40,15.4,32,18.1,0.108,19,0.737,193,0.56,21,0.238,0.551,6.1,2.1,7.6,0.6,6.6,0.45,0.23,5.1
Tobias Harris,Orl,SF,22,68,34.8,72.6,22.8,0.098,245,0.788,710,0.5,239,0.364,0.551,17.1,6.3,10.3,1.8,8.8,1.01,0.53,6.7
Toney Douglas,Nor,PG,28,12,14.7,30.7,17.6,0.15,13,0.615,33,0.424,18,0.278,0.45,4.3,1.8,7.1,2,20,0.92,0.33,6.8
Tony Allen,Mem,SG,33,63,26.2,54.5,16.8,0.144,126,0.627,426,0.505,29,0.345,0.528,8.6,4.4,9.7,1.4,8.1,2.03,0.48,5.7
Tony Parker,San,PG,32,68,28.7,59.8,24.8,0.139,166,0.783,743,0.493,89,0.427,0.539,14.4,1.9,3.7,4.9,28.7,0.65,0.03,7.1
Tony Snell,Chi,SF,23,72,19.6,40.9,14.3,0.108,55,0.8,174,0.494,197,0.371,0.55,6,2.4,6.8,0.9,6.8,0.44,0.15,4.8
Tony Wroten,Phi,SG,21,30,29.8,62.1,31,0.18,180,0.667,292,0.473,142,0.261,0.494,16.9,2.9,5.2,5.2,34.9,1.6,0.27,8.5
Travis Wear,Nyk,SF,24,51,13.2,27.4,17.8,0.137,26,0.769,179,0.408,30,0.367,0.451,3.9,2.1,9.1,0.8,9.9,0.29,0.22,5.7
Trevor Ariza,Hou,SF,29,82,35.7,74.4,16.7,0.127,143,0.853,355,0.485,555,0.35,0.539,12.8,5.6,8.6,2.5,11.1,1.85,0.21,6.3
Trevor Booker,Uta,PF,27,79,19.8,41.2,18.4,0.143,148,0.581,380,0.518,84,0.345,0.536,7.2,5,14.7,1.1,9,0.54,0.52,6.9
Trey Burke,Uta,PG,22,76,30.1,62.7,24.4,0.104,145,0.752,615,0.4,390,0.318,0.455,12.8,2.7,5.1,4.3,25,0.86,0.2,7
Tristan Thompson,Cle,PF,23,82,26.8,55.7,14.2,0.122,248,0.641,488,0.547,0,0,0.58,8.5,8,17.2,0.5,2.7,0.41,0.74,4.8
Troy Daniels,Hou,SG,23,17,6.4,13.3,21.9,0.093,4,0.75,4,0.5,43,0.302,0.472,2.7,0.4,3.1,0.2,5.9,0,0,3.8
Troy Daniels,Min,SG,23,19,8.1,16.9,19.7,0.118,2,1,20,0.3,39,0.333,0.443,2.8,1,7.1,0.7,13.4,0.16,0,6.2
Troy Daniels,Cha,SG,23,11,12.3,25.6,23.6,0.101,7,0.857,23,0.435,36,0.472,0.62,7,0.7,3.3,0.5,7,0.27,0.09,4.4
Ty Lawson,Den,PG,27,75,35.5,74,20.9,0.146,363,0.73,721,0.463,205,0.341,0.526,15.2,3.1,4.7,9.6,43,1.23,0.12,8.6
Tyler Ennis,Mil,PG,20,25,14.1,29.4,20.7,0.214,5,0.6,86,0.384,37,0.27,0.395,4,1.1,4.5,2.4,25.6,0.72,0.12,6.2
Tyler Ennis,Pho,PG,20,8,7.3,15.2,22.9,0.268,2,1,15,0.467,6,0.333,0.503,2.8,0.9,6.6,1.8,37.2,0,0.25,9.1
Tyler Hansbrough,Tor,PF,29,74,14.3,29.8,10.7,0.081,139,0.698,158,0.538,7,0.143,0.597,3.6,3.6,14.4,0.3,2.8,0.41,0.2,4.4
Tyler Johnson,Mia,SG,22,32,18.8,39.3,17.2,0.138,47,0.681,119,0.437,48,0.375,0.506,5.9,2.5,8.1,1.3,11.3,1.03,0.28,5.7
Tyler Zeller,Bos,C,25,82,21.1,44,19.9,0.099,186,0.823,617,0.551,0,0,0.596,10.2,5.7,14.7,1.4,10.8,0.22,0.63,8.2
Tyreke Evans,Nor,SF,25,79,34,70.9,26.6,0.16,291,0.694,938,0.482,227,0.304,0.508,16.6,5.3,8.8,6.6,32.7,1.27,0.47,9.8
Tyson Chandler,Dal,C,32,75,30.5,63.5,13.1,0.16,257,0.72,440,0.666,0,0,0.697,10.3,11.5,20.7,1.1,5.3,0.56,1.21,6.6
Udonis Haslem,Mia,PF,34,62,16,33.4,14.8,0.133,64,0.703,229,0.459,10,0.2,0.488,4.2,4.2,15.6,0.7,7.4,0.34,0.21,5.8
Vander Blue,Lal,SG,22,2,36.9,76.8,23.4,0.157,5,0.4,20,0.35,10,0.2,0.342,11,4.5,6.7,4,16.8,1.5,0,6.3
Victor Claver,Por,SF,26,10,7.6,15.8,14.3,0.167,0,0,9,0.333,11,0.545,0.6,2.4,2,14.1,0.1,1.9,0.1,0.1,4.1
Victor Oladipo,Orl,PG,22,72,35.7,74.4,25.6,0.143,320,0.819,838,0.464,248,0.339,0.527,17.9,4.2,6.6,4.1,19.3,1.67,0.26,7.6
Vince Carter,Mem,SG,38,66,16.5,34.4,20.2,0.091,57,0.789,174,0.379,232,0.297,0.445,5.8,2,7,1.2,11.1,0.65,0.21,5.8
Wayne Ellington,Lal,SG,27,65,25.8,53.7,18.7,0.072,64,0.813,374,0.439,243,0.37,0.504,10,3.2,6.9,1.6,10.2,0.51,0.03,5.8
Wesley Johnson,Lal,SF,27,76,29.5,61.5,16.6,0.105,112,0.804,432,0.451,259,0.351,0.509,9.9,4.2,7.8,1.6,8.6,0.78,0.59,5.5
Wesley Matthews,Por,SG,28,60,33.7,70.3,20.1,0.09,145,0.752,307,0.534,446,0.388,0.585,15.9,3.7,5.9,2.3,10.8,1.28,0.17,6.1
Will Barton,Por,SG,24,30,10,20.9,18.6,0.138,15,0.667,82,0.415,18,0.222,0.422,3,1.1,6.1,0.9,13.4,0.47,0.13,5.7
Will Barton,Den,SG,24,28,24.4,50.9,21.3,0.133,79,0.81,186,0.5,67,0.284,0.533,11,4.6,10.1,1.9,12.8,1.21,0.54,7.5
Will Bynum,Was,SG,32,7,9.5,19.9,28.2,0.196,4,0.5,22,0.455,9,0,0.336,3.1,0.9,5.1,2.6,42.4,0.14,0.14,8.2
Will Cherry,Cle,PG,23,8,8.7,18.1,17,0.156,6,0.5,10,0.3,9,0.222,0.347,1.9,0.6,4.1,1,16.3,0.75,0.13,4.8
Willie Green,Orl,SG,33,52,18.3,38.1,17.9,0.13,34,0.824,185,0.411,121,0.347,0.477,5.9,1.5,4.7,1.3,10.9,0.5,0.1,4.9
Wilson Chandler,Den,SF,27,78,31.7,66,20.4,0.096,142,0.775,569,0.49,406,0.342,0.523,13.9,6.1,10.4,1.7,8.9,0.74,0.37,6.6
Xavier Henry,Lal,SF,23,9,9.5,19.8,14,0.113,24,0.583,13,0.231,0,0,0.424,2.2,0.4,2.6,0.3,4.8,0.33,0,2.7
Zach LaVine,Min,PG,19,77,24.7,51.5,22.3,0.204,177,0.842,510,0.449,167,0.341,0.515,10.1,2.8,6.4,3.6,24,0.7,0.13,7.6
Zach Randolph,Mem,PF,33,71,32.4,67.6,24.7,0.129,298,0.765,912,0.49,20,0.35,0.538,16.1,10.5,18.5,2.2,11.4,0.97,0.2,8.9
Zaza Pachulia,Mil,C,30,73,23.7,49.4,19.4,0.182,160,0.788,526,0.456,3,0,0.506,8.3,6.8,16.5,2.4,16.2,1.1,0.29,8.7
Zoran Dragic,Mia,SG,25,10,6.2,12.9,21.6,0.179,2,0.5,13,0.462,9,0.333,0.481,2.2,0.5,4.9,0.4,11.1,0.2,0,4.9
