FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
A.J. Price,Ind,PG,25,44,12.7,26.1,17.9,0.145,35,0.8,86,0.384,88,0.295,0.454,3.9,1.4,6.1,2,24.4,7,0.45,0.05
Aaron Gray,Tor,C,27,49,16.4,33.8,13.6,0.219,47,0.532,161,0.516,0,0,0.526,3.9,5.7,20.5,0.6,5.5,5.8,0.45,0.35
Al Harrington,Den,PF,31,64,27.3,56.2,24.5,0.116,176,0.676,470,0.519,303,0.333,0.535,14.2,6.1,13,1.4,8.4,7.3,0.91,0.19
Al Horford,Atl,C,25,11,31.5,58.3,18,0.121,30,0.733,102,0.559,1,0,0.585,12.4,7,13.1,2.3,12.3,7.4,0.91,1.27
Al Jefferson,Uta,C,27,61,33.8,68.9,25.9,0.052,177,0.774,1044,0.493,4,0.25,0.52,19.2,9.6,16.3,2.2,12.3,8.8,0.77,1.66
Alan Anderson,Tor,SF,29,17,26.9,54.5,18.7,0.137,34,0.853,81,0.383,61,0.393,0.519,9.6,2,4.4,1.5,9.6,4.6,0.29,0.18
Alec Burks,Uta,SG,20,59,15.7,32,22.8,0.108,143,0.727,312,0.442,45,0.333,0.506,7.2,2.2,8.2,0.9,9.6,6.2,0.46,0.08
Al-Farouq Aminu,Nor,SF,21,66,22.2,45.9,16.3,0.18,114,0.754,317,0.429,47,0.277,0.479,6,4.7,12.5,1,7.3,5.5,0.89,0.52
Alonzo Gee,Cle,SF,24,63,28.8,59.5,18.7,0.149,210,0.786,414,0.442,137,0.321,0.515,10.5,5.1,10.1,1.8,10.6,6.4,1.32,0.27
Amare Stoudemire,Nyk,PF,29,47,32.6,67.4,25.6,0.128,243,0.765,634,0.491,21,0.238,0.54,17.5,7.8,13.8,1.1,6.1,6.5,0.81,0.96
Anderson Varejao,Cle,C,29,25,31.1,63.5,17.1,0.152,64,0.672,218,0.523,4,0,0.542,10.8,11.5,21,1.8,10.1,7.8,1.4,0.68
Andray Blatche,Was,PF,25,26,23.9,49.5,21.9,0.122,49,0.673,238,0.382,7,0.286,0.415,8.5,5.7,13.5,1.1,7.4,6.3,0.77,0.69
Andre Iguodala,Phi,SG,28,62,35.4,73.5,17.7,0.137,192,0.62,441,0.481,191,0.398,0.538,12.4,6.1,9.6,5.5,23.8,8.4,1.71,0.48
Andre Miller,Den,PG,35,66,27.2,56,20,0.22,169,0.811,469,0.478,83,0.217,0.51,9.7,3.3,7.2,6.7,36.9,8.8,0.95,0.14
Andrea Bargnani,Tor,C,26,31,33.1,67.9,28.9,0.11,173,0.873,369,0.474,115,0.296,0.538,19.5,5.5,9.8,1.9,11.5,7.1,0.58,0.48
Andrew Bogut,Mil,C,26,12,30.1,62.2,20.7,0.141,23,0.609,135,0.452,1,0,0.465,11.3,8.3,15.3,2.6,13.8,8.3,1,2
Andrew Bynum,Lal,C,24,60,35,71.8,23.9,0.139,338,0.692,791,0.56,5,0.2,0.594,18.7,11.8,18.9,1.4,7.4,7.7,0.45,1.93
Andrew Goudelock,Lal,SG,23,40,10.3,20.9,22.4,0.105,12,0.917,99,0.404,75,0.373,0.488,4.4,0.8,4.2,0.5,8.3,4.7,0.1,0
Andris Biedrins,Gol,C,25,47,15.5,32.1,5.2,0.171,9,0.111,64,0.609,0,0,0.581,1.7,3.7,13.7,0.3,3,3.2,0.49,0.96
Antawn Jamison,Cle,PF,35,65,32.9,68,26.3,0.072,271,0.683,777,0.425,267,0.341,0.481,17.2,6.3,10.8,2,12,7.3,0.78,0.65
