FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
Anthony Morrow,Njn,SG,26,62,26.2,54.4,21.8,0.089,104,0.933,374,0.444,285,0.372,0.53,12,2,4.5,1,6.9,4.4,0.74,0.15
Anthony Parker,Cle,SG,36,51,24.9,51.4,14.2,0.125,56,0.625,188,0.484,138,0.362,0.523,7.2,2.7,6.2,2.4,15.8,5.8,0.75,0.14
Anthony Randolph,Min,PF,22,34,15,30.9,24.2,0.144,84,0.762,199,0.472,1,0,0.532,7.4,3.6,13.4,0.6,6.7,6.7,0.38,1.03
Anthony Tolliver,Min,C,26,51,17.1,35.3,12.3,0.145,55,0.745,81,0.568,101,0.248,0.504,4.1,3,9.7,0.4,3.8,4,0.35,0.37
Armon Johnson,Tor,SG,22,64,24.1,49.7,14.4,0.2,84,0.69,335,0.579,5,0.4,0.6,7.1,6.4,15.5,1.2,8.8,6.3,0.52,1.08
Arron Afflalo,Den,SG,26,62,33.5,68.8,19.2,0.095,247,0.798,478,0.504,221,0.398,0.584,15.2,3.2,5.5,2.4,11.2,5.8,0.58,0.21
Austin Daye,Det,PF,23,41,14.5,29.9,22.2,0.14,43,0.814,165,0.364,62,0.21,0.394,4.7,2.2,9.1,0.8,9.3,5.6,0.54,0.51
Avery Bradley,Bos,SG,21,64,21.2,43.9,18.1,0.147,78,0.795,348,0.511,54,0.407,0.555,7.6,1.8,5,1.4,10.9,5,0.66,0.19
Baron Davis,Nyk,PG,32,29,20.3,41.7,20.6,0.281,24,0.667,99,0.424,85,0.306,0.457,6.1,1.9,5.5,4.7,36.6,7.5,1.14,0.1
Ben Gordon,Det,SG,28,52,26.7,55.1,23.5,0.163,136,0.86,383,0.446,147,0.429,0.549,12.5,2.3,5.2,2.4,16.7,6.1,0.65,0.21
Ben Wallace,Det,C,37,62,15.6,32.2,6.7,0.242,47,0.34,82,0.402,4,0.25,0.398,1.4,4.3,16.6,0.7,6.5,4.1,0.76,0.82
Ben Uzoh,Tor,PG,24,16,22.1,44.7,16.1,0.157,19,0.579,93,0.355,1,0,0.376,4.8,3.9,10.4,3.7,27,7.4,1,0.19
Beno Udrih,Mil,PG,29,59,18.1,37.6,17.9,0.178,55,0.709,273,0.473,59,0.288,0.488,5.9,1.7,5.3,3.8,32.6,7.4,0.63,0.02
Bill Walker,Nyk,SG,24,32,19.2,39.5,15.7,0.163,20,0.85,58,0.552,113,0.319,0.526,5.9,2.5,7.5,1.2,9.8,5.4,0.59,0.22
Bismack Biyombo,Cha,SF,19,63,22.9,47.6,13.2,0.172,143,0.483,278,0.464,0,0,0.48,5.2,5.8,14.6,0.4,3.1,4,0.32,1.83
Blake Griffin,Lac,PF,22,66,36.1,74.5,26.7,0.109,468,0.521,1005,0.556,16,0.125,0.557,20.7,10.9,17.9,3.2,16.7,9.9,0.83,0.74
Bobby Simmons,Lac,SF,31,28,14.7,30.1,11.5,0.097,7,0.571,30,0.267,60,0.333,0.43,2.9,2,7.9,0.4,3.8,3.6,0.54,0.11
Boris Diaw,Cha,PF,29,37,27.3,56.6,17.3,0.222,27,0.63,197,0.472,86,0.267,0.461,7.4,5.3,11.1,4.3,27.2,8.1,0.54,0.51
Boris Diaw,San,PF,29,20,20.1,41,11.3,0.281,8,0.625,55,0.582,13,0.615,0.65,4.7,4.3,12.1,2.4,16.2,7.3,0.7,0.3
Brandon Bass,Bos,PF,26,59,31.5,65.1,19.9,0.085,163,0.81,632,0.479,0,0,0.524,12.5,6.2,11.6,0.9,5.2,5.2,0.58,0.92
Brandon Jennings,Mil,PG,22,66,35.1,73.1,26.1,0.106,239,0.808,734,0.465,388,0.332,0.514,19.1,3.4,5.4,5.5,26.8,8.1,1.59,0.33
Brandon Knight,Det,PG,20,66,32,66.2,21.9,0.171,137,0.759,493,0.434,276,0.38,0.511,12.8,3.2,6,3.8,21,6.7,0.74,0.15
Brandon Rush,Gol,SG,26,65,26.2,54.4,15.5,0.119,82,0.793,250,0.544,219,0.452,0.628,9.8,3.8,8.3,1.4,8,5.7,0.54,0.89
Brandon Wright,Dal,PF,24,49,16,32.6,17.2,0.072,82,0.634,232,0.621,1,0,0.632,6.9,3.6,12.5,0.3,3,4.9,0.45,1.29
Brendan Haywood,Dal,C,32,54,21,43,12.9,0.145,96,0.469,228,0.518,0,0,0.52,5.2,6,16,0.4,2.6,4.4,0.44,1
Byron Mullens,Cha,C,22,65,22.3,46.4,22.7,0.104,112,0.821,540,0.443,51,0.235,0.473,9.3,5,12.9,0.9,7.6,6.2,0.32,0.8
C.J. Miles,Uta,SF,24,56,20.2,41.2,22.9,0.092,136,0.794,315,0.416,150,0.307,0.484,9.1,2.1,5.9,1.2,9.8,5.6,0.84,0.3
C.J. Watson,Chi,PG,27,49,23.5,48.5,22.9,0.167,104,0.808,264,0.352,173,0.393,0.491,9.7,2.1,5.1,4.1,27.4,7.4,0.92,0.16
Carl Landry,Nor,PF,28,41,24.2,49.9,24.2,0.128,184,0.799,358,0.508,3,0,0.578,12.5,5.2,12.8,0.9,7.1,6.4,0.32,0.29
Carlos Boozer,Chi,PF,30,66,29.3,60.7,24,0.113,137,0.693,841,0.533,1,0,0.549,15,8.5,16.3,1.9,11.9,8.5,0.95,0.36
Carlos Delfino,Mil,SF,29,54,28.3,58.8,15.6,0.122,48,0.792,213,0.446,239,0.36,0.514,9,3.9,7.5,2.3,12,6.1,1.46,0.19
Carmelo Anthony,Nyk,SF,27,55,33.9,70.2,32,0.108,367,0.804,822,0.454,203,0.335,0.525,22.6,6.3,10.7,3.6,21.2,9.4,1.15,0.44
Caron Butler,Lac,SF,31,63,29.5,61,20.6,0.093,107,0.813,448,0.435,257,0.358,0.501,12,3.7,7.4,1.2,6.9,5.1,0.83,0.13
Cartier Martin,Was,SG,27,17,22.8,47.3,17.9,0.084,19,0.579,59,0.508,75,0.387,0.555,9.3,3.4,8.4,0.6,4.2,4.7,0.65,0.12
Chandler Parsons,Hou,PF,23,63,28.5,58.4,16.8,0.121,78,0.551,371,0.507,178,0.337,0.513,9.5,4.7,9.7,2.1,11.7,6.4,1.16,0.48
Channing Frye,Pho,C,28,64,25.9,54,19.5,0.088,82,0.89,350,0.469,263,0.346,0.519,10.5,5.9,12.9,1.4,8.3,6.8,0.66,1.08
Charles Jenkins,Gol,PG,22,51,17.3,35.8,19.2,0.163,39,0.872,271,0.469,20,0.15,0.482,5.8,1.3,4.4,3.3,30.3,6.8,0.65,0.12
Charlie Villanueva,Det,PF,27,13,13.6,27.3,26.4,0.069,7,0.857,46,0.435,45,0.333,0.484,7,3.7,16.2,0.5,6.5,6.9,0.54,0.38
Chase Budinger,Hou,SF,23,58,22.2,45.5,19.7,0.099,70,0.771,252,0.476,219,0.402,0.556,9.6,3.7,9.7,1.3,9.4,6.5,0.52,0.1
Chauncey Billups,Lac,PG,35,20,30.2,61.2,23.5,0.121,95,0.895,103,0.34,125,0.384,0.554,15,2.5,4.9,4,21.2,7,0.45,0.15
Chris Andersen,Den,C,33,32,15,30.5,14.9,0.106,82,0.61,108,0.546,0,0,0.583,5.3,4.6,18,0.2,1.8,4.5,0.59,1.44
Chris Bosh,Mia,PF,27,57,35,71.9,24.3,0.112,279,0.821,772,0.496,35,0.286,0.551,18,7.9,13.5,1.8,9.1,7.3,0.89,0.79
Chris Duhon,Orl,PG,29,63,19.3,39.9,11.3,0.276,21,0.81,84,0.417,119,0.42,0.558,3.8,1.6,4.8,2.4,19.3,5.1,0.56,0.14
Chris Kaman,Nor,C,29,47,29,59.8,26.9,0.167,107,0.785,597,0.446,0,0,0.478,13.1,7.7,15.9,2.1,14.1,8.2,0.53,1.64
Chris Paul,Lac,PG,26,60,36.2,74.7,24.4,0.108,302,0.861,678,0.51,213,0.371,0.581,19.8,3.6,5.8,9.1,44.1,9.6,2.52,0.07
Chris Singleton,Was,SF,22,66,21.5,44.6,11.7,0.103,44,0.682,185,0.389,127,0.346,0.462,4.6,3.5,9.3,0.7,5.1,4.2,1.06,0.44
Chris Wilcox,Bos,PF,29,28,17,34.9,15.5,0.195,39,0.615,107,0.598,0,0,0.612,5.4,4.4,15.1,0.4,4.2,5,0.39,0.32
Chuck Hayes,Sac,PF,28,54,19,39.4,10,0.211,39,0.667,168,0.435,2,0,0.459,3.2,4.3,12.5,1.4,10.4,5.6,0.67,0.31
Corey Brewer,Den,SF,25,59,21.6,44.4,20.2,0.097,130,0.692,337,0.501,128,0.258,0.505,8.9,2.5,6.9,1.5,10.7,6,1.22,0.29
Corey Maggette,Cha,SF,32,32,27.3,56.6,27.6,0.113,208,0.856,307,0.375,66,0.364,0.517,15,3.9,8.2,1.2,8.4,6,0.72,0.03
Cory Higgins,Cha,SG,22,38,10.9,22.6,25.1,0.173,60,0.7,140,0.343,20,0.2,0.402,3.9,0.9,4.8,0.9,15.4,5.4,0.13,0.16
Courtney Lee,Hou,SG,26,58,30.1,61.6,17.8,0.095,86,0.826,363,0.452,217,0.401,0.534,11.4,2.7,5.3,1.5,8.1,4.8,1.17,0.38
D.J. Augustin,Cha,PG,24,48,29.1,60.5,21.4,0.169,120,0.875,308,0.396,179,0.341,0.493,11.1,2.3,4.5,6.4,39.2,7.5,0.75,0.02
D.J. White,Cha,PF,31,58,18.8,38.9,17.9,0.102,61,0.705,352,0.491,1,1,0.516,6.8,3.6,11,0.8,8.1,5.7,0.29,0.4
Daequan Cook,Okc,SG,24,57,17.1,35.3,14.9,0.05,22,0.636,68,0.441,228,0.346,0.509,5.5,2.1,7.1,0.3,2.3,3.5,0.39,0.21
Dahntay Jones,Ind,SG,31,65,16,33,16.1,0.124,99,0.838,203,0.399,77,0.429,0.532,5.3,1.8,6.3,1,9.7,5.3,0.35,0.17
DaJuan Summers,Nor,PF,23,15,13.7,27.8,17.7,0.104,9,0.778,49,0.469,16,0.313,0.493,4.5,1.5,6.7,0.7,8.3,4.9,0.47,0
Damien Wilkins,Det,SF,31,60,15.2,31.4,12.5,0.122,54,0.63,170,0.406,23,0.304,0.445,3.2,1.7,6.5,0.7,7.6,4.1,0.47,0.22
Daniel Gibson,Cle,SG,25,35,26,53.3,15.4,0.144,43,0.791,109,0.294,139,0.396,0.493,7.5,2.9,6.3,2.2,13.7,5.6,0.74,0.46
Daniel Green,San,SG,24,66,22.8,47.3,17.8,0.114,100,0.79,243,0.449,234,0.436,0.579,9.1,3.5,8.7,1.3,8.4,6.1,0.88,0.7
Daniel Orton,Orl,PF,21,16,11.4,23.1,12.3,0.146,25,0.44,29,0.586,1,0,0.549,2.8,2.4,12.3,0.3,4.4,4.4,0.5,0.56
Danilo Gallinari,Den,SF,23,43,31.3,63.9,20.8,0.109,209,0.871,283,0.47,183,0.328,0.563,14.6,4.7,8.8,2.7,13.1,7.3,0.98,0.53
Danny Granger,Ind,SF,28,62,33.1,68.2,26.1,0.094,291,0.873,618,0.434,323,0.381,0.542,18.7,5,8.4,1.8,9.7,6.7,1,0.65
Dante Cunningham,Mem,SF,24,64,17.4,35.9,13.8,0.086,69,0.652,277,0.52,2,0,0.538,5.2,3.8,12.9,0.6,5.3,5.2,0.66,0.53
Darko Milicic,Min,C,26,29,16.1,33,17,0.179,37,0.432,130,0.454,0,0,0.458,4.6,3.3,11.5,0.6,6,5.2,0.31,0.86
Darren Collison,Ind,PG,24,60,31.1,64.1,17.1,0.162,153,0.83,429,0.455,94,0.362,0.524,10.3,3.1,5.6,4.8,25.2,6.9,0.82,0.22
David Lee,Gol,PF,28,57,37,76.7,26.1,0.125,280,0.782,917,0.506,5,0,0.549,20.1,9.5,14.6,2.8,13.7,8.8,0.96,0.39
David West,Ind,PF,31,66,29,59.8,21,0.105,176,0.807,708,0.492,9,0.222,0.531,12.8,6.6,12.7,2.1,13.1,7.8,0.79,0.7
DeAndre Jordan,Lac,C,23,66,27.1,55.9,11.9,0.16,141,0.525,325,0.634,1,0,0.626,7.4,8.3,18.2,0.3,1.5,3.9,0.45,2.05
DeJuan Blair,San,PF,22,64,21.1,43.7,21.9,0.142,119,0.613,503,0.535,1,0,0.549,9.5,5.5,14.9,1.2,9.3,7.5,0.92,0.19
Delonte West,Dal,SG,28,44,23.9,48.7,20.6,0.163,70,0.886,284,0.489,76,0.355,0.539,9.6,2.3,5.4,3.2,22.5,6.9,1.32,0.25
DeMar DeRozan,Tor,SG,22,63,34.8,72,25.2,0.105,331,0.81,811,0.44,92,0.261,0.503,16.7,3.3,5.6,2,10.9,5.5,0.76,0.27
DeMarcus Cousins,Sac,PF,21,64,30.3,62.7,29.9,0.128,373,0.702,985,0.453,14,0.143,0.499,18.1,11,19.9,1.6,9.6,9,1.45,1.17
DeMarre Carroll,Uta,SF,25,20,16.2,31.6,16,0.078,16,0.875,80,0.375,19,0.368,0.448,4.8,2.5,8.9,0.8,7,5.2,0.6,0.05
Derek Fisher,Lal,PG,37,43,25.4,51.8,13.5,0.181,53,0.83,166,0.41,74,0.324,0.479,5.9,2.1,4.7,3.3,19.3,5.4,0.93,0.07
Derek Fisher,Okc,PG,37,20,20.1,40.6,14.5,0.116,14,0.929,73,0.356,35,0.314,0.429,4.9,1.5,4.1,1.4,10.3,4.3,0.55,0.05
Deron Williams,Njn,PG,27,55,36.1,74.9,30.3,0.167,305,0.843,618,0.447,341,0.337,0.528,21,3.3,5.4,8.7,47,9.4,1.22,0.35
Derrick Brown,Cha,SG,24,65,22,45.7,17,0.105,141,0.667,385,0.535,24,0.25,0.556,8.1,3.6,9.5,1,8.6,5.6,0.74,0.17
Derrick Favors,Uta,PF,20,65,21,42.8,20.9,0.164,194,0.649,445,0.499,0,0,0.537,8.8,6.5,17.9,0.7,5.1,6.5,0.57,1
Derrick Rose,Chi,PG,23,39,35.1,72.3,30.6,0.129,239,0.812,522,0.475,173,0.312,0.532,21.8,3.4,5.3,7.9,40.6,9.5,0.9,0.72
Derrick Williams,Min,SF,20,66,21.2,44,21,0.117,195,0.697,360,0.467,138,0.268,0.499,8.8,4.7,12.3,0.6,4.6,5.5,0.45,0.47
DeSagana Diop,Cha,C,29,27,11.9,24.5,9.2,0.299,6,0.167,42,0.357,0,0,0.347,1.1,3.1,15.2,0.9,11.2,4.9,0.22,0.48
DeShawn Stevenson,Njn,SG,30,51,18.6,38.7,9.5,0.096,16,0.563,27,0.296,145,0.283,0.413,2.9,2,6.2,0.8,6.5,3.6,0.37,0.08
Devin Ebanks,Lal,SF,22,24,16.3,32.7,14.3,0.147,35,0.657,80,0.463,9,0,0.465,4,2.3,7.7,0.5,4.6,4.1,0.46,0.25
Devin Harris,Uta,PG,28,63,27.4,56,19.6,0.161,209,0.746,329,0.498,213,0.362,0.564,11.3,1.8,3.7,5,28.5,6.8,1.02,0.21
Dirk Nowitzki,Dal,PF,33,62,33.3,68.4,29.4,0.089,355,0.896,823,0.48,212,0.368,0.563,21.6,6.8,11.4,2.2,12.7,8.2,0.68,0.48
Dominic McGuire,Gol,SF,26,64,17.4,36.1,12,0.194,53,0.736,206,0.456,4,0,0.486,3.5,3.8,12.5,1.7,14.1,6.5,0.69,0.56
Donald Sloan,Cle,PG,23,25,24.2,49.3,17.1,0.183,26,0.808,154,0.448,22,0.091,0.44,6.6,2.4,5.6,3.7,25.8,6.4,0.4,0.12
Donte Greene,Sac,SF,23,53,14.5,30,18.2,0.1,55,0.8,160,0.513,105,0.238,0.489,5.3,2.5,9.5,0.6,6.9,5.5,0.34,0.55
Dorell Wright,Gol,SF,26,61,26.8,55.6,17.5,0.082,98,0.816,234,0.5,292,0.36,0.553,10.3,4.6,9.6,1.5,8.9,6.2,0.95,0.43
Drew Gooden,Mil,PF,30,56,26,54.1,25.9,0.127,208,0.846,602,0.45,55,0.291,0.512,13.7,6.5,13.7,2.6,16.7,9.4,0.8,0.61
Dwight Howard,Orl,C,26,54,38.1,78.6,26.3,0.152,572,0.491,719,0.579,7,0,0.569,20.6,14.5,22,1.9,9.9,8.7,1.5,2.15
Dwyane Wade,Mia,SG,30,49,33,67.5,31.5,0.118,297,0.791,781,0.513,56,0.268,0.559,22.1,4.8,8.8,4.6,27.6,9.5,1.67,1.29
Earl Clark,Orl,SF,23,45,12.2,25.2,15.1,0.141,29,0.724,139,0.367,0,0,0.405,2.7,2.8,13,0.4,5.3,4.7,0.27,0.71
Earl Watson,Uta,PG,32,50,20.4,41.5,11.7,0.32,46,0.674,108,0.407,52,0.192,0.413,3,2.4,6.8,4.3,29.2,6.2,1.08,0.44
Ed Davis,Tor,PF,22,66,23.1,47.7,13.9,0.149,106,0.67,334,0.515,1,0,0.544,6.3,6.6,16.9,0.9,6.6,5.8,0.61,0.94
Eduardo Najera,Cha,PF,35,22,12.1,25,12.6,0.096,4,0.5,35,0.457,29,0.276,0.441,2.6,2.3,10.8,0.5,6.9,4.8,0.86,0.18
Ekpe Udoh,Gol,PF,24,38,21.5,44.5,14,0.141,64,0.719,185,0.443,0,0,0.493,5.5,3.9,10.2,0.8,5.6,4.8,0.66,1.71
Ekpe Udoh,Mil,PF,24,23,19.9,41.3,14.4,0.12,50,0.8,108,0.417,2,0,0.492,5.7,4.7,12.9,1.1,8.2,6.2,0.65,1.61
Elton Brand,Phi,PF,32,60,28.7,59.4,19.1,0.094,120,0.725,579,0.494,3,0,0.519,11,7.2,13.9,1.6,9.3,7,0.98,1.63
Emeka Okafor,Nor,C,29,27,28.8,59,17.3,0.13,74,0.514,214,0.533,0,0,0.539,9.9,7.9,16.4,0.9,5.4,5.7,0.59,0.96
Enes Kanter,Uta,C,19,66,13.1,26.6,17.5,0.161,105,0.667,235,0.498,1,0,0.539,4.6,4.2,18.5,0.1,1.4,3.8,0.27,0.35
Eric Bledsoe,Lac,PG,22,40,11.4,23.5,19.4,0.244,44,0.636,96,0.448,30,0.2,0.454,3.3,1.6,8.5,1.7,22,7.3,0.78,0.35
Ersan Ilyasova,Mil,PF,24,60,27.4,56.9,20.2,0.101,183,0.781,485,0.501,112,0.455,0.577,13,8.8,17.8,1.2,7.1,7.5,0.7,0.73
Evan Turner,Phi,SG,23,65,26.2,54.3,20.5,0.143,108,0.676,540,0.467,49,0.224,0.479,9.4,5.8,12.3,2.8,17,8.2,0.62,0.29
Francisco Garcia,Sac,SG,31,49,16.1,33.3,14.5,0.083,30,0.8,98,0.49,131,0.29,0.483,4.8,2,6.9,0.6,5.8,4.5,0.73,0.76
Gary Forbes,Tor,SG,23,48,14.7,30.3,24.4,0.148,91,0.725,187,0.444,84,0.345,0.513,6.6,2.1,8.5,1.1,13.9,6.7,0.5,0.08
Gary Neal,San,PG,24,56,21.4,44.2,21.9,0.105,64,0.781,288,0.448,198,0.419,0.542,9.9,2.1,5.7,2.1,15.2,6.6,0.48,0.04
George Hill,Ind,PG,25,50,25.3,52,17.3,0.106,117,0.778,233,0.489,147,0.367,0.557,9.6,3,6.7,2.9,19.2,6.9,0.84,0.34
Gerald Henderson,Cha,SG,24,55,33.1,68.7,23.1,0.11,204,0.76,675,0.476,47,0.234,0.511,15.1,4.1,7.1,2.3,13.6,6.3,0.89,0.36
Gerald Green,Njn,SG,28,31,25,51.8,23.8,0.136,65,0.754,210,0.529,110,0.391,0.574,12.9,3.5,8,1.1,8.5,5.9,0.9,0.55
Gerald Wallace,Por,SF,29,42,35.5,73.1,17.9,0.144,161,0.776,332,0.533,98,0.265,0.556,13.3,6.6,10.8,2.7,12.5,7,1.48,0.6
Gerald Wallace,Njn,SF,29,16,35.6,73.1,20.7,0.105,64,0.859,150,0.427,52,0.385,0.528,15.2,6.8,11.1,3.1,15.3,7.7,1.44,0.69
Gilbert Arenas,Mem,PG,30,17,12.2,24.9,17.5,0.149,10,0.7,25,0.52,39,0.333,0.526,4.2,1.1,5.1,1.1,13.6,5.6,0.65,0.06
Glen Davis,Orl,PF,26,61,23.2,47.9,22.6,0.11,167,0.683,520,0.429,14,0.143,0.466,9.3,5.4,13.5,0.8,6,5.9,0.7,0.31
Goran Dragic,Hou,PG,25,66,26.4,54.2,22,0.187,190,0.805,398,0.525,202,0.337,0.567,11.7,2.5,5.6,5.3,32.7,8.1,1.29,0.15
Gordon Hayward,Uta,SF,21,66,30.3,61.9,17.9,0.137,232,0.832,427,0.496,159,0.346,0.568,11.8,3.5,6.6,3.1,16,6.7,0.8,0.62
Grant Hill,Pho,SF,39,49,27.9,58.2,18.7,0.115,107,0.766,398,0.47,53,0.264,0.5,10.2,3.5,7.1,2.2,12.2,6.1,0.84,0.59
Greg Monroe,Det,PF,21,66,31.4,64.8,23.7,0.152,272,0.739,780,0.522,1,0,0.563,15.4,9.7,18.4,2.3,14.1,8.9,1.27,0.7
Greg Stiemsma,Bos,C,26,55,13.7,28.4,10.9,0.193,41,0.707,120,0.55,0,0,0.583,2.9,3.2,13.8,0.5,5.9,4.9,0.67,1.55
Greivis Vasquez,Nor,SG,24,66,25.6,53.1,20.2,0.205,117,0.821,387,0.47,135,0.319,0.514,8.9,2.6,6.1,5.4,36,7.8,0.91,0.14
Gustavo Ayon,Nor,PF,26,54,20,41.3,14.7,0.137,63,0.619,260,0.538,1,0,0.552,5.9,4.9,14.6,1.4,11.6,6.9,0.98,0.85
Hakim Warrick,Pho,PF,29,35,14.2,29.6,23.7,0.139,99,0.768,170,0.429,10,0.1,0.503,6.4,2.6,10.4,0.9,9.5,6.9,0.23,0.09
Hedo Turkoglu,Orl,SF,32,53,31,63.9,19.6,0.206,95,0.705,246,0.48,258,0.353,0.528,10.9,3.8,7,4.4,24.2,7.3,0.85,0.32
Ian Mahinmi,Dal,C,25,61,18.5,38,14.5,0.142,147,0.639,237,0.549,1,0,0.585,5.8,4.7,14.4,0.2,1.7,3.8,0.62,0.51
Iman Shumpert,Nyk,SG,21,59,28.7,59.4,18.3,0.16,109,0.798,376,0.441,157,0.306,0.485,9.5,3.2,6.3,2.8,15.8,6.1,1.71,0.14
Isaiah Thomas,Sac,PG,22,65,25.3,52.4,20,0.14,185,0.832,351,0.493,218,0.381,0.576,11.5,2.6,5.6,4.1,25.8,7.9,0.82,0.12
Ivan Johnson,Atl,SF,27,56,16.5,33.5,19.8,0.178,100,0.72,269,0.517,6,0.333,0.558,6.4,4,14.4,0.6,5.8,6,0.77,0.32
J.J. Hickson,Sac,PF,23,35,18.2,37.6,16.2,0.164,58,0.638,173,0.376,1,0,0.419,4.8,5.1,15.2,0.6,5.1,5.4,0.51,0.49
J.J. Hickson,Por,PF,23,19,31.4,63.7,21.7,0.109,76,0.645,218,0.546,1,0,0.568,15.1,8.3,15.4,1.2,7,6.8,0.63,0.95
J.J. Redick,Orl,SG,27,65,27,55.7,19.3,0.094,157,0.911,316,0.43,268,0.418,0.575,11.6,2.3,4.9,2.5,16.4,6,0.42,0.09
J.R. Smith,Nyk,SG,26,35,27.4,56.5,22.2,0.097,55,0.709,212,0.462,193,0.347,0.508,12.5,3.9,8.2,2.4,15.3,7.1,1.54,0.17
Jamaal Tinsley,Uta,PG,33,37,13.5,27.2,17.9,0.256,17,0.765,104,0.452,37,0.27,0.461,3.7,1.2,5.2,3.3,36.8,7.3,0.46,0.22
Jamal Crawford,Por,SG,31,60,26.7,55.1,26.8,0.118,206,0.927,477,0.426,260,0.308,0.506,14,2,4.3,3.2,20.7,6.7,0.92,0.23
Jamal Magloire,Tor,C,33,34,10.8,22.1,10.1,0.279,27,0.259,45,0.378,0,0,0.36,1.2,3.3,18.1,0.2,2.5,3.4,0.12,0.29
Jameer Nelson,Orl,PG,29,57,29.7,61.4,21.6,0.174,88,0.807,375,0.459,231,0.377,0.524,11.9,3.2,6.2,5.7,34.3,8.1,0.68,0.07
James Anderson,San,SG,22,51,11.6,24,17.5,0.132,52,0.75,106,0.443,68,0.279,0.483,3.7,1.5,7.6,0.8,9.8,5.7,0.16,0.04
James Harden,Okc,SG,24,62,31.2,64.3,21.7,0.148,369,0.846,337,0.579,292,0.39,0.66,16.8,4.1,7.4,3.7,19.4,8.1,1,0.24
James Johnson,Tor,SF,24,62,25.5,52.6,20.5,0.147,118,0.72,467,0.471,68,0.324,0.503,9.5,4.8,11,2.1,14.6,7.2,1.18,1.39
