FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
Ron Artest,Lal,SF,31,82,29.2,60.4,15.4,0.111,136,0.676,425,0.419,233,0.356,0.485,8.5,3.3,6.3,2.1,10.8,5.3,1.51,0.44
Rodrigue Beaubois,Dal,PG,23,28,17.5,36.3,27.1,0.165,32,0.781,140,0.493,83,0.301,0.502,8.5,1.8,6.1,2.3,22.2,7.5,0.71,0.29
Raja Bell,Uta,SG,34,68,30.6,63,12.7,0.11,102,0.892,274,0.449,193,0.352,0.528,8,2.6,5.1,1.7,8.3,4.3,0.82,0.21
Ronnie Brewer,Chi,SG,25,81,21.8,45,14.1,0.102,133,0.654,400,0.498,27,0.222,0.518,6.2,3.2,8.7,1.8,12.4,6,1.31,0.27
Rasual Butler,Lac,SF,31,41,17.9,36.7,15.8,0.085,27,0.667,97,0.32,129,0.326,0.433,5,1.9,6.1,0.7,5.6,4.2,0.2,0.37
Rodney Carney,Gol,SF,26,25,13,26.4,18.3,0.119,27,0.667,70,0.4,37,0.459,0.526,5,1.9,8.2,0.4,5,4.8,0.44,0.2
Reggie Evans,Tor,PF,30,30,26.4,54.3,10.2,0.216,88,0.545,102,0.412,1,0,0.466,4.4,11.5,25.8,1.3,6.5,6.1,0.97,0.2
Raymond Felton,Den,PG,26,21,31.3,65,18.7,0.163,60,0.617,143,0.42,61,0.459,0.523,11.5,3.6,6.6,6.5,31.3,8.3,1.33,0
Raymond Felton,Nyk,PG,26,54,38.2,78.9,22.8,0.167,181,0.867,533,0.471,268,0.328,0.524,17.1,3.6,5.4,9,37.5,8.6,1.8,0.2
Rudy Fernandez,Por,SG,25,78,23.1,47.9,18.8,0.121,146,0.863,214,0.453,361,0.321,0.522,8.6,2.2,5.8,2.5,17.1,6.3,1.12,0.18
