FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,
DeMarcus Cousins,Sac,C,25,65,34.6,72,35.4,0.133,663,0.718,1122,0.473,210,0.333,0.538,26.9,11.5,18,3.3,17,1.55,1.42,11.6,
DeMarre Carroll,Tor,SF,29,26,30.2,63,18.5,0.088,50,0.6,152,0.388,118,0.39,0.49,11,4.7,8.9,1,5.5,1.69,0.23,4.9,
Dennis Schroder,Atl,PG,22,80,20.3,42.2,28.8,0.175,182,0.791,542,0.465,239,0.322,0.51,11,2.6,6.9,4.4,36.2,0.88,0.11,9.9,
Deron Williams,Dal,PG,31,65,32.4,67.5,22,0.148,206,0.869,493,0.454,282,0.344,0.53,14.1,2.9,5,5.8,29.3,0.94,0.22,7.6,
Derrick Favors,Uta,PF,24,62,32,66.6,23.9,0.101,254,0.709,807,0.518,4,0,0.551,16.4,8.1,14.8,1.5,8.9,1.19,1.47,7.3,
Derrick Rose,Chi,PG,27,66,31.8,66.2,27.2,0.135,179,0.793,897,0.449,150,0.293,0.48,16.4,3.4,5.6,4.7,25.5,0.67,0.21,8,
Derrick Williams,Nyk,PF,24,80,17.9,37.4,23.3,0.083,256,0.758,415,0.506,150,0.293,0.55,9.3,3.7,11.3,0.9,8.9,0.36,0.11,7,
Devin Booker,Pho,SG,19,76,27.7,57.8,23,0.14,256,0.84,578,0.464,289,0.343,0.535,13.8,2.5,4.8,2.6,15.8,0.58,0.26,6.5,
Devin Harris,Dal,PG,32,64,20,41.7,17.9,0.132,140,0.721,216,0.532,158,0.329,0.559,7.6,2.2,5.9,1.8,14.5,0.94,0.2,6.2,
Devyn Marble,Orl,SG,23,28,8.9,18.5,15.7,0.079,24,0.417,39,0.333,32,0.25,0.368,2.1,1.4,8.5,0.4,6.6,0.46,0.04,4.7,
Dewayne Dedmon,Orl,C,26,58,12.2,25.3,15.2,0.132,76,0.75,177,0.559,0,0,0.606,4.4,3.9,17.9,0.2,2.7,0.38,0.79,4.9,
Dion Waiters,Okc,SG,24,78,27.6,57.5,17.7,0.134,157,0.713,466,0.421,240,0.358,0.492,9.8,2.6,5.1,2,10,1.04,0.19,5.4,
Dirk Nowitzki,Dal,PF,37,75,31.5,65.7,25.5,0.064,280,0.893,770,0.483,342,0.368,0.555,18.3,6.5,11.4,1.8,10.1,0.69,0.69,7.6,
Donald Sloan,Bro,PG,28,61,21.6,45,16.1,0.168,104,0.75,251,0.462,99,0.384,0.536,7,2.8,7.4,4.4,30,0.52,0.07,8.2,
Donatas Motiejunas,Hou,PF,25,37,14.8,30.8,21.4,0.162,53,0.642,148,0.5,57,0.281,0.504,6.2,2.9,10.9,1.1,12.2,0.46,0.14,7.3,
Doug McDermott,Chi,SF,24,81,23,47.9,17.3,0.072,84,0.857,385,0.47,259,0.425,0.561,9.4,2.4,5.5,0.7,5,0.17,0.07,4.4,
Draymond Green,Gol,PF,25,81,34.7,72.2,18.8,0.212,329,0.696,561,0.537,258,0.388,0.587,14,9.5,14.7,7.4,29,1.48,1.38,11.5,
Drew Gooden,Was,PF,34,30,10.2,21.2,17.5,0.106,14,0.643,62,0.419,41,0.171,0.376,2.7,2.8,15.6,0.4,6,0.27,0.37,5.7,
Dwight Howard,Hou,C,30,71,32.1,66.9,18.4,0.17,474,0.489,595,0.625,6,0,0.603,13.7,11.8,20.2,1.4,7,0.97,1.59,7.6,
Dwight Powell,Dal,PF,24,69,14.4,29.9,18.4,0.1,142,0.739,280,0.514,16,0.125,0.557,5.8,4,15.1,0.6,7.2,0.52,0.35,6.7,
Dwyane Wade,Mia,SG,34,74,30.5,63.6,31.7,0.13,406,0.793,1139,0.468,44,0.159,0.517,19,4.1,7.6,4.6,27.4,1.07,0.57,9.3,
Ed Davis,Por,PF,26,81,20.8,43.3,12.7,0.13,204,0.559,337,0.611,0,0,0.616,6.5,7.4,19.3,1.1,7.7,0.7,0.89,7.2,
Elfrid Payton,Orl,PG,21,73,29.4,61.2,20.4,0.179,190,0.589,638,0.451,92,0.326,0.478,10.7,3.6,6.7,6.4,32.7,1.22,0.27,8.5,
Elijah Millsap,Uta,SG,28,20,8.6,18,14.9,0.161,18,0.722,27,0.37,12,0.083,0.384,1.8,1.8,11.8,1,16.2,0.35,0.15,6.9,
Elliot Williams,Mem,PG,26,5,9,18.8,12.7,0.078,4,0.75,6,0.167,4,0.25,0.34,1.6,0.8,5.1,0.8,12.4,0,0,4.5,
Elton Brand,Phi,PF,36,17,13.2,27.5,16.9,0.126,9,0.889,71,0.437,1,0,0.461,4.1,3.7,15.2,1.1,13.1,0.53,0.47,7.7,
Emmanuel Mudiay,Den,PG,19,68,30.4,63.4,25.6,0.179,209,0.67,672,0.379,232,0.319,0.438,12.8,3.4,6.2,5.5,29,0.96,0.51,8.2,
Enes Kanter,Okc,C,23,82,21,43.7,23.4,0.122,251,0.797,698,0.579,21,0.476,0.626,12.7,8.1,21,0.4,3.1,0.32,0.4,6.6,
Eric Bledsoe,Pho,PG,26,31,34.2,71.2,27.2,0.162,172,0.802,363,0.482,129,0.372,0.557,20.4,4,6.4,6.1,31.8,2.03,0.61,9.3,
Eric Gordon,Nor,SG,27,45,32.9,68.6,20.3,0.107,125,0.888,258,0.457,294,0.384,0.565,15.2,2.2,3.7,2.7,12.7,0.96,0.31,5.5,
Eric Moreland,Sac,PF,24,8,6,12.4,9.6,0.279,4,0.5,6,0.5,0,0,0.515,1,1.4,12.5,0.1,2.7,0,0.5,3.5,
Erick Green,Uta,PG,24,6,5.8,12,17.1,0,2,1,8,0.5,4,0.25,0.505,2.2,0.8,8.4,0.3,9.7,0.17,0,5.6,
Ersan Ilyasova,Det,PF,28,52,27.6,57.4,18.7,0.096,109,0.725,293,0.471,215,0.363,0.53,11.3,5.4,10.7,1.1,6.1,0.73,0.52,5.9,
Ersan Ilyasova,Orl,PF,28,22,20.3,42.3,18.3,0.065,45,0.711,110,0.418,43,0.419,0.515,8.1,5.5,15,0.5,4,0.64,0.27,5.5,
E’Twaun Moore,Chi,SG,26,59,21.4,44.6,15.9,0.116,35,0.629,285,0.491,104,0.452,0.548,7.5,2.3,5.5,1.7,12.1,0.63,0.31,5.8,
Evan Fournier,Orl,SF,23,79,32.5,67.7,20.1,0.114,238,0.836,540,0.506,389,0.401,0.587,15.4,2.8,4.9,2.7,12.9,1.22,0.03,6,
Evan Turner,Bos,SG,27,81,28,58.4,18.8,0.169,179,0.827,670,0.482,83,0.241,0.513,10.5,4.9,9.3,4.4,23.9,0.99,0.35,8.7,
Festus Ezeli,Gol,C,26,46,16.7,34.9,18.2,0.117,132,0.53,228,0.548,0,0,0.559,7,5.6,18,0.7,5.8,0.39,1.09,7.2,
Frank Kaminsky,Cha,C,22,81,21.1,43.9,17.1,0.091,148,0.73,323,0.455,202,0.337,0.513,7.5,4.1,10.8,1.2,8.9,0.46,0.53,6.3,
Garrett Temple,Was,SF,29,80,24.4,50.8,14,0.103,125,0.728,247,0.453,258,0.345,0.52,7.3,2.7,6.1,1.8,10,0.86,0.23,5.4,
Gary Harris,Den,SG,21,76,32.1,66.9,16.5,0.106,133,0.82,468,0.543,297,0.354,0.566,12.3,2.9,5,1.9,9.5,1.28,0.24,5.1,
Gary Neal,Was,SG,31,40,20.2,42.1,20.5,0.077,55,0.855,225,0.489,100,0.41,0.558,9.8,2.1,5.8,1.2,9.2,0.5,0.03,5.8,
George Hill,Ind,PG,29,74,34.1,71.1,15.8,0.112,150,0.76,425,0.466,313,0.409,0.556,12.1,4,6.4,3.5,15.5,1.12,0.23,6.5,
Gerald Green,Mia,SG,30,69,22.6,47,19.8,0.068,92,0.783,327,0.446,260,0.323,0.491,8.9,2.4,5.9,0.8,5.6,0.54,0.28,4.6,
Gerald Henderson,Por,SG,28,72,19.9,41.4,20.2,0.103,146,0.767,392,0.469,137,0.35,0.526,8.7,2.9,8,1,8.2,0.54,0.26,5.9,
Giannis Antetokounmpo,Mil,SF,21,80,35.3,73.5,22.3,0.149,409,0.724,902,0.538,110,0.255,0.566,16.9,7.7,12.4,4.3,20,1.18,1.41,9.3,
Glenn Robinson,Ind,PF,22,45,11.3,23.5,16.1,0.097,39,0.692,114,0.447,37,0.378,0.508,3.8,1.5,7.3,0.6,7.7,0.38,0.2,5.3,
Goran Dragic,Mia,SG,29,72,32.8,68.4,21.9,0.163,165,0.727,670,0.527,205,0.312,0.537,14.1,3.8,6.6,5.8,28.7,0.99,0.24,8.3,
Gordon Hayward,Uta,SF,25,80,36.2,75.3,25.8,0.125,477,0.824,792,0.477,410,0.349,0.559,19.7,5,8,3.7,18.2,1.19,0.34,7.9,
Gorgui Dieng,Min,C,26,82,27.1,56.4,16.7,0.169,248,0.827,558,0.541,20,0.3,0.602,10.1,7.1,15.3,1.7,10.1,1.15,1.17,7.3,
Greg Monroe,Mil,C,25,79,29.3,61,23.5,0.107,308,0.74,940,0.522,1,0,0.562,15.3,8.8,17.2,2.3,13.2,0.91,0.85,9.2,
Greg Smith,Min,PF,25,18,10.7,22.2,10.9,0.151,17,0.412,32,0.563,0,0,0.545,2.4,2.3,12.7,0.3,4.6,0.22,0.06,4.4,
Greivis Vasquez,Mil,PG,29,23,20,41.7,18.6,0.211,26,0.846,65,0.415,73,0.247,0.435,5.7,2,5.8,4,28.5,0.43,0,7.1,
Harrison Barnes,Gol,SF,23,66,30.9,64.4,15.9,0.076,134,0.761,419,0.508,214,0.383,0.559,11.7,4.9,8.6,1.8,7.8,0.62,0.15,6.1,
Hassan Whiteside,Mia,C,26,73,29.1,60.7,20.7,0.142,329,0.65,681,0.605,0,0,0.629,14.2,11.8,23.1,0.4,2.4,0.6,3.68,5.6,
Henry Sims,Bro,C,25,14,18.8,39.2,17.3,0.117,30,0.833,76,0.434,1,0,0.504,6.5,5.1,15.4,0.6,5.1,0.64,0.93,5.8,
Hollis Thompson,Phi,SG,24,77,28,58.3,16.2,0.095,96,0.719,288,0.42,392,0.38,0.525,9.8,3.5,6.9,1.3,7.4,0.47,0.31,5.1,
Ian Clark,Gol,SG,24,66,8.8,18.3,19.4,0.165,34,0.824,118,0.5,84,0.357,0.544,3.6,1,6.2,1,15.3,0.26,0.2,7,
Ian Mahinmi,Ind,C,29,71,25.6,53.3,15.7,0.155,225,0.587,448,0.589,0,0,0.603,9.3,7.1,15.3,1.5,8.9,0.92,1.06,7.2,
Iman Shumpert,Cle,SG,25,54,24.4,50.8,13.2,0.148,51,0.784,159,0.447,146,0.295,0.475,5.8,3.8,8.7,1.7,9.8,1,0.35,5.5,
Isaiah Canaan,Phi,PG,24,77,25.5,53.2,19.9,0.102,180,0.833,237,0.354,485,0.363,0.528,11,2.3,4.8,1.8,11.3,0.73,0.16,5.6,
Isaiah Thomas,Bos,PG,26,82,32.2,67.2,29.7,0.119,544,0.871,918,0.462,465,0.359,0.562,22.2,3,4.9,6.2,32.7,1.11,0.11,9.3,
Ish Smith,Nor,PG,27,27,22.9,47.6,20.9,0.154,43,0.767,195,0.451,33,0.303,0.484,8.9,3.4,8.3,5.7,39.1,0.89,0.22,9.7,
Ish Smith,Phi,PG,27,50,32.4,67.6,25,0.14,133,0.669,602,0.42,137,0.336,0.46,14.7,4.3,7.1,7,38,1.28,0.36,9.4,
J.R. Smith,Cle,SG,30,77,30.7,63.9,18,0.063,71,0.634,340,0.438,510,0.4,0.542,12.4,2.8,5.2,1.7,8.5,1.05,0.27,5.1,
Jabari Parker,Mil,PF,20,76,31.7,66,20.9,0.104,228,0.768,864,0.502,35,0.257,0.535,14.1,5.2,9.4,1.7,8.9,0.91,0.38,6.3,
Jae Crowder,Bos,SF,25,73,31.6,65.9,18.5,0.083,239,0.82,450,0.529,363,0.336,0.565,14.2,5.1,8.6,1.8,8.9,1.73,0.48,6.4,
Jahlil Okafor,Phi,C,20,53,30,62.5,27.3,0.125,194,0.686,775,0.511,6,0.167,0.536,17.5,7,12.8,1.2,8.2,0.42,1.15,7,
JaKarr Sampson,Phi,SF,22,47,14.7,30.6,18.7,0.172,97,0.639,168,0.476,34,0.176,0.49,5.1,2.7,10.2,0.6,6.9,0.23,0.34,5.5,
JaKarr Sampson,Den,SF,22,26,18,37.6,13.6,0.13,25,0.72,87,0.529,29,0.276,0.528,5.2,2.3,7.2,0.6,5.1,0.46,0.65,4.3,
Jamal Crawford,Lac,SG,35,79,26.9,56.1,24.9,0.096,271,0.904,595,0.44,344,0.34,0.529,14.2,1.8,3.7,2.3,14,0.66,0.15,5.8,
Jameer Nelson,Den,PG,33,39,26.6,55.3,16.4,0.17,35,0.857,163,0.429,144,0.299,0.464,7.7,2.9,6.2,4.9,27.3,0.64,0.13,7.2,
James Anderson,Sac,SG,26,51,14.1,29.5,13.7,0.18,29,0.759,92,0.478,86,0.267,0.469,3.5,1.7,6.5,0.8,7.7,0.41,0.27,4.8,
James Ennis,Nor,SF,25,9,31.3,65.2,20,0.133,24,0.792,50,0.52,50,0.48,0.647,15.9,3.9,6.9,2,10.3,1.33,0.33,6.4,
James Harden,Hou,SG,26,82,38.1,79.4,32.5,0.159,837,0.86,961,0.493,656,0.36,0.598,29,6.1,8.9,7.5,35.4,1.68,0.62,11.5,
James Johnson,Tor,PF,28,57,16.2,33.8,15.9,0.167,68,0.574,174,0.54,66,0.303,0.532,5,2.2,7.8,1.2,11.4,0.51,0.58,5.8,
James Jones,Cle,SF,35,48,9.7,20.1,16.3,0.078,26,0.808,39,0.462,104,0.394,0.583,3.8,1,6.1,0.3,4.5,0.23,0.21,4.3,
James Michael McAdoo,Gol,PF,23,41,6.4,13.3,20.1,0.132,49,0.531,82,0.537,2,0.5,0.554,2.9,1.4,11.9,0.4,9.2,0.24,0.2,7.3,
James Young,Bos,SG,20,29,6.9,14.3,9.2,0.117,4,0.25,10,0.5,26,0.231,0.384,1,0.9,6.9,0.3,6,0.21,0.03,3.7,
JaMychal Green,Mem,PF,25,78,18.5,38.6,19.8,0.13,137,0.752,450,0.478,45,0.333,0.52,7.4,4.8,14.7,0.9,7.7,0.59,0.42,6.9,
Jared Cunningham,Cle,SG,24,40,8.9,18.5,16.5,0.138,48,0.625,59,0.373,32,0.313,0.464,2.6,0.7,4.6,0.5,7.5,0.3,0.05,4.4,
Jared Cunningham,Mil,SG,24,4,13.8,28.6,16.4,0.149,7,0.857,7,0.286,7,0.286,0.468,4,2.3,9.4,0.3,2.5,0.5,0,4.1,
Jared Dudley,Was,PF,30,81,25.9,54,12.7,0.131,98,0.735,248,0.536,239,0.418,0.602,7.9,3.5,7.6,2.1,11.4,0.93,0.22,6,
Jared Sullinger,Bos,PF,23,81,23.6,49.2,21.8,0.104,161,0.64,702,0.459,104,0.279,0.476,10.3,8.3,18.7,2.3,15.5,0.93,0.58,9.9,
Jarell Eddie,Was,SF,24,26,5.6,11.8,20.7,0.014,8,1,18,0.278,47,0.319,0.46,2.4,0.9,8.8,0.2,5,0.19,0.04,5.4,
Jarell Martin,Mem,PF,21,27,14.1,29.3,19.2,0.117,62,0.726,114,0.474,2,0,0.534,5.7,3.2,12.9,0.6,6.4,0.3,0.26,6.3,
Jarrett Jack,Bro,PG,32,32,32.1,66.8,21.7,0.188,112,0.893,256,0.426,102,0.304,0.505,12.8,4.3,7.4,7.4,35,1.06,0.22,9.2,
Jason Smith,Orl,C,29,76,15.5,32.4,22.1,0.097,67,0.806,487,0.493,16,0.25,0.513,7.2,2.9,10.2,0.8,8.6,0.43,0.86,6.6,
Jason Terry,Hou,SG,38,72,17.5,36.4,15,0.111,33,0.818,115,0.504,261,0.356,0.54,5.9,1.1,3.4,1.4,12.4,0.65,0.13,4.8,
Jason Thompson,Gol,C,29,28,6.4,13.3,15.2,0.111,32,0.625,42,0.476,0,0,0.535,2.1,1.9,16.2,0.7,13.9,0.14,0.29,8.8,
Jason Thompson,Tor,C,29,19,15.4,32.1,13,0.096,22,0.818,51,0.529,15,0.333,0.575,4.6,4.2,15.5,0.5,5.3,0.42,0.63,5.5,
JaVale McGee,Dal,C,28,34,10.9,22.7,21.1,0.123,36,0.5,133,0.579,1,0,0.574,5.1,3.9,19.7,0.1,1.5,0.15,0.76,4.6,
Jeff Ayres,Lac,C,28,17,6.3,13.1,13.4,0.19,6,1,22,0.545,1,0,0.585,1.8,1.3,11.2,0.3,6.9,0,0.18,5.6,
Jeff Green,Mem,SF,29,53,29.1,60.7,20.2,0.099,155,0.8,421,0.47,136,0.309,0.517,12.2,4.5,8.9,1.8,10.5,0.75,0.36,6.4,
Jeff Green,Lac,SF,29,27,26.3,54.7,20.4,0.075,65,0.615,190,0.468,77,0.325,0.496,10.9,3.4,7,1.5,8.9,0.67,0.78,5.8,
Jeff Teague,Atl,PG,27,79,28.5,59.5,26.7,0.162,312,0.837,712,0.455,275,0.4,0.551,15.7,2.7,5.2,5.9,34.5,1.23,0.3,8.8,
Jeff Withey,Uta,C,25,51,12.9,26.9,15.2,0.13,59,0.729,160,0.544,2,0,0.577,4.3,3.4,15.4,0.4,5,0.41,1.04,5.6,
Jerami Grant,Phi,SF,21,77,26.8,55.9,18,0.129,322,0.658,453,0.477,146,0.24,0.506,9.7,4.7,9.5,1.8,10.4,0.7,1.65,6.5,
Jeremy Evans,Dal,SF,28,30,8.4,17.5,11.7,0.109,21,0.714,32,0.688,16,0.25,0.62,2.4,1.8,11.8,0.1,1.2,0.2,0.3,3.6,
Jeremy Lamb,Cha,SG,23,66,18.6,38.7,22,0.084,88,0.727,329,0.529,181,0.309,0.529,8.8,3.8,11.2,1.2,11,0.64,0.45,7.4,
Jeremy Lin,Cha,PG,27,78,26.3,54.7,22.2,0.149,292,0.815,502,0.446,226,0.336,0.534,11.7,3.2,6.8,3,18.6,0.76,0.54,7.3,
Jerian Grant,Nyk,PG,23,76,16.6,34.7,19,0.163,123,0.78,291,0.454,100,0.22,0.479,5.6,1.9,6.2,2.3,21.8,0.66,0.13,7,
Jerryd Bayless,Mil,SG,27,52,28.9,60.3,16.4,0.133,90,0.778,207,0.406,230,0.439,0.568,10.4,2.7,5.4,3.1,16.2,0.9,0.21,6.1,
Jimmy Butler,Chi,SG,26,67,36.9,76.9,24.4,0.096,475,0.832,828,0.49,206,0.311,0.563,20.9,5.4,7.6,4.8,21.4,1.64,0.64,8.8,
JJ Hickson,Den,C,27,20,15.3,31.8,21.6,0.106,59,0.458,109,0.505,0,0,0.508,6.9,4.4,15.8,0.8,8.7,0.5,0.6,7.6,
JJ Hickson,Was,C,27,15,8.8,18.2,24.8,0.121,44,0.432,45,0.556,1,0,0.528,4.6,3,19.2,0.5,8.5,0.33,0.13,8.7,
JJ Redick,Lac,SG,31,75,28,58.2,22.6,0.074,205,0.888,460,0.483,420,0.476,0.632,16.3,1.9,3.6,1.4,8.6,0.56,0.07,5,
Joakim Noah,Chi,C,30,29,21.9,45.6,14.2,0.254,45,0.489,132,0.386,1,0,0.406,4.3,8.8,21.1,3.8,24.2,0.62,1,9.6,
Jodie Meeks,Det,SG,28,3,14.5,30.2,22.8,0.044,4,1,11,0.273,9,0.444,0.506,7.3,1.7,6.3,1,11.1,0,0,6.4,
Joe Ingles,Uta,SF,28,81,15.3,31.9,13.5,0.179,18,0.722,81,0.531,210,0.386,0.572,4.2,1.9,7.1,1.2,12.1,0.68,0.05,5.6,
Joe Johnson,Bro,SF,34,57,33.9,70.7,17.7,0.15,108,0.852,379,0.427,229,0.371,0.512,11.8,3.9,6.5,4.1,18,0.7,0.04,6.8,
Joe Johnson,Mia,SF,34,24,32.1,66.8,18.4,0.142,34,0.765,167,0.569,84,0.417,0.603,13.4,2.8,5,3.6,17.9,0.88,0.08,6.4,
Joe Young,Ind,PG,23,41,9.4,19.5,24.6,0.154,25,0.8,124,0.419,46,0.217,0.425,3.8,1.2,7.1,1.6,27,0.37,0,8.3,
Joel Anthony,Det,C,33,19,5,10.5,7.1,0.129,8,0.75,10,0.6,0,0,0.666,0.9,1.1,12,0.1,1.5,0.11,0.63,3.7,
Joffrey Lauvergne,Den,C,24,59,17.6,36.8,19.5,0.116,69,0.899,327,0.557,53,0.245,0.567,7.9,4.9,15.4,0.9,9.1,0.22,0.25,7.4,
John Henson,Mil,C,25,57,16.8,35.1,19.1,0.157,117,0.59,290,0.566,1,0,0.58,7,3.9,13.2,0.9,9,0.32,1.91,6.9,
John Jenkins,Dal,SG,24,21,9.2,19.2,20.1,0.129,9,0.889,51,0.51,19,0.158,0.466,3.3,1,6.2,0.4,7.6,0.14,0,4.8,
John Jenkins,Pho,SG,24,22,13,27.2,16.7,0.142,15,0.8,58,0.5,32,0.406,0.564,5,1.6,6.6,1.2,14.4,0.23,0.05,6.5,
John Wall,Was,PG,25,77,36.2,75.3,28.6,0.175,344,0.791,1022,0.447,327,0.352,0.51,19.9,4.9,7.6,10.2,46.2,1.88,0.77,11,
Johnny O’Bryant,Mil,PF,22,66,13,27.1,13.5,0.121,38,0.684,208,0.409,1,1,0.441,3,2.7,11.7,0.5,5.4,0.27,0.12,4.9,
Jon Leuer,Pho,PF,26,67,18.7,39,19.8,0.128,101,0.762,356,0.511,110,0.382,0.555,8.5,5.6,16.1,1.1,9.6,0.57,0.45,8,
Jonas Jerebko,Bos,PF,28,78,15.1,31.4,13.5,0.14,78,0.782,178,0.421,108,0.398,0.531,4.4,3.7,13,0.8,7.4,0.26,0.31,6.2,
Jonas Valanciunas,Tor,C,23,60,25.9,54.1,20.9,0.119,213,0.761,536,0.565,0,0,0.61,12.8,9.1,20.1,0.7,4.8,0.42,1.33,6.7,
Jonathon Simmons,San,SG,26,55,14.8,30.8,18.9,0.158,92,0.75,195,0.533,47,0.383,0.586,6,1.7,6.7,1.1,10.4,0.44,0.09,6.1,
Jordan Adams,Mem,SG,21,2,7.4,15.3,31.1,0.196,5,0.6,5,0.4,1,0,0.427,3.5,1,7.8,1.5,32.6,1.5,0,9.4,
Jordan Clarkson,Lal,SG,23,79,32.3,67.3,22.8,0.102,204,0.804,779,0.467,319,0.348,0.516,15.5,4,6.6,2.4,13.8,1.11,0.09,6.6,
Jordan Farmar,Mem,PG,29,12,24.3,50.6,18.9,0.147,10,1,55,0.473,45,0.356,0.527,9.2,2.1,4.9,3.1,20.6,1.25,0.17,6.4,
Jordan Hamilton,Nor,SF,25,11,27.6,57.5,20.7,0.12,21,0.667,71,0.507,45,0.289,0.499,11.4,5.6,11.3,2.3,12.9,0.73,0.27,7.6,
Jordan Hill,Ind,PF,28,73,20.7,43.2,20.3,0.132,125,0.712,548,0.507,1,0,0.534,8.8,6.2,16.3,1.2,9.5,0.49,0.51,7.8,
Jordan McRae,Pho,PG,24,7,11.8,24.6,19.9,0.155,15,0.8,15,0.533,11,0.273,0.567,5.3,1.1,5.3,1.4,18.9,0.43,0,6.8,
Jordan McRae,Cle,PG,24,15,7.6,15.8,26.6,0.135,13,0.692,41,0.39,11,0.636,0.537,4.1,0.8,6,1,22.2,0,0.07,7.8,
Jorge Gutierrez,Cha,PG,27,12,5.3,11,15.6,0.275,11,0.909,9,0.667,2,0,0.694,1.8,0.6,6,1.4,40.1,0.25,0,8.7,
Jose Calderon,Nyk,PG,34,72,28.1,58.6,12.6,0.154,48,0.875,252,0.496,203,0.414,0.571,7.6,3.2,6.2,4.1,22.3,0.88,0.1,6.6,
Jose Juan Barea,Dal,PG,31,74,22.5,46.9,23.8,0.13,96,0.771,451,0.481,260,0.385,0.536,10.9,2.1,5,4.1,31.5,0.35,0.03,8.1,
Josh Huestis,Okc,SF,24,5,11,22.9,13,0.179,4,0,6,0.167,6,0.667,0.509,2.8,2,9.9,0,0,0.2,0.4,0,
Josh McRoberts,Mia,PF,28,42,14.2,29.5,15,0.153,40,0.7,99,0.434,49,0.245,0.453,3.6,2.5,10,1.9,19.4,0.43,0.17,7.3,
Josh Richardson,Mia,SG,22,52,21.3,44.3,13.8,0.105,63,0.667,157,0.446,115,0.461,0.569,6.6,2.1,5.5,1.4,9.7,0.69,0.48,5,
Josh Smith,Lac,PF,30,32,14.3,29.9,23.6,0.171,42,0.595,122,0.418,58,0.31,0.456,5.7,3.9,14.8,1.3,14.3,0.56,1.06,8.6,
Josh Smith,Hou,PF,30,23,18.3,38.1,22.1,0.167,25,0.48,84,0.417,85,0.271,0.419,6.6,2.9,8.8,2.1,17.7,0.7,0.57,7.5,
Jrue Holiday,Nor,PG,25,65,28.2,58.7,28.9,0.14,216,0.843,676,0.478,259,0.336,0.529,16.8,3,5.9,6,37.3,1.35,0.34,9.5,
Julius Randle,Lal,PF,21,81,28.2,58.8,21.2,0.135,270,0.715,799,0.436,36,0.278,0.482,11.3,10.2,19.5,1.8,11,0.65,0.36,8.4,
Justin Anderson,Dal,SG,22,55,11.8,24.5,15.8,0.108,55,0.8,92,0.533,83,0.265,0.522,3.8,2.4,11.2,0.5,6.8,0.35,0.45,5.6,
Justin Harper,Det,PF,26,5,7,14.6,16,0.155,2,0.5,1,0,9,0.444,0.597,2.6,0.2,1.6,0,0,0.2,0,0,
Justin Holiday,Atl,SG,26,26,10.1,21,15.4,0.144,10,0.5,28,0.5,45,0.222,0.407,2.4,1,5.6,0.4,5.9,0.5,0.15,3.9,
Justin Holiday,Chi,SG,26,27,18.9,39.4,16.6,0.135,27,0.815,95,0.4,60,0.433,0.527,6.5,2.3,6.5,1.7,13.2,0.7,0.56,6.2,
Justise Winslow,Mia,SF,19,78,28.6,59.6,12.5,0.156,117,0.684,347,0.473,116,0.276,0.49,6.5,5.2,10.2,1.5,7.4,0.87,0.33,5.2,
Jusuf Nurkic,Den,C,21,32,17.1,35.6,27.2,0.161,99,0.616,239,0.423,3,0,0.46,8.2,5.4,17.6,1.3,12.3,0.75,1.38,9,
Karl-Anthony Towns,Min,C,20,82,32,66.7,24.8,0.126,275,0.811,1064,0.559,88,0.341,0.59,18.3,10.4,18.9,2,11.3,0.71,1.68,9.1,
Kawhi Leonard,San,SF,24,72,33.1,68.9,25.8,0.078,334,0.874,799,0.528,291,0.443,0.616,21.2,6.8,11.8,2.6,13,1.78,0.99,8.7,
Keith Appling,Orl,PG,23,5,5.4,11.2,19.5,0.253,2,1,5,0.4,3,0,0.338,1.2,0.2,2.1,0.2,5,0.2,0,2.7,
Kelly Olynyk,Bos,C,24,69,20.2,42.1,20.9,0.108,128,0.75,346,0.486,210,0.405,0.561,10,4.1,10.7,1.5,11.9,0.75,0.48,7.8,
Kelly Oubre,Was,SF,20,63,10.7,22.2,17.4,0.128,49,0.633,132,0.492,79,0.316,0.507,3.7,2.1,11.1,0.2,2.8,0.35,0.11,4.3,
Kemba Walker,Cha,PG,25,81,35.6,74.2,26.5,0.101,438,0.847,841,0.459,490,0.371,0.554,20.9,4.4,6.8,5.2,25.7,1.57,0.48,8.8,
Kendall Marshall,Phi,PG,24,30,13.3,27.8,18.3,0.258,13,0.692,69,0.391,49,0.327,0.449,3.7,0.9,3.8,2.4,28.4,0.53,0.07,6,
Kendrick Perkins,Nor,C,31,37,14.6,30.5,10.4,0.323,25,0.44,75,0.533,0,0,0.529,2.5,3.5,13.1,0.8,7.9,0.3,0.3,5.2,
Kenneth Faried,Den,PF,26,67,25.3,52.7,21,0.112,222,0.613,624,0.558,2,0.5,0.577,12.5,8.7,19,1.2,8.1,0.48,0.9,8,
Kent Bazemore,Atl,SF,26,75,27.8,57.9,20,0.148,151,0.815,420,0.502,305,0.357,0.551,11.6,5.1,9.9,2.3,12.8,1.31,0.51,7.4,
Kentavious Caldwell-Pope,Det,SG,22,76,36.7,76.4,18.2,0.09,228,0.811,591,0.489,369,0.309,0.521,14.5,3.7,5.5,1.8,7.8,1.45,0.22,5,
