FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
James Harden,Okc,SG,22,76,6,108.7,104.3,20.6,0.135,248,0.375,240,0.808,0.484,0.551,22.7,9.9,3.2,1.8,5.1,,
Jarvis Hayes,Njn,SF,28,45,37,102.8,112.7,16.4,0.077,179,0.335,18,0.778,0.512,0.521,22.8,7.8,2.4,0.9,3.7,,
J.J. Hickson,Cle,PF,21,81,1,109.1,103.7,19.1,0.134,1,0,163,0.681,0.554,0.58,20.7,8.5,4.9,0.5,3.7,,
Jordan Hill,Hou,C,22,23,59,114.6,107.4,18.1,0.122,0,0,47,0.66,0.532,0.567,16,6.4,5,0.6,3.6,,
Jordan Hill,Nyk,C,22,24,58,103,109.2,20.8,0.104,4,0.25,21,0.714,0.452,0.484,10.3,4.2,2.5,0.3,2,,
Jrue Holiday,Phi,PG,19,73,9,100.1,111.7,18.6,0.218,159,0.39,86,0.756,0.503,0.527,24,8,2.6,3.8,6.2,,
Josh Howard,Dal,SF,29,31,51,98.8,108.5,24.1,0.098,75,0.267,119,0.79,0.43,0.492,26.5,12.5,3.6,1.4,5.1,,
Juwan Howard,Por,PF,36,73,9,106.6,108.4,14.2,0.151,1,0,70,0.786,0.509,0.538,22.2,6,4.6,0.8,4.3,,
Jarrett Jack,Tor,PG,26,82,0,115.7,115.8,19,0.173,199,0.412,241,0.842,0.542,0.599,27.2,11.4,2.7,5,7.2,,
Jared Jeffries,Hou,PF,28,18,64,100.8,107.8,15.1,0.127,9,0.111,27,0.556,0.435,0.459,18.2,4.9,3.6,1,4,,
Jared Jeffries,Nyk,PF,28,52,30,107.3,111.3,10.3,0.186,62,0.323,93,0.645,0.487,0.524,27.9,5.5,4.3,1.6,5.8,,
Jonas Jerebko,Det,SF,22,80,2,112.1,111.3,16.5,0.108,115,0.313,176,0.71,0.511,0.545,27.7,9.3,6,0.7,4.9,,
James Johnson,Chi,PF,22,66,16,95.2,104.2,18.7,0.195,51,0.333,70,0.729,0.485,0.525,11.9,4.2,2,0.7,2.6,,
Joe Johnson,Atl,SG,28,75,7,112.7,109.4,26.7,0.088,345,0.368,269,0.818,0.505,0.539,37.8,21.3,4.6,4.9,9.5,,
James Jones,Mia,SG,29,36,46,113.2,108.4,13.5,0.077,90,0.411,28,0.821,0.517,0.556,13.8,4.1,1.3,0.5,2.1,,
Jason Kapono,Phi,SG,28,57,25,102.9,115.4,16.3,0.1,171,0.368,15,0.6,0.523,0.527,16.9,5.7,1.2,0.7,2.4,,
Jason Kidd,Dal,PG,36,80,2,115.7,104.9,14.4,0.214,414,0.425,99,0.808,0.554,0.577,35.8,10.3,5.6,9.1,12.2,,
Jamaal Magloire,Mia,C,31,36,46,96.3,101.2,13.2,0.172,0,0,59,0.356,0.5,0.47,9.8,2.1,3.4,0,0,,
Jason Maxiell,Det,PF,26,76,6,107.9,111.1,17.2,0.123,1,0,155,0.574,0.511,0.531,20.2,6.8,5.3,0.5,3.8,,
JaVale McGee,Was,C,22,60,22,105.6,105.3,19.6,0.124,1,0,116,0.638,0.506,0.538,16,6.4,4.1,0.2,2.4,,
Josh McRoberts,Ind,PF,22,42,40,114.9,105.9,15.2,0.105,23,0.348,38,0.5,0.552,0.553,12.3,4.3,3,1,3.3,,
Jodie Meeks,Phi,SG,22,19,63,119.3,113.9,20.8,0.048,50,0.38,18,0.722,0.544,0.566,12.1,5.9,1.4,0.9,2.5,,
Jodie Meeks,Mil,SG,22,41,41,91.4,105.5,20.1,0.097,82,0.28,21,0.857,0.427,0.454,11.7,4.1,1.8,0.5,2.2,,
Jamario Moon,Cle,SF,29,61,21,114.2,102.7,13,0.079,100,0.32,45,0.8,0.526,0.555,17.1,4.9,3.1,0.8,3.5,,
Jameer Nelson,Orl,PG,27,65,17,110,105.8,22.4,0.155,226,0.381,116,0.845,0.51,0.54,28.4,12.6,3,5.4,7.7,,
Joakim Noah,Chi,C,24,64,18,111.4,101.4,17.4,0.16,0,0,219,0.744,0.504,0.557,29.9,10.7,11,2.1,8.8,,
Jermaine OÕNeal,Mia,C,31,70,12,108,103.5,23,0.129,2,0,225,0.72,0.529,0.563,28.3,13.6,6.9,1.3,6.3,,
Jannero Pargo,Chi,SG,30,63,19,89.7,107.8,24.9,0.111,138,0.275,45,0.933,0.396,0.429,13,5.5,1.3,1.4,2.9,,
Jeff Pendergraph,Por,SF,22,39,43,129.7,104.5,10.4,0.14,0,0,20,0.9,0.662,0.705,10.2,2.7,2.5,0,0,,
Johan Petro,Den,C,23,36,46,105.1,104.5,13.7,0.173,1,0,21,0.667,0.535,0.553,11.9,3.4,3.6,0.4,2.6,,
James Posey,Nor,SF,33,77,5,107.9,110.3,11.5,0.118,242,0.335,80,0.825,0.483,0.525,22.3,5.2,4.3,1.5,5.2,,
Josh Powell,Lal,PF,27,63,19,89,106.1,19.2,0.134,16,0.438,31,0.645,0.384,0.407,9,2.7,1.8,0.6,2.1,,
Joel Przybilla,Por,C,30,30,52,104,102,10.5,0.265,0,0,51,0.647,0.523,0.567,22.5,4.1,7.9,0.3,3.8,,
J.J. Redick,Orl,SG,25,82,0,123.5,107.3,18.4,0.088,274,0.405,222,0.86,0.54,0.606,21.8,9.6,1.9,1.9,4.3,,
Jason Richardson,Pho,SG,28,79,3,116,111,20.5,0.079,400,0.393,184,0.739,0.553,0.574,31.2,15.7,5.1,1.8,6.6,,
John Salmons,Mil,SF,30,30,52,116.1,107.7,23.5,0.094,117,0.385,158,0.867,0.518,0.581,37.5,19.9,3.2,3.3,7.3,,
John Salmons,Chi,SF,30,51,31,106,106.7,18.3,0.102,192,0.38,147,0.789,0.485,0.529,33.1,12.7,3.4,2.5,6.6,,
James Singleton,Was,PF,28,32,50,99.5,107.8,15.2,0.147,15,0.133,56,0.839,0.389,0.454,23.8,6.1,6.9,0.7,4.9,,
James Singleton,Dal,PF,28,25,57,91.8,101.5,17.3,0.153,22,0.227,6,1,0.414,0.443,8.2,2.4,2.2,0.4,1.9,,
Jason Smith,Phi,PF,23,56,26,100.4,109.3,16.2,0.154,29,0.345,42,0.69,0.46,0.491,11.5,3.4,2.4,0.6,2.5,,
Josh Smith,Atl,PF,23,81,1,109.3,101.7,22.5,0.143,7,0,422,0.618,0.505,0.536,35.2,15.7,8.7,4.2,10.9,,
J.R. Smith,Den,SG,24,75,7,101,107.5,27.2,0.11,467,0.338,201,0.706,0.491,0.516,27.2,15.4,3.1,2.4,5.9,,
Jerry Stackhouse,Mil,SF,35,42,40,97,107.1,22.8,0.16,130,0.346,69,0.797,0.479,0.517,20.1,8.5,2.4,1.7,4.3,,
Jermaine Taylor,Hou,PG,22,31,51,95.4,109.7,24,0.12,22,0.227,46,0.717,0.399,0.46,9.6,4.1,1.5,0.5,1.9,,
Jeff Teague,Atl,PG,21,71,11,96.6,106.6,19.7,0.167,32,0.219,49,0.837,0.412,0.459,9.9,3.2,0.9,1.7,2.5,,
Jason Terry,Dal,SG,32,77,5,112.2,109.7,22.8,0.086,373,0.365,268,0.866,0.503,0.552,32.8,16.6,1.8,3.8,6.1,,
Jason Thompson,Sac,PF,23,75,7,105.5,109.7,20,0.133,10,0.1,277,0.715,0.473,0.518,31.3,12.5,8.5,1.7,7.7,,
Jamaal Tinsley,Mem,PG,31,38,44,85.5,108.9,16.7,0.293,39,0.179,27,0.815,0.396,0.438,15.3,3.5,1.7,2.8,4.2,,
Jason Williams,Orl,PG,34,82,0,114.8,105.9,14.5,0.164,221,0.38,41,0.756,0.542,0.555,20.6,6,1.5,3.6,4.8,,
Jawad Williams,Cle,PF,26,54,28,104.1,107.7,15.6,0.074,93,0.323,45,0.711,0.466,0.496,13.5,4.1,1.5,0.6,2.3,,
Julian Wright,Nor,SF,22,68,14,101.5,111.2,15.7,0.15,6,0.333,41,0.61,0.504,0.518,12.6,3.8,2.1,0.6,2.5,,
Joe Smith,Atl,PF,34,64,18,103.3,107.3,19,0.093,7,0.143,48,0.813,0.402,0.453,9.1,3,2.5,0.3,1.9,,
Kelenna Azubuike,Gol,SF,26,9,73,122.7,113.6,19.4,0.065,27,0.37,28,0.679,0.602,0.623,25.4,13.9,4.6,1.1,5,,
Keith Bogans,San,SG,29,79,3,106.4,106.3,11.3,0.144,197,0.36,50,0.74,0.523,0.548,19.6,4.5,2.2,1.2,3.7,,
Kwame Brown,Det,C,27,48,34,88.3,110.3,15.5,0.205,1,0,98,0.337,0.5,0.47,13.6,3.3,3.7,0.5,2.9,,
Kobe Bryant,Lal,SG,31,73,9,109.3,104.4,32.8,0.114,301,0.329,541,0.811,0.488,0.545,38.6,27,5.4,5,10.1,,
Keyon Dooling,Njn,SG,29,53,29,102.8,114,19.7,0.144,157,0.376,61,0.77,0.489,0.519,18.1,6.9,1,2.5,3.6,,
Kevin Durant,Okc,SF,21,82,0,117.8,103.4,32.2,0.117,352,0.364,840,0.9,0.514,0.606,39.3,30.1,7.6,2.8,9.4,,
Kyrylo Fesenko,Uta,C,23,49,33,100.3,105.7,16.5,0.167,1,0,57,0.421,0.547,0.533,8.1,2.6,1.8,0.3,1.6,,
Kevin Garnett,Bos,PF,33,69,13,112.8,101.4,21.8,0.104,5,0.2,221,0.837,0.522,0.57,29.6,14.3,7.3,2.7,8.4,,
Kirk Hinrich,Chi,PG,29,74,8,103.4,107.2,17.1,0.128,277,0.368,121,0.752,0.478,0.502,33.6,11.1,3.5,4.5,8.1,,
Kris Humphries,Dal,PF,24,25,57,104.2,105,21.5,0.088,0,0,44,0.568,0.461,0.487,12.4,5.2,3.8,0.3,2.4,,
Kris Humphries,Njn,PF,24,44,38,100.1,106.1,21,0.129,1,0,146,0.699,0.433,0.498,20.4,8.1,6.4,0.6,4.3,,
Kyle Korver,Uta,SG,28,52,30,116.5,107.8,16.6,0.122,111,0.532,49,0.796,0.598,0.62,18.1,7.2,2.1,1.7,4,,
Kevin Love,Min,PF,21,60,22,112.7,109.1,22.9,0.132,106,0.33,276,0.815,0.478,0.549,28.4,14,11,2.3,9,,
Kyle Lowry,Hou,PG,23,68,14,113.2,109.1,19.1,0.167,136,0.272,260,0.827,0.436,0.536,24.1,9.1,3.6,4.5,7.3,,
Kenyon Martin,Den,PF,32,59,23,101.8,104.2,17.8,0.114,33,0.273,180,0.572,0.466,0.487,33.8,11.8,9.3,1.8,8.3,,
Kevin Martin,Hou,SG,26,23,59,112.3,111,26,0.117,96,0.313,172,0.936,0.473,0.581,35.3,20.9,2.7,2.2,5.9,,
Kevin Martin,Sac,SG,26,22,60,111.7,112.5,25.7,0.079,109,0.349,155,0.819,0.453,0.533,35,19.7,4.3,2.6,7.3,,
Kevin Ollie,Okc,PG,37,25,57,104.2,107.3,9.3,0.093,1,0,8,1,0.4,0.453,10.3,1.8,1,0.8,2,,
Kendrick Perkins,Bos,C,25,78,4,105.7,101.9,17.4,0.205,3,0,280,0.582,0.603,0.614,27.4,10.1,7.6,1,5.9,,
Kenny Thomas,Sac,PF,32,26,56,101.4,108.3,8.3,0.297,0,0,12,0.583,0.486,0.509,11.8,1.6,3.3,0.6,2.9,,
Kurt Thomas,Mil,PF,37,70,12,99.5,101.2,11.9,0.182,0,0,15,0.8,0.478,0.492,14.8,3,4.2,0.7,3.5,,
Kyle Weaver,Okc,SG,23,12,70,107.8,103,12.5,0.101,19,0.368,6,0.833,0.47,0.505,11.8,3,1.5,0.9,2.5,,
LaMarcus Aldridge,Por,PF,24,78,4,113.2,106.9,23.3,0.074,16,0.313,304,0.757,0.497,0.535,37.3,17.9,8,2.1,8.6,,
Louis Amundson,Pho,PF,27,79,3,112.9,106.8,14.5,0.147,1,0,123,0.545,0.551,0.562,14.6,4.7,4.4,0.4,3,,
Leandro Barbosa,Pho,SG,27,44,38,105.2,112.5,24.6,0.104,136,0.324,73,0.877,0.485,0.526,17.7,9.5,1.6,1.5,3.5,,
Luol Deng,Chi,SF,24,70,12,106.4,105.9,22.2,0.104,83,0.386,330,0.764,0.482,0.531,37.7,17.6,7.3,2,8.2,,
Luther Head,Ind,SG,27,47,35,98.4,111,21.1,0.14,105,0.352,58,0.828,0.497,0.53,17.1,7.6,1.7,1.5,3.5,,
Larry Hughes,Cha,SG,30,14,68,96.1,102.9,22.4,0.135,42,0.357,34,0.853,0.397,0.467,20.9,8.1,2.3,2,4.6,,
Larry Hughes,Nyk,SG,30,31,51,97,110.5,20.3,0.151,97,0.289,79,0.823,0.416,0.473,26.2,9.6,3.5,3.5,6.8,,
Lindsey Hunter,Chi,PG,38,13,69,56.2,110.2,13.2,0.115,13,0.077,2,1,0.183,0.21,9.2,1,1.1,0.7,1.9,,
LeBron James,Cle,SF,25,76,6,121.1,101.8,33.7,0.123,387,0.333,773,0.767,0.545,0.604,38.8,29.7,7.3,8.6,13.5,,
Luc Mbah a Moute,Mil,SF,23,73,9,110.9,104.5,12.6,0.141,17,0.353,133,0.699,0.488,0.53,25.4,6.2,5.5,1.1,5.4,,
Lamar Odom,Lal,PF,30,82,0,108.9,100.3,17.3,0.155,182,0.319,202,0.693,0.503,0.534,31.3,10.8,9.8,3.3,10,,
Leon Powe,Cle,PF,26,20,62,104.5,103.7,17.7,0.125,0,0,63,0.587,0.429,0.515,11.6,4,3.1,0,0,,
Luke Ridnour,Mil,PG,28,82,0,115.8,107.5,22.9,0.125,181,0.381,140,0.907,0.528,0.57,21.2,10.4,1.7,4,5.2,,
Luis Scola,Hou,PF,29,82,0,108.3,107.1,23.3,0.119,5,0.2,267,0.779,0.514,0.55,32.4,16.2,8.6,2.1,8.4,,
Luke Walton,Lal,SF,29,29,53,96,105.3,16.6,0.123,17,0.412,4,0.5,0.399,0.402,9.2,2.4,1.3,1.4,2.6,,
Lou Williams,Phi,PG,23,64,18,116.1,112,21.4,0.121,206,0.34,233,0.824,0.521,0.576,29.7,14,2.9,4.2,7.1,,
Malik Allen,Den,PF,31,51,31,92.6,109.6,14.1,0.153,6,0.167,13,0.923,0.401,0.431,8.8,2.1,1.6,0.3,1.6,,
Marcus Banks,Tor,PG,28,22,60,111.9,112.8,19.9,0.189,24,0.292,29,0.828,0.582,0.635,10.9,5,1,1.2,2.4,,
Matt Barnes,Orl,SF,29,81,1,111.5,102.6,16.2,0.153,207,0.319,146,0.74,0.546,0.576,25.8,8.8,5.5,1.7,6.2,,
Michael Beasley,Mia,PF,21,78,4,101.5,103.3,25.9,0.103,102,0.275,240,0.8,0.463,0.505,29.7,14.8,6.4,1.3,6.3,,
Marco Belinelli,Tor,SG,23,66,16,105.8,114.9,20,0.122,157,0.376,121,0.835,0.483,0.54,16.8,7.1,1.4,1.3,3.1,,
Mike Bibby,Atl,PG,31,80,2,113.1,109.9,16.4,0.117,324,0.389,79,0.861,0.514,0.538,27.2,9.1,2.3,3.9,6.2,,
Matt Bonner,San,PF,29,65,17,117.3,104.5,17.4,0.088,231,0.39,48,0.729,0.567,0.581,17.7,7,3.3,1,3.9,,
Marcus Camby,Por,C,35,23,59,112.2,99.4,12.5,0.145,1,0,31,0.581,0.497,0.511,31,7,11.1,1.5,8,,
Marcus Camby,Lac,PF,35,51,31,111,101.8,13.2,0.139,6,0.333,91,0.659,0.469,0.497,31.1,7.7,12.1,3,10.4,,
Mario Chalmers,Mia,PG,23,73,9,100.8,105.8,16.4,0.197,236,0.318,110,0.745,0.483,0.519,24.5,7.1,1.8,3.4,5.3,,
Mardy Collins,Lac,SG,25,43,39,82.1,110.9,16.6,0.189,17,0.235,21,0.619,0.383,0.404,10.8,2.6,1.2,1,2.3,,
Mike Conley,Mem,PG,22,80,2,107.8,111.5,19.2,0.157,212,0.387,187,0.743,0.494,0.526,31.9,12,2.4,5.3,7.4,,
Marquis Daniels,Bos,SG,29,51,31,102,107.5,15.7,0.133,28,0.214,56,0.607,0.51,0.526,18.2,5.6,1.9,1.3,3.6,,
Mike Dunleavy,Ind,SF,29,67,15,103.8,108.9,20.6,0.103,236,0.318,158,0.842,0.478,0.531,22,9.9,3.5,1.5,4.9,,
Monta Ellis,Gol,SG,24,64,18,98.8,113.2,28.7,0.133,227,0.339,386,0.751,0.476,0.517,40.7,25.4,4,5.2,9.5,,
Maurice Evans,Atl,SG,31,79,3,116.9,109.8,15.7,0.045,169,0.337,61,0.754,0.518,0.539,16.5,5.7,1.9,0.6,2.7,,
Michael Finley,Bos,SF,36,21,61,116.5,108.6,14.5,0.082,41,0.463,6,0.333,0.615,0.608,14.8,5.2,1.6,1.1,3,,
Michael Finley,San,SF,36,25,57,93.5,108.2,13.6,0.114,41,0.317,9,0.667,0.448,0.461,15.6,3.7,1.5,0.8,2.7,,
Marc Gasol,Mem,C,25,69,13,120.5,107.3,17.5,0.142,1,0,376,0.67,0.581,0.617,35.6,14.6,9.3,2.4,9.3,,
Manu Ginobili,San,SG,32,75,7,118.2,104,26.4,0.127,350,0.377,355,0.87,0.514,0.584,28.5,16.5,3.8,4.9,8.1,,
Marcin Gortat,Orl,C,25,81,1,113,99,13.2,0.15,3,0,75,0.68,0.533,0.563,13.2,3.6,4.2,0.2,2.2,,
Mike Miller,Was,SF,29,54,28,113.8,110.6,15,0.198,171,0.48,85,0.824,0.596,0.623,33.2,10.9,6.2,3.9,9.3,,
Mikki Moore,Gol,PF,33,23,59,115.2,115.6,11.9,0.181,0,0,11,0.636,0.6,0.606,17.5,5,3,1.6,4.4,,
Mehmet Okur,Uta,C,30,73,9,108.8,105.1,21.5,0.127,213,0.385,239,0.82,0.512,0.562,29.2,13.5,7.1,1.6,6.9,,
Morris Peterson,Nor,SG,32,46,36,102.2,112.5,16.7,0.077,171,0.363,54,0.611,0.488,0.503,21,7.1,2.7,0.9,3.7,,
Mickael Pietrus,Orl,SG,27,75,7,106.1,103.7,18.1,0.105,306,0.379,109,0.633,0.54,0.555,22.3,8.7,2.9,0.7,3.6,,
Micheal Redd,Mil,SG,30,18,64,97.8,106.1,24.6,0.058,60,0.3,66,0.712,0.394,0.444,27.1,11.9,3,2.1,5.5,,
Marreese Speights,Phi,C,22,62,20,107.3,109,25.5,0.091,5,0,145,0.745,0.479,0.525,16.2,8.6,4.1,0.6,3.4,,
Marcus Thornton,Nor,SG,32,73,9,110.9,113.1,25.5,0.073,313,0.374,177,0.814,0.517,0.55,25.5,14.5,2.9,1.5,4.8,,
Martell Webster,Por,PG,23,82,0,110.9,107.9,18.6,0.078,332,0.373,155,0.813,0.502,0.543,24.3,9.4,3.3,0.8,4,,
Marcus Williams,Mem,PG,24,62,20,94.9,111.4,19.4,0.2,81,0.296,55,0.673,0.428,0.456,13.9,4.3,1.5,2.6,3.8,,
Marvin Williams,Atl,SF,23,80,2,112.8,107.7,15.9,0.084,136,0.301,215,0.819,0.48,0.536,30.4,10.2,5.1,1.2,5.7,,
Mo Williams,Cle,PG,27,70,12,111.7,106.6,22,0.157,367,0.431,198,0.894,0.539,0.583,33.8,15.7,3,5.1,8,,
Nicolas Batum,Por,SF,21,37,45,127.3,106.7,16.8,0.085,132,0.409,51,0.843,0.619,0.646,24.6,10.1,3.8,1.2,4.8,,
Nick Collison,Okc,C,29,75,7,119.8,104.3,12.2,0.15,4,0.25,107,0.692,0.591,0.616,20.5,5.9,5.1,0.5,3.7,,
Nene Hilario,Den,C,27,82,0,124.6,104.8,16.6,0.12,2,0,416,0.704,0.587,0.63,33.1,13.8,7.5,2.5,8.5,,
Nathan Jawai,Min,C,23,39,43,99.8,112.1,16.9,0.175,1,0,38,0.684,0.441,0.485,10.4,3.2,2.7,0.6,2.6,,
Nenad Krstic,Okc,C,26,76,6,110.3,105.6,17.3,0.087,5,0.2,106,0.717,0.504,0.528,22.7,8.4,5,0.7,4.3,,
Nazr Mohammed,Cha,C,32,58,24,113,100.2,21.6,0.118,0,0,125,0.648,0.551,0.577,16.8,7.9,5.3,0.5,3.5,,
Nate Robinson,Bos,PG,25,26,56,104.2,104.1,22.3,0.109,87,0.414,13,0.615,0.516,0.522,14.5,6.5,1.5,2,3.5,,
Nate Robinson,Nyk,PG,25,30,52,109.1,113.7,25.4,0.128,136,0.375,54,0.778,0.528,0.552,24.2,13.2,2.4,3.7,6,,
Nick Young,Was,SG,24,74,8,104.3,114.4,21.9,0.083,170,0.406,130,0.8,0.479,0.519,19,8.6,1.4,0.7,2.7,,
Omri Casspi,Sac,SF,21,77,5,104.3,110.9,19.8,0.116,202,0.371,174,0.672,0.503,0.53,24.9,10.3,4.5,1.3,5.3,,
O.J. Mayo,Mem,SG,22,82,0,110.2,112.1,21.5,0.119,355,0.383,262,0.809,0.516,0.551,37.8,17.5,3.8,3,7.6,,
Oleksiy Pecherov,Min,PF,24,44,38,94.4,109.9,23.5,0.137,52,0.269,32,0.906,0.447,0.487,10,4.5,2.8,0.3,2,,
Pau Gasol,Lal,PF,29,65,17,120,101.9,21.8,0.125,5,0,362,0.79,0.535,0.592,36.8,18.3,11.2,3.4,11.2,,
Paul Millsap,Uta,PF,24,82,0,113.3,104,19.1,0.122,9,0.111,264,0.693,0.538,0.573,27.6,11.6,6.8,1.6,6.7,,
Paul Pierce,Bos,SF,32,71,11,114.2,105.3,23.5,0.136,263,0.414,433,0.852,0.535,0.613,33.8,18.3,4.4,3.1,7.7,,
Peja Stojakovic,Nor,SF,32,62,20,108.4,113.4,18.7,0.071,352,0.375,107,0.897,0.5,0.533,31.2,12.6,3.6,1.5,5.5,,
Quentin Richardson,Mia,SF,29,76,6,114.5,104.6,14.9,0.095,358,0.397,71,0.732,0.558,0.572,27.2,8.9,4.9,1.3,5.6,,
Quinton Ross,Was,SG,28,25,57,70.9,113.5,11.7,0.122,8,0.125,6,0.5,0.318,0.33,10.2,1.5,0.9,0.2,1.2,,
Quinton Ross,Dal,SG,28,27,55,102.3,110.4,9.6,0.048,13,0.231,8,0.625,0.438,0.454,11,2,1,0.3,1.5,,
Ray Allen,Bos,SG,34,80,2,114.9,108.3,19.9,0.106,399,0.363,253,0.913,0.551,0.601,35.1,16.3,3.2,2.6,6.6,,
Rafer Alston,Njn,PG,33,27,55,87.4,112.4,21.9,0.169,87,0.322,54,0.815,0.394,0.436,28.2,9.7,2.8,3.9,6.8,,
Rafer Alston,Mia,PG,33,25,57,93.5,107.1,15.5,0.158,81,0.37,27,0.556,0.444,0.456,26,6.6,2.2,2.9,5.5,,
Ryan Anderson,Orl,SF,21,63,19,112.1,103,24.7,0.117,211,0.37,82,0.866,0.536,0.574,14.2,7.7,3.2,0.6,3,,
Ron Artest,Lal,SF,30,77,5,105.9,105,16.6,0.129,296,0.355,186,0.688,0.484,0.514,33.6,11,4.3,3,7.6,,
Rodrigue Beaubois,Dal,PG,21,56,26,110.7,106.8,24.7,0.144,110,0.409,52,0.808,0.594,0.617,12.3,7.1,1.4,1.3,2.8,,
Ronnie Brewer,Uta,SG,24,53,29,110.7,106.3,14.4,0.097,31,0.258,128,0.633,0.505,0.53,31.2,9.5,3.4,2.8,6.7,,
Rasual Butler,Lac,SF,30,82,0,106.3,114,17.2,0.078,432,0.336,145,0.841,0.493,0.524,32.8,11.9,2.9,1.4,5.1,,
Rodney Carney,Phi,SF,25,68,14,109.5,110.8,18,0.063,135,0.304,63,0.825,0.473,0.515,12.4,4.7,2,0.5,2.3,,
Ricky Davis,Lac,SG,30,36,46,96.3,113.3,17.2,0.156,42,0.381,31,0.581,0.49,0.504,13.7,4.4,1.6,1.1,2.9,,
Reggie Evans,Tor,PF,29,28,54,95.9,107.6,17.3,0.187,0,0,60,0.45,0.493,0.498,10.9,3.4,3.8,0.3,2.3,,
Raymond Felton,Cha,PG,25,80,2,107,102.4,19.3,0.154,156,0.385,173,0.763,0.494,0.525,32.8,12.1,3.6,5.6,8.7,,
Rudy Fernandez,Por,SG,24,62,20,108.6,107,18.2,0.134,266,0.368,98,0.867,0.494,0.54,23,8.1,2.6,2,4.9,,
Randy Foye,Was,PG,26,70,12,106.8,114,21.5,0.121,182,0.346,145,0.89,0.465,0.516,23.6,10.1,1.9,3.3,5.3,,
Rudy Gay,Mem,SF,23,80,2,108.5,109.7,23.3,0.103,202,0.327,400,0.753,0.491,0.535,39.5,19.6,5.9,1.9,7.6,,
Ryan Gomes,Min,PF,27,76,6,105.4,113.2,17.7,0.109,199,0.372,126,0.825,0.497,0.528,28.9,10.9,4.6,1.6,6,,
Richard Hamilton,Det,SG,31,46,36,104.1,116.3,29.1,0.123,138,0.297,241,0.846,0.437,0.505,33.5,18.1,2.7,4.4,7.4,,
Roy Hibbert,Ind,C,23,81,1,105.3,107,22,0.141,6,0.5,224,0.754,0.497,0.537,24.9,11.7,5.7,2,6.6,,
Ryan Hollins,Min,PF,25,73,9,104.9,113.4,17,0.203,1,0,158,0.69,0.558,0.6,16.6,6.1,2.8,0.7,3.2,,
Royal Ivey,Phi,SG,28,26,56,124.9,111.5,12.5,0.079,24,0.5,7,0.857,0.582,0.603,8.9,2.7,1,0.7,1.8,,
Richard Jefferson,San,SF,29,81,1,110.2,106.4,18.6,0.104,187,0.316,287,0.735,0.505,0.55,30.9,12.2,4.4,2,6.5,,
Rashard Levis,Orl,SF,30,72,10,111,103.8,19.5,0.109,423,0.397,180,0.806,0.539,0.573,32.7,14.1,4.4,1.5,6,,
Robin Lopez,Pho,C,21,51,31,123,110,17.2,0.106,0,0,125,0.704,0.586,0.62,19.1,8.4,4.9,0.1,2.1,,
Roger Mason Jr.,San,SG,29,79,3,101,107.2,17.6,0.104,264,0.333,34,0.794,0.478,0.49,19,6.3,2.1,1.7,4.1,,
Ronald Murray,Chi,PG,30,29,53,101.6,107.9,21.9,0.08,90,0.311,63,0.762,0.449,0.487,23.2,10.1,2.9,1.7,4.9,,
Ronald Murray,Cha,PG,30,46,36,96.4,104.3,25.2,0.122,131,0.313,129,0.713,0.439,0.484,21.4,9.8,2.1,1.8,4.3,,
Rasho Nesterovic,Tor,C,33,42,40,111.3,112.1,19,0.096,0,0,5,0.2,0.544,0.539,9.4,3.9,2.1,0.6,2.3,,
Ronnie Price,Uta,PG,26,60,22,98.4,106.5,18.6,0.173,63,0.286,59,0.695,0.442,0.476,13.2,4.3,1.2,2.1,3.2,,
Rajon Rondo,Bos,PG,23,81,1,111.3,103.5,19.9,0.193,80,0.213,282,0.621,0.517,0.54,36.4,13.7,4.4,9.8,11.6,,
Ramon Sessions,Min,PG,23,82,0,101.6,113.9,20.4,0.172,15,0.067,233,0.717,0.457,0.513,20.9,8.2,2.6,3.2,5.6,,
Rodney Stuckey,Det,PG,23,73,9,102.8,112.8,27.6,0.114,79,0.228,359,0.833,0.413,0.479,34,16.6,3.8,4.8,8.5,,
Ronny Turiaf,Gol,C,27,42,40,110.7,110.8,10.9,0.214,1,0,78,0.474,0.582,0.574,20.6,4.9,4.5,2.1,5.8,,
Rasheed Wallace,Bos,C,35,79,3,100.3,100.9,20,0.082,290,0.283,125,0.768,0.472,0.504,22.3,9,4.1,1,4.5,,
Russell Westbrook,Okc,PG,21,82,0,104.8,105.9,25.9,0.166,104,0.221,422,0.78,0.428,0.491,34.1,16.1,4.9,8,11,,
Reggie Williams,Gol,SF,23,24,58,116.3,114.7,18,0.085,92,0.359,62,0.839,0.553,0.588,32.4,15.2,4.6,2.8,7.5,,
Shane Battier,Hou,SF,31,67,15,113.5,108.4,11.7,0.115,279,0.362,106,0.726,0.511,0.541,32.2,8,4.7,2.4,7.1,,
Steve Blake,Lac,PG,29,29,53,107.5,113.2,14.3,0.266,87,0.437,16,0.75,0.557,0.569,26.1,6.8,2.4,6.1,7.3,,
Steve Blake,Por,PG,29,51,31,109.4,109.8,15.1,0.15,207,0.377,32,0.75,0.513,0.526,27.2,7.6,2.3,4,6.3,,
Shannon Brown,Lal,SG,24,82,0,105.2,105.1,19.2,0.095,189,0.328,121,0.818,0.48,0.517,20.5,8.1,2.2,1.3,3.9,,
