FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
A.J. Price,Was,PG,26,57,22.2,45.7,18.2,0.127,62,0.79,213,0.427,200,0.35,0.501,7.7,2,5,3.6,26.7,0.58,0.05,6.9
Aaron Brooks,Sac,PG,28,46,20.7,42.5,18.2,0.162,52,0.769,176,0.517,127,0.378,0.562,8,1.7,4.6,2.3,18,0.63,0.15,6.1
Aaron Gray,Tor,C,28,42,12,24.3,13.4,0.248,44,0.523,90,0.533,0,0,0.544,2.8,3.2,15.7,0.8,10.1,0.17,0.12,6.4
Al Horford,Atl,C,26,74,37,76.4,21.9,0.113,208,0.644,1054,0.544,6,0.5,0.56,17.4,10.2,15.8,3.2,15.5,1.05,1.05,9
Al Jefferson,Uta,C,28,78,32.5,67.1,25.7,0.073,217,0.77,1219,0.499,17,0.118,0.522,17.8,9.2,16.6,2.1,12.3,1.03,1.14,8.6
Alan Anderson,Tor,SG,30,65,22.8,46.6,23.8,0.105,147,0.857,331,0.426,285,0.333,0.509,10.7,2.3,5.9,1.6,11.9,0.74,0.11,6
Alec Burks,Uta,SG,21,64,17.3,35.6,21.2,0.143,129,0.713,295,0.437,92,0.359,0.506,7,2.3,7.7,1.4,13.4,0.55,0.2,6.5
Alexey Shved,Min,PG,24,77,23.7,49.2,20.8,0.173,151,0.722,347,0.435,288,0.295,0.475,8.6,2.3,5.5,3.7,25.2,0.7,0.35,7.1
Al Harrington,Orl,PF,33,10,11.7,23.5,25.5,0.106,4,0.75,27,0.444,30,0.267,0.434,5.1,2.7,13,1,13.9,0.4,0.1,8.2
Al-Farouq Aminu,Nor,SF,22,76,27,55.9,14.8,0.178,137,0.737,455,0.486,19,0.211,0.519,7.3,7.7,17,1.3,7.8,1.21,0.67,6.2
Alonzo Gee,Cle,SF,25,82,30.8,64,17.1,0.137,205,0.795,525,0.45,219,0.315,0.505,10.3,3.9,7.3,1.6,8.3,1.3,0.35,5.2
Amar’e Stoudemire,Nyk,PF,30,29,23.3,48.2,25.9,0.134,130,0.808,267,0.577,0,0,0.637,14.2,5,12.6,0.4,3.6,0.34,0.72,5.2
Amir Johnson,Tor,PF,25,81,28.5,58.5,16.2,0.145,187,0.727,593,0.558,13,0.385,0.591,10,7.5,15.7,1.5,8.8,1,1.36,6.8
Anderson Varejao,Cle,C,30,25,35.8,74.1,18.8,0.116,102,0.755,284,0.486,5,0,0.529,14.1,14.4,23.3,3.4,15.5,1.48,0.56,9.9
Andray Blatche,Bro,PF,26,82,18.8,38.8,26.7,0.138,216,0.685,654,0.524,22,0.136,0.547,10.3,5.1,16,1,10.7,1.05,0.66,8
Andre Drummond,Det,C,19,60,20.5,42.4,17.3,0.122,159,0.371,340,0.609,2,0.5,0.578,7.9,7.6,21.4,0.5,4.2,0.98,1.58,6.1
Andre Iguodala,Den,SG,29,80,34.5,71.1,18.9,0.171,270,0.574,592,0.515,287,0.317,0.52,13,5.3,8.6,5.4,22.6,1.73,0.65,8.3
Andre Miller,Den,PG,36,82,26,53.6,18.1,0.193,194,0.84,569,0.504,64,0.266,0.548,9.6,2.9,6.2,5.9,32.6,0.88,0.13,8.4
Andrea Bargnani,Tor,PF,27,35,28.4,57.2,23.9,0.105,77,0.844,303,0.436,122,0.311,0.483,12.7,3.7,7.6,1.1,6.5,0.6,0.66,5.2
Andrei Kirilenko,Min,SF,31,64,31.6,65.6,17.5,0.151,250,0.752,440,0.566,120,0.292,0.59,12.4,5.7,10.2,2.8,14.5,1.5,0.97,7.4
Andrew Bogut,Gol,C,28,32,24.3,49.9,13.6,0.148,38,0.5,183,0.448,1,1,0.463,5.8,7.7,17.3,2.1,12.6,0.63,1.72,7.5
Andrew Nicholson,Orl,PF,23,75,16.5,34.1,22.4,0.13,94,0.798,486,0.527,0,0,0.557,7.8,3.4,11.8,0.6,6.2,0.32,0.43,6.1
Antawn Jamison,Lal,SF,36,76,21.4,44.4,18.8,0.077,136,0.691,341,0.537,233,0.361,0.562,9.4,4.8,12.2,0.7,5.1,0.39,0.29,5.9
Anthony Davis,Nor,PF,19,64,28.6,59.3,21.9,0.103,225,0.751,670,0.519,6,0,0.558,13.5,8.2,17,1,6.2,1.17,1.75,6.7
Anthony Morrow,Atl,SF,27,24,12.3,24.9,19.2,0.033,18,0.889,73,0.438,38,0.395,0.526,5.2,1.1,5,0.4,4.9,0.5,0.04,4.3
Anthony Tolliver,Atl,PF,27,62,15.4,31.6,13.3,0.131,51,0.863,83,0.446,133,0.338,0.531,4.1,2.5,9.3,0.5,4.9,0.24,0.19,4.5
