FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Arnett Moultrie,Phi,C,22,47,11.3,23.5,14.3,0.115,28,0.643,134,0.582,0,0,0.595,3.7,3.1,15.4,0.2,3,0.36,0.21,4.7
Arron Afflalo,Orl,SG,27,64,35.8,74.2,22.6,0.121,223,0.857,665,0.489,239,0.301,0.527,16.5,3.7,5.9,3.2,14.8,0.63,0.17,6.5
Austin Daye,Det,SF,24,24,14.3,29.1,15.6,0.11,18,0.833,57,0.386,40,0.525,0.581,5.1,2.6,10.6,0.9,9.8,0.21,0.33,6.4
Austin Daye,Mem,SF,24,31,10.4,21.3,19.2,0.119,16,0.688,53,0.509,58,0.345,0.529,4,1.9,11,0.7,10.8,0.29,0.45,6.7
Austin Rivers,Nor,PG,20,61,23,47.7,16.9,0.145,108,0.546,304,0.385,86,0.326,0.431,6.2,1.8,4.6,2.1,14,0.43,0.15,5
Avery Bradley,Bos,PG,22,50,28.5,57.4,19,0.124,49,0.755,352,0.432,126,0.317,0.461,9.2,2.2,4.6,2.1,11.7,1.3,0.38,4.9
Ben Gordon,Cha,SG,29,75,20.6,42.6,28,0.143,127,0.843,468,0.421,292,0.387,0.515,11.2,1.7,4.8,1.9,17.9,0.47,0.21,6.4
Beno Udrih,Mil,PG,30,39,18.2,37.4,18.7,0.173,33,0.727,189,0.529,49,0.265,0.521,6.7,2,5.9,3.5,30.8,0.41,0.05,7.9
Beno Udrih,Orl,PG,30,27,27.1,55.6,20.1,0.17,70,0.857,185,0.411,53,0.396,0.512,10.2,2.3,4.9,6.1,34.7,0.93,0.04,7.7
Bismack Biyombo,Cha,C,20,80,27.1,56.2,10.3,0.167,142,0.521,346,0.451,0,0,0.472,4.8,7.2,15.2,0.4,2.5,0.35,1.79,3.5
Blake Griffin,Lac,PF,23,80,32.3,67.1,25.5,0.128,426,0.66,1044,0.548,28,0.179,0.572,18,8.3,15.3,3.7,20,1.21,0.63,10.2
Boris Diaw,San,C,30,75,22.5,46.3,12.1,0.189,65,0.723,254,0.587,78,0.385,0.603,5.8,3.4,8.7,2.4,15.2,0.69,0.36,6.4
Bradley Beal,Was,SG,19,56,31,63.7,22.3,0.106,159,0.786,451,0.424,236,0.386,0.515,13.9,3.8,6.7,2.5,14,0.89,0.52,6.6
Brandan Wright,Dal,PF,25,64,17.8,36.3,19.2,0.071,96,0.615,401,0.601,3,0,0.606,8.5,4.1,12.6,0.6,5.7,0.41,1.19,6.2
Brandon Bass,Bos,PF,27,81,27.4,56,15.6,0.109,150,0.86,587,0.487,2,0,0.535,8.7,5.2,11.3,1,6,0.54,0.79,5.2
Brandon Jennings,Mil,PG,23,80,36,74.5,23.8,0.129,281,0.819,785,0.413,462,0.374,0.51,17.5,3.1,4.6,6.5,29.3,1.56,0.14,7.8
Brandon Knight,Det,PG,21,75,31.3,64.9,22.9,0.173,225,0.733,551,0.43,327,0.367,0.511,13.3,3.3,6,4,21.5,0.77,0.11,7.2
Brandon Roy,Min,SG,28,5,24.1,48.3,17.2,0.151,10,0.7,26,0.423,9,0,0.368,5.8,2.8,6.6,4.6,29.1,0.6,0,7
Brandon Rush,Gol,SF,27,2,12.4,20.5,24,0.225,3,0.667,7,0.857,2,0,0.678,7,0.5,2.2,1,14.7,0,0,4.9
Brendan Haywood,Cha,C,33,61,18.9,39,11.7,0.169,66,0.455,215,0.433,1,0,0.441,3.5,4.8,14.4,0.5,4,0.26,0.8,4.3
Brian Roberts,Nor,PG,27,78,16.8,34.7,21.9,0.115,77,0.909,358,0.43,153,0.386,0.509,7.1,1.2,4.4,2.8,28.7,0.47,0.04,6.9
Brook Lopez,Bro,C,24,74,30.2,62.4,28.8,0.094,392,0.758,1094,0.521,1,0,0.567,19.4,6.9,13.5,0.9,6.4,0.45,2.08,6.5
Byron Mullens,Cha,PF,23,53,26.7,55.2,21.8,0.109,99,0.646,355,0.425,208,0.317,0.465,10.6,6.4,13.6,1.5,10.2,0.64,0.6,7
C.J. Miles,Cle,SF,25,65,20.8,43.2,24.1,0.095,107,0.869,286,0.451,328,0.384,0.551,11.2,2.7,7.5,1,8.2,0.75,0.26,6
C.J. Watson,Bro,PG,28,80,18.8,38.7,17.5,0.121,91,0.78,245,0.424,214,0.411,0.544,6.8,1.8,5.7,2,17.5,0.83,0.15,6.2
Carl Landry,Gol,PF,29,81,22.8,47.2,20.3,0.137,273,0.817,599,0.541,3,0.333,0.605,10.8,6,14.4,0.8,5.8,0.43,0.4,6.5
Carlos Boozer,Chi,PF,31,79,31.8,65.7,26.2,0.124,264,0.731,1138,0.478,2,0,0.51,16.2,9.8,17.6,2.3,13.7,0.84,0.35,9
Carlos Delfino,Hou,SF,30,67,25,51.8,18.7,0.1,56,0.857,199,0.467,421,0.375,0.549,10.6,3.3,7.4,2,12.6,1.01,0.13,6.6
Carmelo Anthony,Nyk,SF,28,67,36.9,76.5,35.8,0.093,512,0.83,1075,0.476,414,0.379,0.56,28.7,6.9,10.9,2.6,14.2,0.78,0.48,8.7
Caron Butler,Lac,SF,32,78,23.9,49.7,20.4,0.087,90,0.833,390,0.454,330,0.388,0.535,10.4,2.9,7.1,1,6.6,0.65,0.14,5.2
Cartier Martin,Was,SF,28,41,16.7,34.3,19.7,0.108,28,0.714,106,0.358,146,0.397,0.511,6.6,2.4,8.1,0.5,4.9,0.46,0.17,4.8
Chandler Parsons,Hou,SF,24,76,36.1,74.8,18.4,0.127,155,0.729,545,0.56,395,0.385,0.585,15.5,5.3,8.4,3.5,15.7,0.99,0.42,7.3
Charles Jenkins,Phi,PG,23,12,12.3,25,13,0.048,4,0.5,38,0.368,0,0,0.377,2.5,0.9,4.2,1.3,15.9,0.5,0.08,4.7
Charlie Villanueva,Det,PF,28,69,15.6,32.3,22.2,0.074,49,0.551,205,0.415,259,0.347,0.481,6.8,3.5,12.9,0.8,8.5,0.45,0.57,6.8
Chase Budinger,Min,SF,24,23,21.8,45.1,20.7,0.099,42,0.762,110,0.482,81,0.321,0.516,9.4,3.1,8.2,1.1,8.5,0.61,0.3,5.8
Chauncey Billups,Lac,PG,36,22,18.8,38.8,19.8,0.145,48,0.938,42,0.476,90,0.367,0.601,8.4,1.5,4.6,2.2,17.6,0.55,0.05,6.4
Chris Andersen,Mia,PF,34,42,14.7,30,14.6,0.128,93,0.677,120,0.575,3,0.667,0.631,4.9,4.1,17.2,0.4,4.1,0.38,1.05,5.5
Chris Bosh,Mia,C,28,74,33,67.9,22.9,0.11,302,0.798,833,0.557,74,0.284,0.592,16.6,6.8,12.6,1.7,8.5,0.89,1.36,7
Chris Copeland,Nyk,PF,28,56,15.2,31.5,25.7,0.107,83,0.759,240,0.513,140,0.421,0.583,8.7,2.1,8.2,0.5,5.8,0.29,0.21,5.5
Chris Douglas-Roberts,Dal,SG,25,6,10.4,17.9,14.2,0.052,10,0.7,10,0.5,4,0,0.462,2.8,0.8,4.4,0.7,9,0.33,0,4.5
Chris Duhon,Lal,PG,30,46,17.6,36.5,9.3,0.237,13,0.462,32,0.438,91,0.363,0.517,2.9,1.5,4.6,2.9,23,0.43,0.02,5.3
Chris Johnson,Mem,SF,22,8,12.6,24.7,13.2,0.104,2,0.5,7,0.714,18,0.333,0.56,3.6,1.4,6.4,0.3,3.1,0.5,0,3.6
Chris Kaman,Dal,C,30,66,20.6,42,25.5,0.137,85,0.788,616,0.508,1,0,0.529,10.5,5.6,15.1,0.8,6.8,0.47,0.76,7
Chris Paul,Lac,PG,27,70,33.2,68.9,22.8,0.137,323,0.885,624,0.538,232,0.328,0.594,16.9,3.7,6.7,9.7,46.9,2.41,0.14,10.2
Chris Quinn,Cle,PG,29,7,11.1,22.4,13.2,0.262,2,1,11,0.364,5,0,0.296,1.4,0.3,1.5,1.3,16.5,0.43,0,2.9
Chris Singleton,Was,SF,23,57,16,33,15.8,0.142,70,0.571,205,0.415,36,0.194,0.425,4.1,3.2,11.2,0.6,6.4,0.67,0.42,5
Chris Wilcox,Bos,C,30,61,13.4,27.2,12.3,0.16,57,0.684,152,0.724,1,0,0.727,4.2,3,13,0.4,4.3,0.52,0.46,5.1
Chuck Hayes,Sac,C,29,74,16.1,33.3,9.5,0.172,48,0.625,189,0.444,1,0,0.469,2.7,4.1,14.2,1.5,13.2,0.42,0.24,6.3
Cole Aldrich,Sac,C,24,15,11.4,22.9,13.2,0.177,11,0.727,37,0.568,0,0,0.598,3.3,4.2,20.8,0.2,2.7,0.13,0.93,4.9
Corey Brewer,Den,SF,26,82,24.2,49.9,23.6,0.094,216,0.69,576,0.493,307,0.296,0.506,12.1,2.9,6.6,1.5,9.5,1.44,0.28,6.2
Corey Maggette,Det,SF,33,18,14.1,28.5,20.5,0.149,48,0.75,55,0.4,21,0.238,0.489,5.3,1.4,5.7,1.1,11.6,0.33,0.11,5.7
Cory Joseph,San,PG,21,28,13.5,27.3,17.1,0.15,21,0.857,89,0.506,21,0.286,0.528,4.5,1.9,8,1.9,20.9,0.54,0.14,7.5
Courtney Lee,Bos,SG,27,78,24.7,50.3,15.9,0.131,72,0.861,374,0.503,156,0.372,0.545,7.8,2.4,5.8,1.8,11.8,1.14,0.27,5.2
D.J. Augustin,Ind,PG,25,76,16,33,15.2,0.168,99,0.838,104,0.346,190,0.353,0.527,4.7,1.2,4.2,2.2,21.9,0.45,0.04,5.8
Daequan Cook,Hou,SG,25,16,10.1,20.6,17.9,0.09,3,0.667,29,0.345,30,0.367,0.456,3.4,1.1,6.3,0.6,9.3,0.38,0.13,5.2
Dahntay Jones,Dal,SG,31,51,12.4,25.3,14.4,0.115,82,0.805,104,0.413,37,0.216,0.497,3.5,1.4,6.1,0.5,6.2,0.2,0.1,4.3
Dahntay Jones,Atl,SG,31,28,13.4,27.3,13.7,0.143,31,0.677,70,0.414,12,0.25,0.46,3.1,1.1,4.7,0.7,7.3,0.43,0.04,4
Damian Lillard,Por,PG,22,82,38.4,79.3,24.4,0.145,324,0.846,786,0.469,503,0.368,0.546,19.1,3.1,4.7,6.5,29,0.9,0.23,7.6
Damien Wilkins,Phi,SF,33,61,17.7,36.8,17.6,0.118,110,0.736,266,0.485,51,0.333,0.534,6.4,1.7,5.5,1.5,13.2,0.61,0.28,5.7
Daniel Gibson,Cle,SG,26,46,19.8,41,14.4,0.105,37,0.703,84,0.333,163,0.344,0.475,5.4,1.3,3.8,1.8,13.5,0.65,0.09,4.7
Danilo Gallinari,Den,SF,24,71,32.3,66.4,21.5,0.098,348,0.822,509,0.45,362,0.373,0.561,16.2,5.2,9,2.5,11.3,0.92,0.51,7.4
Danny Granger,Ind,SF,29,5,14.5,26.9,26.7,0.094,8,0.625,25,0.32,10,0.2,0.35,5.4,1.8,6.9,0.6,7,0.4,0.2,5
Danny Green,San,SG,25,80,26.9,55.5,16.9,0.119,79,0.848,250,0.48,413,0.429,0.6,10.5,3.1,6.6,1.8,9.8,1.15,0.68,5.8
Dante Cunningham,Min,PF,25,80,24.9,51.8,17.3,0.073,103,0.65,665,0.472,6,0,0.485,8.7,5.1,11.7,0.8,5.6,1.05,0.49,5.3
Darius Miller,Nor,SF,22,52,13.2,27.2,9.2,0.171,8,1,52,0.423,56,0.393,0.529,2.3,1.5,6.8,0.8,9.4,0.33,0.23,4.3
Darius Morris,Lal,PG,22,48,14.1,29.3,16.3,0.181,37,0.649,122,0.402,66,0.364,0.475,4,1.2,4.6,1.6,16.9,0.44,0.04,5.6
Darrell Arthur,Mem,PF,24,59,16.3,33.6,20.3,0.104,46,0.717,340,0.462,18,0.278,0.479,6.1,2.9,10.4,0.6,5.9,0.41,0.56,5.4
Darren Collison,Dal,PG,25,81,29.1,59.7,19.7,0.17,275,0.88,588,0.498,136,0.353,0.575,12,2.7,5.1,5.1,27,1.25,0.1,7.5
David Lee,Gol,PF,29,79,36.3,75.1,23.6,0.137,320,0.797,1156,0.521,4,0,0.561,18.5,11.2,17,3.5,16.8,0.85,0.28,9.9
David West,Ind,PF,32,73,33.1,68.5,24.6,0.12,315,0.768,991,0.504,19,0.211,0.545,17.2,7.7,13,2.9,16.9,1.03,0.95,8.8
DeAndre Jordan,Lac,C,24,82,24.3,50.6,16,0.143,249,0.386,488,0.643,0,0,0.606,8.8,7.2,17.7,0.3,2.2,0.59,1.37,4.4
DeJuan Blair,San,PF,23,61,13.7,28.2,19.3,0.14,70,0.629,270,0.526,1,0,0.543,5.4,3.8,15.9,0.7,8.4,0.61,0.16,7.1
DeMar DeRozan,Tor,SF,23,82,36.6,75,24.3,0.096,427,0.831,1111,0.463,120,0.283,0.523,18.1,3.9,6.3,2.5,12.1,0.93,0.29,6.1
DeMarcus Cousins,Sac,C,22,75,30.3,62.6,28.3,0.155,423,0.738,1013,0.472,23,0.174,0.524,17.1,11.3,21.1,2.7,15.5,1.44,0.73,10.6
DeMarre Carroll,Uta,SF,26,66,16.6,34.1,16.7,0.085,98,0.765,254,0.508,70,0.286,0.535,6,2.8,10.1,0.9,8.9,0.88,0.35,6
DeQuan Jones,Orl,SF,22,63,12.6,26,15.6,0.111,51,0.667,183,0.47,35,0.257,0.485,3.7,1.7,7.5,0.3,3.1,0.3,0.35,3.9
Derek Fisher,Dal,PG,38,9,25.2,46.1,18.7,0.193,23,0.913,42,0.31,23,0.435,0.513,8.6,1.7,3.6,3.7,20.9,0.56,0.22,6
Derek Fisher,Okc,PG,38,24,14.2,28.9,15.2,0.105,15,0.933,39,0.308,57,0.351,0.478,4.1,0.9,3.7,0.7,6.7,0.58,0.04,3.9
Deron Williams,Bro,PG,28,78,36.2,74.8,24.5,0.145,369,0.859,677,0.482,447,0.378,0.574,18.9,3,4.8,7.7,37.8,0.96,0.38,8.4
Derrick Favors,Uta,PF,21,77,22.9,47.2,20.9,0.16,260,0.688,561,0.488,5,0,0.534,9.4,7.1,18.1,1,7,0.87,1.69,7.1
Derrick Williams,Min,PF,21,78,24.4,50.6,23.7,0.1,271,0.705,590,0.463,196,0.332,0.515,11.9,5.5,12.9,0.6,4.4,0.56,0.47,5.6
DeSagana Diop,Cha,C,31,22,10.1,20.5,7.3,0.226,1,0,26,0.308,1,0,0.292,0.7,2.3,13.2,0.6,8.7,0.23,0.73,3.9
DeShawn Stevenson,Atl,SG,31,56,20.5,42.1,11.9,0.078,23,0.522,53,0.415,209,0.364,0.522,5.1,2.2,6.1,0.9,6.6,0.52,0.11,4.2
Devin Ebanks,Lal,SG,23,19,10.2,20.8,20.8,0.122,14,0.786,51,0.353,22,0.273,0.411,3.4,2.2,11.7,0.5,8,0.16,0.05,6.1
Devin Harris,Atl,SG,29,58,24.3,50,19.7,0.147,154,0.727,213,0.549,230,0.335,0.565,9.9,2,4.7,3.4,21.9,1.1,0.22,6.7
Dion Waiters,Cle,SG,21,61,28.6,59.4,26.3,0.118,213,0.746,612,0.446,203,0.31,0.492,14.7,2.4,4.9,3,18.5,0.97,0.26,6.6
Dirk Nowitzki,Dal,PF,34,53,31.2,63.4,24.4,0.079,193,0.86,571,0.487,157,0.414,0.564,17.3,6.8,12.1,2.5,13.6,0.7,0.66,8.5
Dominic McGuire,Tor,SF,27,15,15.2,29.2,8.5,0.168,6,0.333,32,0.469,0,0,0.462,2.1,3.2,12.5,0.7,6.5,0.33,0.53,4.4
Dominic McGuire,Nor,SF,27,9,15.9,31.6,8.8,0.186,2,0.5,21,0.429,0,0,0.434,2.1,3.1,11.7,1,9.2,0.89,0.33,4.7
Dominique Jones,Dal,SG,24,28,11.5,22.9,23.8,0.22,53,0.66,99,0.384,9,0.111,0.434,4.1,1.6,7.7,3,38.2,0.5,0.07,9.4
Donald Sloan,Cle,PG,25,20,12.7,26.1,17.9,0.127,25,0.8,59,0.339,19,0.368,0.455,4.1,1.4,6.4,1.9,22.4,0.25,0,7
Donatas Motiejunas,Hou,C,22,44,12,24.8,22.6,0.136,51,0.627,130,0.562,83,0.289,0.531,5.7,2.1,10,0.7,9.4,0.14,0.23,6.8
Dorell Wright,Phi,SF,27,79,22.4,46.4,18.9,0.088,141,0.851,238,0.429,361,0.374,0.551,9.2,3.8,9.7,1.9,13.3,0.78,0.43,7.2
Doron Lamb,Mil,SG,21,23,12,24.4,18.6,0.136,15,0.533,79,0.367,16,0.25,0.384,3.4,0.7,3.3,0.9,10.8,0.3,0,4.3
Doron Lamb,Orl,SG,21,24,12.3,25.1,13.3,0.116,19,0.632,47,0.362,21,0.476,0.498,3.2,1.2,5.6,0.5,5.9,0.25,0,4
Draymond Green,Gol,SF,22,79,13.2,27.3,14.2,0.154,55,0.818,189,0.37,67,0.209,0.405,2.9,3.3,13.7,0.7,7.2,0.53,0.32,5.7
Dwight Howard,Lal,C,27,76,35.6,73.8,22.3,0.166,721,0.492,807,0.581,6,0.167,0.573,17.1,12.4,19.3,1.4,6.7,1.11,2.45,7.5
Dwyane Wade,Mia,SG,31,69,34.4,70.9,29.6,0.132,424,0.726,1027,0.537,66,0.258,0.572,21.2,5,8.9,5.1,26.9,1.86,0.81,9.5
Earl Barron,Was,C,31,11,10.9,21.3,18.7,0.203,5,0.4,37,0.351,0,0,0.357,2.5,3.9,19.9,0.3,4,0.45,0.45,5.2
Earl Clark,Lal,PF,25,59,22.9,47.5,15.9,0.129,76,0.697,282,0.479,104,0.337,0.51,7.3,5.5,13.3,1.1,7.6,0.61,0.75,6.2
Earl Watson,Uta,PG,33,48,17.1,35,11.1,0.345,25,0.68,92,0.348,28,0.179,0.366,2,1.8,6.2,4,32.3,0.83,0.17,5.7
Ed Davis,Tor,PF,23,45,24,48.6,18.4,0.105,102,0.647,339,0.549,0,0,0.57,9.7,6.7,16.5,1.2,8.9,0.56,0.84,7.1
Ed Davis,Mem,PF,23,36,14.9,30.6,16.3,0.095,65,0.569,143,0.517,0,0,0.539,5.1,4.4,17.6,0.2,2.4,0.36,1.31,4.4
Eddy Curry,Dal,C,30,2,12.2,15.7,23.8,0.235,4,0.25,8,0.5,0,0,0.461,4.5,2,9,0,0,0,0,0
Ekpe Udoh,Mil,C,25,76,17.1,35.3,12.2,0.118,119,0.748,268,0.437,1,0,0.503,4.3,3.3,10.4,0.6,4.7,0.51,1.12,4.8
Elton Brand,Dal,C,33,72,21,43,17.3,0.099,93,0.71,477,0.474,1,0,0.499,7.2,6,15.6,1,7.2,0.71,1.28,6.7
Emeka Okafor,Was,C,30,79,25.8,53.2,19.7,0.122,191,0.571,687,0.477,0,0,0.496,9.7,8.7,18.8,1.2,8,0.57,0.97,7.2
Enes Kanter,Uta,C,20,70,15.2,31.3,22.7,0.19,117,0.795,379,0.544,1,1,0.589,7.3,4.3,16.7,0.4,5.1,0.4,0.47,6.1
Eric Bledsoe,Lac,PG,23,76,20.3,42.1,22.7,0.179,134,0.791,490,0.453,78,0.397,0.513,8.5,3,8.7,3.1,23.8,1.43,0.72,8.5
Eric Gordon,Nor,SG,24,42,29.9,61.6,29.6,0.146,222,0.842,411,0.436,173,0.324,0.523,17,1.8,3.7,3.3,19.5,1.07,0.19,6.2
Eric Maynor,Okc,PG,25,37,10.4,21.2,18.4,0.2,21,0.81,69,0.304,46,0.326,0.419,2.8,0.5,2.7,2,27.4,0.27,0,5.4
Eric Maynor,Por,PG,25,27,21,42.6,18.7,0.208,38,0.658,116,0.44,50,0.38,0.512,6.9,1,2.9,4,30.3,0.44,0.04,5.8
Ersan Ilyasova,Mil,PF,25,73,27.4,56.5,20.7,0.079,157,0.796,589,0.469,214,0.444,0.552,13.2,7.1,14,1.6,9.7,0.93,0.49,7.8
E’Twaun Moore,Orl,PG,23,75,22.2,46.1,19.9,0.144,59,0.797,401,0.424,197,0.34,0.471,7.8,2.2,5.7,2.7,19.2,0.68,0.31,6.5
Evan Fournier,Den,SG,20,38,11.1,22.5,20.7,0.159,39,0.769,98,0.541,54,0.407,0.597,5.3,0.9,4.7,1.2,15.8,0.5,0.03,6.4
Evan Turner,Phi,SF,24,82,35,72.6,21.4,0.14,208,0.74,895,0.428,159,0.365,0.478,13.3,6.3,10.2,4.3,19.9,0.87,0.21,8.1
Festus Ezeli,Gol,C,23,78,14.1,29.2,10.9,0.235,81,0.531,169,0.438,0,0,0.467,2.4,4,15.7,0.3,2.8,0.29,0.95,4
Francisco Garcia,Sac,SF,31,40,17.6,36,14.6,0.087,14,0.857,96,0.385,109,0.367,0.488,5.2,1.7,5.5,1.1,9.2,0.8,0.78,4.9
Francisco Garcia,Hou,SF,31,18,17.6,35.8,15.2,0.109,7,0.857,25,0.56,70,0.386,0.586,6.4,1.3,4.1,1.1,9.6,0.78,0.39,4.8
Garrett Temple,Was,SG,26,51,22.5,46.1,13.4,0.182,37,0.703,178,0.444,80,0.325,0.478,5.1,2.4,6,2.3,15.7,0.98,0.33,5.4
Gary Neal,San,PG,28,68,21.6,44.5,21.8,0.099,74,0.865,346,0.454,251,0.355,0.512,9.5,2.1,5.6,1.9,13.7,0.44,0.03,6.2
George Hill,Ind,PG,26,76,34.2,70.8,18.9,0.107,213,0.817,517,0.495,353,0.368,0.558,14.2,3.8,6.1,4.7,23.6,1.07,0.34,7.4
Gerald Green,Ind,SG,27,60,17.8,36.8,21.6,0.105,65,0.8,236,0.407,188,0.314,0.465,7,2.4,7.4,0.8,7.9,0.3,0.38,5.3
Gerald Henderson,Cha,SG,25,68,31.2,64.4,23.6,0.098,313,0.824,755,0.462,100,0.33,0.531,15.5,3.7,6.8,2.6,15.7,1,0.5,6.8
Gerald Wallace,Bro,SF,30,69,29.9,61.7,14.6,0.169,190,0.637,295,0.461,163,0.282,0.49,7.7,4.6,9.1,2.6,13.4,1.41,0.67,6
Glen Davis,Orl,PF,27,34,31.1,64,25.5,0.108,117,0.718,476,0.45,2,0,0.483,15.1,7.2,13.1,2.1,11.6,0.94,0.62,7.9
Goran Dragic,Pho,PG,26,77,33.3,68.9,21.9,0.168,326,0.748,630,0.497,276,0.319,0.54,14.7,3.1,5.3,7.4,36,1.61,0.34,8.4
Gordon Hayward,Uta,SG,22,72,29,59.8,22.2,0.117,294,0.827,527,0.444,246,0.415,0.564,14.1,3.1,6.3,3,16.8,0.81,0.53,7
Grant Hill,Lac,SF,40,29,14.9,30.8,14.3,0.186,24,0.583,88,0.398,11,0.273,0.424,3.2,1.7,6.8,0.9,8.5,0.38,0.21,4.6
Greg Monroe,Det,C,22,81,33,68.3,24.9,0.16,392,0.689,1054,0.488,4,0,0.527,16,9.6,16.7,3.5,18.7,1.3,0.68,9.9
Greg Smith,Hou,C,22,70,15.7,32.5,14.8,0.11,130,0.623,273,0.623,1,0,0.636,6,4.6,16.6,0.4,3.7,0.26,0.57,5.7
Greg Stiemsma,Min,C,27,76,15.7,32.7,13.8,0.161,69,0.768,278,0.457,0,0,0.498,4,3.4,12.5,0.4,4.1,0.58,1.18,4.5
Greivis Vasquez,Nor,PG,26,78,34.2,70.9,23.1,0.186,154,0.805,770,0.462,243,0.342,0.502,13.9,4.3,7.5,9,45.3,0.85,0.08,9.5
