FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,,,,
Ersan Ilyasova,Atl,PF,29,26,24.4,50.7,19.8,0.115,65,0.8,134,0.455,92,0.348,0.53,10.4,5.8,13.1,1.6,10.4,0.85,0.31,7.5,,,,
E’Twaun Moore,Nor,SG,27,73,24.9,51.9,17.4,0.087,74,0.77,411,0.501,208,0.37,0.537,9.6,2.1,4.4,2.2,13.8,0.68,0.44,5.7,,,,
Evan Fournier,Orl,SG,24,68,32.9,68.4,23.5,0.118,277,0.805,570,0.491,360,0.356,0.555,17.2,3.1,5.1,3,14.8,0.97,0.06,6.6,,,,
Evan Turner,Por,SG,28,65,25.5,53.2,18.6,0.143,103,0.825,434,0.47,118,0.263,0.491,9,3.8,8.2,3.2,18.4,0.85,0.37,7.5,,,,
Frank Kaminsky,Cha,C,23,75,26.1,54.3,21.8,0.08,156,0.756,448,0.455,354,0.328,0.502,11.7,4.5,9.5,2.2,13.5,0.64,0.45,7.5,,,,
Fred VanVleet,Tor,PG,22,37,7.9,16.5,20.6,0.111,22,0.818,82,0.341,29,0.379,0.443,2.9,1.1,8.1,0.9,17.5,0.43,0.08,7.2,,,,
Garrett Temple,Sac,SG,30,65,26.6,55.4,14.2,0.144,74,0.784,211,0.479,220,0.373,0.546,7.8,2.8,6.2,2.6,14.4,1.29,0.43,5.8,,,,
Gary Harris,Den,SG,22,57,31.3,65.1,18.4,0.098,134,0.776,382,0.558,255,0.42,0.611,14.9,3.1,5.5,2.9,13.6,1.25,0.14,6.5,,,,
Gary Neal,Atl,SG,32,2,9.2,19.1,20.9,0,4,1,5,0,2,0,0.228,2,0.5,3,0.5,7,0,0,3.5,,,,
Gary Payton II,Mil,PG,24,6,16.5,34.4,15.7,0.292,5,0.6,13,0.538,9,0.111,0.413,3.3,2,7,2.2,18.1,0.5,0.67,5.9,,,,
George Hill,Uta,PG,30,49,31.5,65.6,23.5,0.109,196,0.801,373,0.523,233,0.403,0.599,16.9,3.4,6.2,4.2,22.8,1.02,0.22,7.9,,,,
Georgios Papagiannis,Sac,C,19,22,16.1,33.6,16.9,0.182,14,0.857,100,0.56,2,0,0.573,5.6,4,14.2,0.9,9,0.14,0.77,6.8,,,,
Gerald Green,Bos,SG,31,47,11.4,23.8,22.7,0.091,41,0.805,121,0.463,111,0.351,0.524,5.6,1.8,8.7,0.7,9.8,0.19,0.15,6.7,,,,
Gerald Henderson,Phi,SG,29,72,23.2,48.2,17.9,0.092,165,0.806,379,0.456,173,0.353,0.53,9.2,2.6,6.1,1.6,10.5,0.56,0.19,5.8,,,,
Giannis Antetokounmp,Mil,SF,22,80,35.6,74.1,28.3,0.133,612,0.77,1079,0.563,180,0.272,0.599,22.9,8.8,14.3,5.4,26.6,1.64,1.89,11.6,,,,
Glenn Robinson III,Ind,SF,23,69,20.7,43.1,12.8,0.091,76,0.711,213,0.512,125,0.392,0.564,6.1,3.6,9.6,0.7,4.7,0.59,0.29,4.8,,,,
Goran Dragic,Mia,PG,30,73,33.7,70.2,27.1,0.141,377,0.79,835,0.499,289,0.405,0.575,20.3,3.8,6.3,5.8,29.1,1.22,0.18,9.1,,,,
Gordon Hayward,Uta,SF,26,73,34.5,71.8,27.6,0.094,429,0.844,782,0.506,374,0.398,0.595,21.9,5.4,9.1,3.5,18.2,1,0.27,8.6,,,,
Gorgui Dieng,Min,PF,27,82,32.4,67.4,14,0.127,167,0.814,619,0.511,42,0.381,0.555,10,7.9,14.2,1.9,8.6,1.07,1.16,6.6,,,,
Greg Monroe,Mil,C,26,81,22.5,46.9,24.3,0.144,239,0.741,721,0.537,4,0,0.573,11.7,6.6,17,2.3,17.3,1.14,0.47,10,,,,
Greivis Vasquez,Bro,PG,30,3,12.9,26.8,11.4,0.097,3,0.667,5,0.2,3,0.333,0.376,2.3,0.7,2.7,1.7,17.7,0.33,0.33,4.3,,,,
Harrison Barnes,Dal,PF,24,79,35.5,73.9,25.3,0.068,281,0.861,1058,0.492,222,0.351,0.541,19.2,5,8.2,1.5,7.8,0.82,0.19,5.9,,,,
Hassan Whiteside,Mia,C,27,77,32.6,68,22.7,0.12,358,0.628,973,0.557,0,0,0.579,17,14.1,24,0.7,3.8,0.74,2.1,6.8,,,,
Henry Ellenson,Det,PF,20,19,7.7,16,24.7,0.172,8,0.5,30,0.433,34,0.294,0.444,3.2,2.2,15.3,0.4,7.2,0.05,0.05,7.3,,,,
Hollis Thompson,Phi,SG,25,31,18.1,37.7,13.7,0.051,20,0.65,88,0.455,71,0.366,0.51,5.5,2.7,8.3,0.8,7,0.45,0.19,5,,,,
Hollis Thompson,Nor,SG,25,9,21.3,44.3,10.9,0.043,9,0.667,17,0.294,24,0.25,0.378,3.8,3.1,7.7,1,6.3,0.67,0,4.3,,,,
Ian Clark,Gol,SG,25,77,14.8,30.8,19.5,0.109,58,0.759,270,0.556,163,0.374,0.575,6.8,1.6,5.9,1.2,11.2,0.51,0.1,6.4,,,,
Ian Mahinmi,Was,C,30,31,17.9,37.3,14,0.191,75,0.573,111,0.586,0,0,0.601,5.6,4.8,15.2,0.6,4.9,1.1,0.77,5.6,,,,
Iman Shumpert,Cle,SG,26,76,25.5,53.1,14,0.129,90,0.789,228,0.469,261,0.36,0.536,7.5,2.9,6.2,1.4,7.8,0.82,0.36,4.9,,,,
Isaiah Canaan,Chi,SG,25,39,15.2,31.6,15.4,0.101,33,0.909,79,0.481,94,0.266,0.483,4.6,1.3,4.6,0.9,9,0.56,0.03,4.6,,,,
Isaiah Taylor,Hou,PG,22,4,13,27.1,6.4,0,2,0.5,5,0.2,2,0,0.19,0.8,0.8,3.1,0.8,7.1,0.25,0.25,2.5,,,,
Isaiah Thomas,Bos,PG,27,76,33.8,70.4,34,0.107,649,0.909,827,0.528,646,0.379,0.625,28.9,2.7,4.4,5.9,32.5,0.92,0.17,9.1,,,,
Isaiah Whitehead,Bro,PG,21,73,22.5,46.9,18.2,0.203,113,0.805,359,0.446,149,0.295,0.487,7.4,2.5,5.9,2.6,17.7,0.58,0.49,6.5,,,,
Ish Smith,Det,PG,28,81,24.1,50.3,20.5,0.125,102,0.706,643,0.468,105,0.267,0.478,9.4,2.9,6.6,5.2,32.5,0.75,0.41,8.7,,,,
Ivica Zubac,Lal,C,19,38,16,33.4,20.3,0.104,49,0.653,235,0.536,3,0,0.547,7.5,4.2,14.3,0.8,8.1,0.37,0.87,7.3,,,,
J.J. Barea,Dal,PG,32,35,22,45.9,26.2,0.147,51,0.863,195,0.456,148,0.358,0.521,10.9,2.4,6.3,5.5,44.2,0.4,0.03,9.5,,,,
Jabari Parker,Mil,PF,21,51,33.9,70.6,26.5,0.093,218,0.743,636,0.525,178,0.365,0.563,20.1,6.2,10.6,2.8,14.3,0.98,0.43,8.3,,,,
Jae Crowder,Bos,SF,26,72,32.4,67.6,17,0.089,217,0.811,326,0.54,394,0.398,0.613,13.9,5.8,9.9,2.2,10.1,1.01,0.32,6.9,,,,
Jahlil Okafor,Phi,C,21,50,22.7,47.3,24.2,0.144,158,0.671,471,0.514,0,0,0.546,11.8,4.8,11.7,1.2,9,0.4,0.98,7.2,,,,
Jake Layman,Por,SF,22,35,7.1,14.8,19.1,0.102,17,0.765,38,0.342,51,0.255,0.404,2.2,0.7,5.3,0.3,6.2,0.23,0.09,4.4,,,,
Jakob Poeltl,Tor,C,21,54,11.6,24.2,12.1,0.172,57,0.544,115,0.583,0,0,0.589,3.1,3.1,14.9,0.2,2.7,0.31,0.37,4.3,,,,
Jamal Crawford,Lac,SG,36,82,26.3,54.8,22.7,0.123,203,0.857,548,0.443,322,0.36,0.525,12.3,1.6,3.3,2.6,15.1,0.74,0.17,5.6,,,,
Jamal Murray,Den,SG,19,82,21.5,44.8,21.6,0.126,120,0.883,386,0.466,344,0.334,0.518,9.9,2.6,6.7,2.1,14,0.62,0.29,7,,,,
Jameer Nelson,Den,PG,34,75,27.3,56.8,15.8,0.168,63,0.714,331,0.489,273,0.388,0.544,9.2,2.6,5.2,5.1,26,0.72,0.11,7.3,,,,
James Ennis III,Mem,SF,26,64,23.4,48.8,13,0.138,110,0.782,184,0.516,137,0.372,0.581,6.7,4,9.9,1,6.5,0.72,0.3,5.1,,,,
James Harden,Hou,PG,27,81,36.4,75.8,34.3,0.194,881,0.847,778,0.53,756,0.347,0.613,29.1,8.1,12.2,11.2,50.7,1.49,0.47,15.2,,,,
James Johnson,Mia,PF,29,76,27.4,57.2,22,0.165,215,0.707,513,0.548,256,0.34,0.564,12.8,4.9,10,3.6,20.9,1,1.13,8.9,,,,
James Jones,Cle,SF,36,48,7.9,16.5,13,0.09,20,0.65,26,0.5,66,0.47,0.655,2.8,0.8,5.5,0.3,5.2,0.13,0.21,4.4,,,,
James Michael McAdoo,Gol,PF,24,52,8.8,18.3,14.6,0.123,42,0.5,109,0.55,8,0.25,0.543,2.8,1.7,10.8,0.3,5.2,0.35,0.56,5.1,,,,
JaMychal Green,Mem,PF,26,77,27.3,56.8,14.4,0.141,167,0.802,355,0.549,144,0.382,0.602,8.9,7.1,14.8,1.1,6.3,0.61,0.44,6,,,,
Jared Dudley,Pho,PF,31,64,21.3,44.4,13.8,0.163,65,0.662,143,0.559,203,0.379,0.579,6.8,3.5,9,1.9,12.5,0.67,0.25,6.7,,,,
Jared Sullinger,Tor,PF,24,11,10.7,22.3,20.7,0.073,8,0.5,29,0.414,18,0.167,0.366,3.4,2.5,13,0.3,3.7,0.36,0.09,5.1,,,,
Jarell Eddie,Pho,SF,25,5,12.5,26,16.1,0.042,9,0.889,3,0.667,16,0.25,0.523,4.8,1.4,6.1,0,0,0.2,0,0,,,,
Jarell Martin,Mem,PF,22,42,13.3,27.7,16.4,0.139,50,0.8,126,0.389,25,0.36,0.477,3.9,3.9,16.6,0.2,2.2,0.4,0.21,4.4,,,,
Jarrett Jack,Nor,PG,33,2,16.6,34.5,9.2,0.436,2,1,2,1,1,0,0.773,3,0,0,2.5,20.3,1,0,0,,,,
Jarrod Uthoff,Dal,PF,23,9,12.8,26.6,18.1,0.068,7,0.714,29,0.448,9,0.333,0.487,4.4,2.6,11.6,1,12.8,0.22,0.44,7,,,,
Jason Smith,Was,C,30,74,14.4,30.1,16.8,0.142,51,0.686,251,0.546,78,0.474,0.598,5.7,3.5,13.6,0.5,5,0.28,0.73,6,,,,
Jason Terry,Mil,SG,39,74,18.4,38.4,9.8,0.123,29,0.828,72,0.444,171,0.427,0.6,4.1,1.4,4.5,1.3,9.9,0.62,0.27,4.2,,,,
JaVale McGee,Gol,C,29,77,9.6,20,23.8,0.098,111,0.505,316,0.658,3,0,0.642,6.1,3.2,18.1,0.2,3.8,0.25,0.87,6.6,,,,
Jaylen Brown,Bos,SF,20,78,17.2,35.8,18,0.125,124,0.685,288,0.507,135,0.341,0.539,6.6,2.8,9.1,0.8,7.2,0.45,0.23,5.7,,,,
Jeff Green,Orl,SF,30,69,22.2,46.3,20.3,0.106,168,0.863,365,0.458,193,0.275,0.505,9.2,3.1,7.6,1.2,8.1,0.54,0.19,5.8,,,,
Jeff Teague,Ind,PG,28,82,32.4,67.5,22.1,0.165,415,0.867,657,0.475,252,0.357,0.574,15.3,4,7,7.8,36.4,1.23,0.39,9.6,,,,
Jeff Withey,Uta,C,26,51,8.5,17.7,14.9,0.101,48,0.75,102,0.539,1,0,0.588,2.9,2.4,16.2,0.1,2.5,0.31,0.63,4.2,,,,
Jerami Grant,Phi,SF,22,2,20.6,42.9,24.8,0.128,8,0.5,15,0.4,2,0,0.39,8,3,8,0,0,0,2,0,,,,
Jerami Grant,Okc,SF,22,78,19.1,39.8,11.8,0.099,139,0.619,197,0.523,114,0.377,0.566,5.4,2.6,7.4,0.6,4.3,0.42,0.96,4.3,,,,
Jeremy Lamb,Cha,SG,24,62,18.4,38.4,23.2,0.068,129,0.853,345,0.536,146,0.281,0.55,9.7,4.3,12.7,1.2,11.1,0.44,0.37,8,,,,
Jeremy Lin,Bro,PG,28,36,24.5,51.1,26.6,0.157,141,0.816,244,0.48,156,0.372,0.566,14.5,3.8,8.1,5.1,35.5,1.17,0.42,10.7,,,,
Jerian Grant,Chi,PG,24,63,16.3,34,16,0.117,73,0.89,167,0.473,134,0.366,0.555,5.9,1.8,5.8,1.9,17.4,0.75,0.13,6.7,,,,
Jerryd Bayless,Phi,PG,28,3,23.8,49.7,27.5,0.198,10,0.9,27,0.333,5,0.4,0.453,11,4,9.3,4.3,29.1,0,0,9.6,,,,
Jimmy Butler,Chi,SF,27,76,37,77,26.5,0.093,676,0.865,1004,0.477,248,0.367,0.586,23.9,6.2,9,5.5,24.8,1.89,0.41,10.1,,,,
JJ Redick,Lac,SG,32,78,28.2,58.7,21.9,0.091,202,0.891,422,0.462,468,0.429,0.599,15,2.2,4.4,1.4,7.8,0.69,0.17,5.1,,,,
Joakim Noah,Nyk,C,31,46,22.1,46,12.6,0.197,78,0.436,201,0.493,1,0,0.491,5,8.8,21.4,2.2,14.1,0.65,0.8,8.3,,,,
Jodie Meeks,Orl,SG,29,36,20.5,42.7,19.4,0.111,74,0.878,119,0.395,137,0.409,0.567,9.1,2.1,5.7,1.3,9.3,0.94,0.11,5.7,,,,
Joe Harris,Bro,SG,25,52,21.9,45.6,16.5,0.125,49,0.714,141,0.489,221,0.385,0.558,8.2,2.8,6.8,1,7.3,0.58,0.15,5.2,,,,
Joe Ingles,Uta,SF,29,82,24.1,50.1,13.9,0.182,68,0.735,172,0.471,279,0.441,0.604,7.1,3.2,7.6,2.7,17.2,1.16,0.1,6.5,,,,
Joe Johnson,Uta,SF,35,78,23.6,49.2,18.5,0.096,77,0.818,366,0.456,259,0.409,0.543,9.2,3.1,7.6,1.8,12.6,0.46,0.23,6.3,,,,
Joel Anthony,San,C,34,19,6.4,13.4,8.7,0.17,8,0.625,16,0.625,0,0,0.64,1.3,1.6,14.4,0.2,3.4,0.11,0.32,4.7,,,,
Joel Embiid,Phi,C,22,31,25.4,52.8,36,0.179,244,0.783,331,0.495,98,0.367,0.584,20.2,7.8,17,2.1,16,0.87,2.45,10.9,,,,
Joffrey Lauvergne,Okc,C,25,50,14.8,30.8,17.8,0.129,58,0.638,166,0.506,78,0.346,0.531,5.7,3.7,13.7,1,10.3,0.36,0.12,7.5,,,,
Joffrey Lauvergne,Chi,C,25,20,12.1,25.1,20.7,0.14,15,0.6,72,0.431,20,0.3,0.451,4.5,3.4,15.2,1,12.2,0.35,0,8.2,,,,
John Henson,Mil,C,26,58,19.4,40.3,16.6,0.127,107,0.692,308,0.516,1,0,0.55,6.8,5.1,15.3,1,7.7,0.5,1.34,6.7,,,,
John Wall,Was,PG,26,78,36.4,75.7,30.6,0.162,527,0.801,1162,0.48,272,0.327,0.542,23.1,4.2,6.5,10.7,46.9,2.01,0.63,11.1,,,,
Johnny O’Bryant III,Den,PF,23,7,6.6,13.8,18.1,0.152,4,1,12,0.417,3,0.667,0.597,2.9,1.6,13.1,0.3,6.1,0,0.14,6.8,,,,
Johnny O’Bryant III,Cha,PF,23,4,8.6,17.9,24.8,0.159,2,0.5,12,0.583,3,0.333,0.567,4.5,2,12.8,1,21.3,0,0,9.7,,,,
Jon Leuer,Det,PF,27,75,25.9,54,17.3,0.087,113,0.867,479,0.545,167,0.293,0.551,10.2,5.4,11.3,1.5,8.6,0.41,0.35,6.7,,,,
Jonas Jerebko,Bos,PF,29,78,15.8,32.9,11.4,0.123,37,0.703,132,0.523,130,0.346,0.537,3.8,3.5,12.3,0.9,8.1,0.32,0.22,5.8,,,,
Jonas Valanciunas,Tor,C,24,80,25.8,53.8,19.6,0.117,217,0.811,700,0.557,2,0.5,0.601,12,9.5,20.8,0.7,4.4,0.46,0.79,6.7,,,,
Jonathan Gibson,Dal,PG,29,17,13.6,28.3,26.3,0.163,29,0.724,50,0.4,45,0.333,0.492,6.2,1.3,5.5,1.5,18.8,0.47,0,6.8,,,,
Jonathon Simmons,San,SG,27,78,17.9,37.2,18,0.137,132,0.75,319,0.461,102,0.294,0.504,6.2,2.1,6.5,1.6,13.2,0.6,0.32,6.1,,,,
Jordan Clarkson,Lal,SG,24,82,29.2,60.9,23.3,0.125,168,0.798,714,0.504,356,0.329,0.527,14.7,3,5.6,2.6,14.4,1.09,0.1,6.7,,,,
Jordan Crawford,Nor,SG,28,19,23.3,48.5,25.5,0.098,26,0.769,123,0.553,95,0.389,0.582,14.1,1.8,4.1,3,22.7,0.58,0.11,7.3,,,,
Jordan Farmar,Sac,PG,30,2,17.7,36.9,19.2,0.2,0,0,3,0,9,0.444,0.5,6,1.5,4.9,4.5,38.1,1,0,7.8,,,,
Jordan Hill,Min,C,29,7,6.7,13.9,17,0.224,2,1,13,0.385,0,0,0.432,1.7,2,17.5,0,0,0.14,0,0,,,,
Jordan McRae,Cle,SG,25,37,10.4,21.6,20.8,0.078,34,0.794,99,0.404,51,0.353,0.488,4.4,1.1,5.9,0.5,7.4,0.22,0.16,5.2,,,,
Jordan Mickey,Bos,PF,22,25,5.6,11.8,15.5,0.183,14,0.571,33,0.455,1,0,0.473,1.5,1.4,13.4,0.3,7.1,0.12,0.24,6.1,,,,
Jose Calderon,Lal,PG,35,24,12.2,25.3,15.3,0.248,4,1,43,0.465,34,0.353,0.508,3.3,1.8,7.9,2.1,24.7,0.29,0.04,7.6,,,,
Jose Calderon,Atl,PG,35,17,14.5,30.3,13.3,0.199,8,0.875,27,0.556,30,0.267,0.504,3.6,1.9,7.1,2.2,21.6,0.24,0,6.8,,,,
Josh Huestis,Okc,PF,25,2,15.5,32.2,15.7,0,1,0,7,0.571,4,0.5,0.612,7,4.5,16.1,1.5,15.6,0,1.5,9.3,,,,
Josh McRoberts,Mia,PF,29,22,17.3,36.1,16.9,0.159,9,0.667,87,0.356,31,0.419,0.439,4.9,3.4,10.7,2.3,18.9,0.45,0.18,7.8,,,,
Josh Richardson,Mia,SG,23,53,30.5,63.5,16.8,0.106,77,0.779,286,0.444,227,0.33,0.493,10.2,3.2,5.8,2.6,12.6,1.13,0.75,5.8,,,,
JR Smith,Cle,SG,31,41,29,60.3,14.6,0.067,15,0.667,85,0.329,271,0.351,0.484,8.6,2.8,5.2,1.5,7.1,1,0.27,4.6,,,,
Jrue Holiday,Nor,PG,26,67,32.7,68.1,23.5,0.167,168,0.708,612,0.498,281,0.356,0.532,15.4,4,6.4,7.3,35.9,1.49,0.67,9.4,,,,
Juan Hernangomez,Den,PF,21,62,13.6,28.3,14.6,0.107,76,0.75,111,0.495,113,0.407,0.592,4.9,3,12.3,0.5,4.7,0.48,0.19,5.7,,,,
Julius Randle,Lal,PF,22,74,28.8,60,21.5,0.162,282,0.723,711,0.506,63,0.27,0.543,13.2,8.6,16.3,3.6,19.3,0.66,0.5,10.3,,,,
Justin Anderson,Dal,SF,23,51,13.9,29,23.6,0.112,88,0.795,155,0.477,122,0.303,0.521,6.5,2.9,12.2,0.6,7.6,0.55,0.31,6.5,,,,
Justin Anderson,Phi,SF,23,24,21.6,44.9,17.2,0.127,41,0.78,89,0.607,72,0.292,0.567,8.5,4.1,10.4,1.4,10.4,0.54,0.29,6.8,,,,
Justin Hamilton,Bro,C,26,64,18.4,38.3,16.2,0.097,52,0.75,199,0.598,180,0.306,0.55,6.9,4.1,11.8,0.9,7.3,0.45,0.67,6.4,,,,
Justin Harper,Phi,PF,27,3,10.4,21.7,22.2,0.25,0,0,5,0.6,7,0.286,0.5,4,1.7,8.8,0.7,10.3,0,0,6.5,,,,
Justin Holiday,Nyk,SG,27,82,20,41.6,16.9,0.103,80,0.825,265,0.513,273,0.355,0.549,7.7,2.8,7.4,1.2,9.2,0.79,0.38,5.9,,,,
Justise Winslow,Mia,SF,20,18,34.7,72.4,19.8,0.118,47,0.617,190,0.384,35,0.2,0.399,10.9,5.2,8.3,3.7,15.5,1.44,0.33,6.8,,,,
Jusuf Nurkic,Den,C,22,45,17.9,37.4,22.6,0.189,113,0.496,298,0.507,0,0,0.515,8,5.8,17.8,1.3,11.1,0.56,0.8,8.8,,,,
Jusuf Nurkic,Por,C,22,20,29.2,60.8,25.8,0.182,97,0.66,235,0.511,1,0,0.545,15.2,10.4,19.7,3.2,17.8,1.25,1.9,10.9,,,,
Karl-Anthony Towns,Min,C,21,82,37,77,27.5,0.113,428,0.832,1205,0.582,275,0.367,0.618,25.1,12.3,19.4,2.7,13.2,0.7,1.26,10.2,,,,
Kawhi Leonard,San,SF,25,74,33.4,69.7,31.1,0.091,533,0.88,925,0.529,387,0.38,0.61,25.5,5.8,9.8,3.5,18.9,1.8,0.74,9.6,,,,
Kay Felder,Cle,PG,21,42,9.2,19.1,24.2,0.143,49,0.714,136,0.404,22,0.318,0.462,4,1,5.9,1.4,22.7,0.43,0.17,7.7,,,,
Kelly Olynyk,Bos,C,25,75,20.5,42.7,19,0.146,123,0.732,316,0.608,192,0.354,0.603,9,4.8,13.1,2,15.2,0.57,0.39,8.6,,,,
Kelly Oubre Jr.,Was,SF,21,79,20.3,42.3,14.6,0.093,99,0.758,254,0.52,188,0.287,0.516,6.3,3.3,9.2,0.6,4,0.72,0.22,4.6,,,,
Kemba Walker,Cha,PG,26,79,34.7,72.2,29.2,0.095,359,0.847,847,0.476,602,0.399,0.569,23.2,3.9,6.2,5.5,29.1,1.08,0.27,9.1,,,,
Kenneth Faried,Den,PF,27,61,21.2,44.3,18.3,0.106,189,0.693,410,0.556,6,0,0.588,9.6,7.6,19.7,0.9,6.3,0.7,0.66,7.6,,,,
Kent Bazemore,Atl,SF,27,73,26.9,56,20.5,0.136,168,0.708,456,0.445,266,0.346,0.503,11,3.2,6.4,2.4,14.2,1.26,0.71,6.5,,,,
Kentavious Caldwell-,Det,SG,23,76,33.3,69.3,19.2,0.079,185,0.832,491,0.442,437,0.35,0.519,13.8,3.3,5.4,2.5,11.2,1.18,0.16,5.8,,,,
Kevin Durant,Gol,SF,28,62,33.4,69.6,27.8,0.104,384,0.875,714,0.608,312,0.375,0.651,25.1,8.3,13.6,4.8,23.1,1.06,1.6,12,,,,
Kevin Love,Cle,PF,28,60,31.4,65.4,26.5,0.109,295,0.871,478,0.471,389,0.373,0.573,19,11.1,19.5,1.9,9.8,0.88,0.35,9.4,,,,
Kevin Seraphin,Ind,PF,27,49,11.4,23.8,19,0.123,22,0.636,196,0.556,2,0,0.559,4.7,2.9,14.2,0.5,6.7,0.14,0.41,6.7,,,,
Kevon Looney,Gol,C,20,53,8.4,17.6,13.4,0.122,34,0.618,98,0.551,9,0.222,0.553,2.5,2.3,15.2,0.5,8.5,0.26,0.32,6.8,,,,
Khris Middleton,Mil,SG,25,29,30.7,63.9,22.5,0.148,92,0.88,229,0.459,104,0.433,0.57,14.7,4.2,8.1,3.4,17.5,1.41,0.24,7.7,,,,
KJ McDaniels,Hou,SF,23,29,7.3,15.2,16.5,0.121,10,0.9,41,0.537,27,0.333,0.552,2.8,1,7.7,0.1,2.7,0.24,0.28,3.6,,,,
KJ McDaniels,Bro,SF,23,20,14.7,30.6,19.3,0.144,28,0.821,62,0.565,39,0.282,0.556,6.3,2.6,9.4,0.5,4.9,0.6,0.5,5.5,,,,
Klay Thompson,Gol,SG,26,78,34,70.8,26.1,0.08,218,0.853,729,0.516,647,0.414,0.592,22.3,3.7,5.9,2.1,9.3,0.85,0.51,6.6,,,,
Kosta Koufos,Sac,C,27,71,20,41.6,15.3,0.127,62,0.613,391,0.552,1,0,0.56,6.6,5.7,16.4,0.7,5.3,0.51,0.68,6,,,,
Kris Dunn,Min,PG,22,78,17.1,35.6,14.2,0.208,59,0.61,240,0.404,73,0.288,0.432,3.8,2.1,7.3,2.4,19.4,1,0.46,6.3,,,,
Kris Humphries,Atl,PF,31,56,12.3,25.6,17.6,0.101,82,0.78,160,0.425,54,0.352,0.514,4.6,3.7,16.4,0.5,6.4,0.27,0.38,6.6,,,,
Kristaps Porzingis,Nyk,PF,21,66,32.8,68.3,24.3,0.097,252,0.786,671,0.493,314,0.357,0.546,18.1,7.2,11.8,1.5,7.3,0.71,1.95,7.1,,,,
Kyle Anderson,San,SG,23,72,14.2,29.5,12.1,0.143,57,0.789,169,0.462,40,0.375,0.525,3.4,2.9,11.6,1.3,12.5,0.72,0.36,6.6,,,,
Kyle Korver,Atl,SG,35,32,28,58.2,14.5,0.135,27,0.889,86,0.5,159,0.409,0.594,9.5,2.8,5.5,2.3,12.6,0.69,0.41,5.6,,,,
Kyle Korver,Cle,SG,35,35,24.5,51.1,15.8,0.095,15,0.933,69,0.493,200,0.485,0.677,10.7,2.8,6.2,1,6.1,0.31,0.23,5.1,,,,
Kyle Lowry,Tor,PG,30,60,37.4,77.9,24.9,0.138,365,0.819,450,0.518,468,0.412,0.623,22.4,4.8,7.2,7,29.9,1.48,0.32,9.7,,,,
Kyle O’Quinn,Nyk,PF,26,79,15.6,32.4,18.6,0.145,83,0.771,396,0.538,17,0.118,0.552,6.3,5.5,19.2,1.5,14.8,0.46,1.32,9.6,,,,
Kyle Singler,Okc,SF,28,32,12,25.1,11.2,0.108,17,0.765,46,0.587,37,0.189,0.486,2.8,1.5,6.9,0.3,3.2,0.22,0.16,3.6,,,,
Kyrie Irving,Cle,PG,24,72,35.1,73.1,30.8,0.103,328,0.905,979,0.505,441,0.401,0.58,25.2,3.2,5,5.8,29.7,1.15,0.33,8.8,,,,
Lamar Patterson,Atl,SG,25,5,8.1,16.8,22,0.197,3,0.667,9,0.222,6,0.167,0.276,1.8,1.4,9.5,1.2,20.9,0.2,0,7.1,,,,
LaMarcus Aldridge,San,PF,31,72,32.4,67.6,24.5,0.077,271,0.812,993,0.48,56,0.411,0.532,17.3,7.3,12.7,1.9,9.9,0.64,1.22,7.7,,,,
Lance Stephenson,Nor,SG,26,6,27.1,56.4,19,0.158,8,0.625,45,0.556,10,0.1,0.496,9.7,3,5.8,4.8,27.6,0.33,0.17,7.7,,,,
Lance Stephenson,Min,SG,26,6,11.2,23.4,17,0.155,2,0.5,19,0.526,2,0,0.48,3.5,1.7,8.7,0.8,11.1,0,0,6,,,,
Lance Stephenson,Ind,SG,26,6,22,45.8,19.2,0.195,3,0.667,36,0.361,8,0.625,0.474,7.2,4,10.2,4.2,28.1,0.5,0.33,9,,,,
Lance Thomas,Nyk,PF,28,46,21,43.8,13.1,0.086,51,0.843,159,0.371,85,0.447,0.516,6,3.1,7.9,0.8,5,0.46,0.11,4.7,,,,
Langston Galloway,Nor,PG,25,55,20.4,42.4,19.5,0.057,52,0.769,173,0.37,268,0.377,0.508,8.6,2.2,5.7,1.2,8.8,0.73,0.09,5.6,,,,
Langston Galloway,Sac,PG,25,19,19.7,41.1,15.4,0.141,12,0.917,64,0.359,40,0.475,0.522,6,1.8,5.4,1.5,11.2,0.32,0.05,5.1,,,,
Larry Nance Jr.,Lal,PF,24,63,22.9,47.7,13.4,0.124,80,0.738,326,0.552,36,0.278,0.565,7.1,5.9,14,1.5,9.7,1.3,0.63,6.9,,,,
Lavoy Allen,Ind,PF,27,61,14.3,29.8,10.9,0.137,33,0.697,167,0.461,1,0,0.485,2.9,3.6,14.1,0.9,9.1,0.3,0.39,5.9,,,,
Leandro Barbosa,Pho,SG,34,67,14.4,30,20,0.104,45,0.889,294,0.466,98,0.357,0.509,6.3,1.6,5.9,1.2,13,0.46,0.12,6.4,,,,
LeBron James,Cle,SF,32,74,37.8,78.7,30,0.161,531,0.674,1002,0.611,342,0.363,0.619,26.4,8.7,12.6,8.7,41.3,1.23,0.59,13.3,,,,
Lou Williams,Lal,SG,30,58,24.2,50.4,30.6,0.119,344,0.884,417,0.489,317,0.385,0.609,18.6,2.3,5.1,3.2,22.3,1.12,0.17,8.5,,,,
