FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,,,,
Anthony Tolliver,Sac,PF,31,65,22.7,47.3,13.6,0.126,82,0.744,121,0.537,230,0.391,0.595,7.1,3.6,9.3,1.2,7.7,0.52,0.31,5.5,,,,
Archie Goodwin,Bro,SG,22,12,15.4,32,20.7,0.157,32,0.719,48,0.625,13,0.308,0.633,7.9,2.3,8,1.9,20.8,0.33,0.33,8.5,,,,
Aron Baynes,Det,C,30,75,15.5,32.3,14.1,0.135,94,0.84,279,0.513,0,0,0.57,4.9,4.4,15.6,0.4,3.9,0.23,0.52,5.3,,,,
Arron Afflalo,Sac,SG,31,61,25.9,54,14.4,0.084,93,0.892,269,0.457,151,0.411,0.559,8.4,2,4.6,1.3,7.4,0.34,0.11,4.3,,,,
Austin Rivers,Lac,SG,24,74,27.8,57.8,20.3,0.124,191,0.691,432,0.491,299,0.371,0.545,12,2.2,4.4,2.8,15,0.65,0.14,6,,,,
Avery Bradley,Bos,SG,26,55,33.4,69.5,21.9,0.097,93,0.731,498,0.504,277,0.39,0.548,16.3,6.1,10.1,2.2,11,1.24,0.2,7.2,,,,
Ben McLemore,Sac,SG,23,61,19.3,40.2,20.1,0.12,93,0.753,249,0.462,170,0.382,0.538,8.1,2.1,6.3,0.8,6.9,0.48,0.1,4.9,,,,
Beno Udrih,Det,PG,34,39,14.4,29.9,19.6,0.145,34,0.941,165,0.491,32,0.344,0.535,5.8,1.5,5.6,3.4,35.4,0.33,0,8.6,,,,
Bismack Biyombo,Orl,C,24,81,22.1,46.1,13.2,0.177,234,0.534,339,0.528,0,0,0.546,6,7,17.2,0.9,6,0.31,1.12,6.1,,,,
Blake Griffin,Lac,PF,27,61,34,70.9,28,0.109,421,0.76,858,0.514,113,0.336,0.569,21.6,8.1,13.4,4.9,24.5,0.93,0.38,11.2,,,,
Boban Marjanovic,Det,C,28,35,8.4,17.5,25.3,0.06,58,0.81,132,0.545,0,0,0.606,5.5,3.7,24.2,0.3,5.3,0.17,0.34,8.7,,,,
Bobby Portis,Chi,PF,21,64,15.6,32.6,19.1,0.084,59,0.661,279,0.541,96,0.333,0.545,6.8,4.6,16,0.5,5.7,0.25,0.17,6.4,,,,
Bojan Bogdanovic,Bro,SF,27,55,27,56.1,22.5,0.12,167,0.874,334,0.509,277,0.357,0.572,14.2,3.6,7,1.6,10.1,0.44,0.05,6.4,,,,
Bojan Bogdanovic,Was,SF,27,26,23.1,48.1,22.2,0.124,76,0.934,119,0.521,115,0.391,0.617,12.7,3.1,7.5,0.8,5.2,0.38,0.15,5.5,,,,
Boris Diaw,Uta,PF,34,73,17.6,36.6,15.6,0.203,35,0.743,246,0.512,81,0.247,0.494,4.6,2.2,7.1,2.3,20.3,0.25,0.12,6.5,,,,
Bradley Beal,Was,SG,23,77,34.9,72.6,26.5,0.095,342,0.825,770,0.538,552,0.404,0.604,23.1,3.1,5,3.5,16.2,1.09,0.27,7.2,,,,
Brandan Wright,Mem,PF,29,28,16,33.3,16.3,0.062,35,0.657,134,0.619,1,0,0.628,6.8,2.8,10,0.5,6,0.39,0.71,5.3,,,,
Brandon Bass,Lac,PF,31,52,11.1,23.1,19.7,0.114,88,0.875,183,0.579,3,0.333,0.65,5.6,2.5,12.5,0.4,5.7,0.27,0.21,6.4,,,,
Brandon Ingram,Lal,SF,19,79,28.9,60.1,16.8,0.129,214,0.621,499,0.443,187,0.294,0.474,9.4,4,7.6,2.1,10.4,0.62,0.46,5.9,,,,
Brandon Jennings,Nyk,PG,27,58,24.6,51.3,18.1,0.178,135,0.756,229,0.415,200,0.34,0.508,8.6,2.6,5.7,4.9,28.6,0.95,0.07,7.8,,,,
Brandon Jennings,Was,PG,27,23,16.2,33.8,15.8,0.162,17,0.706,54,0.333,52,0.212,0.357,3.5,1.9,6.6,4.7,36.9,0.65,0,7.8,,,,
Brandon Knight,Pho,SG,25,54,21.1,44,25,0.129,154,0.857,386,0.425,139,0.324,0.502,11,2.2,5.6,2.4,17.8,0.5,0.09,7.3,,,,
Brandon Rush,Min,SG,31,47,21.9,45.6,9.6,0.126,18,0.722,74,0.351,113,0.389,0.505,4.2,2.1,5.6,1,5.8,0.47,0.49,3.8,,,,
Brian Roberts,Cha,PG,31,41,10.1,21.1,17.9,0.157,39,0.846,78,0.372,44,0.386,0.51,3.5,1,5.3,1.3,18.7,0.22,0.02,6.6,,,,
Briante Weber,Gol,PG,24,7,6.6,13.7,17.2,0.164,3,0.667,11,0.455,3,0,0.392,1.7,0.6,4.8,0.7,13.9,0.43,0.14,5.4,,,,
Briante Weber,Cha,PG,24,13,12.3,25.5,16,0.088,13,0.692,39,0.487,7,0.143,0.483,3.8,1.6,7.2,1.3,16.3,0.69,0,6.5,,,,
Brook Lopez,Bro,C,28,75,29.6,61.7,29.2,0.121,364,0.81,787,0.535,386,0.347,0.577,20.5,5.4,9.6,2.3,14.8,0.51,1.65,8.6,,,,
Bryn Forbes,San,SG,23,36,7.9,16.5,17.9,0.098,6,0.833,46,0.413,53,0.321,0.462,2.6,0.6,4.6,0.7,12.3,0.03,0,5.2,,,,
Buddy Hield,Nor,SG,23,57,20.4,42.4,20.4,0.09,33,0.879,230,0.417,241,0.369,0.503,8.6,2.9,7.5,1.4,10.2,0.32,0.12,6.4,,,,
Buddy Hield,Sac,SG,23,25,29.1,60.6,22.9,0.144,43,0.814,158,0.525,138,0.428,0.6,15.1,4.2,8.3,1.8,10.3,0.8,0.12,6.7,,,,
C.J. Watson,Orl,PG,32,62,16.3,34,14.1,0.145,66,0.864,143,0.448,105,0.305,0.507,4.5,1.4,4.8,1.8,16.1,0.69,0.03,5.5,,,,
C.J. Watson,Orl,PG,32,62,16.3,34,14.1,0.145,66,0.864,143,0.448,105,0.305,0.507,4.5,1.4,4.8,1.8,16.1,0.69,0.03,5.5,,,,
Cameron Payne,Okc,PG,22,20,16,33.4,19.6,0.108,4,1,78,0.346,52,0.308,0.402,5.3,1.6,5.4,2,18.3,0.5,0.2,6.4,,,,
Cameron Payne,Chi,PG,22,11,12.9,26.8,24,0.167,4,0.25,29,0.345,34,0.324,0.417,4.9,1.5,6.5,1.4,16.2,0.36,0,6.7,,,,
Caris LeVert,Bro,SF,22,57,21.7,45.2,16.6,0.123,93,0.72,196,0.571,184,0.321,0.556,8.2,3.3,8,1.9,13.7,0.86,0.14,6.9,,,,
