,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Spencer Dinwiddie,Bro,G,27.98,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.3,3,17.5,0.67,0.33,1.67,8.3,102.1,108.7
Donte DiVincenzo,Mil,G,24.16,45,27.3,56.8,17.3,12.2,46,0.674,195,0.467,230,0.383,0.525,0.536,10.6,5.4,10.4,3,14.3,1.13,0.2,1.38,8.1,110.2,107.3
Luka Doncic,Dal,F-G,22.08,40,35,73,35.8,14.9,290,0.748,513,0.556,321,0.368,0.554,0.593,28.5,8.1,12.7,9,45.7,1.03,0.63,4.23,14.6,115,108.1
Luguentz Dort,Okc,G,21.95,41,29.3,61.1,20.4,10.3,106,0.764,214,0.453,245,0.327,0.473,0.509,12.6,3.4,6.1,1.6,8,0.85,0.37,1.41,5.6,98,107.3
Damyean Dotson,Cle,G,26.9,35,18.8,39.2,17.3,10.6,32,0.688,106,0.519,115,0.278,0.466,0.485,6.5,2,5.9,2.1,16.8,0.4,0.11,0.8,6.4,100.3,113.7
Devon Dotson,Chi,G,21.66,3,4.9,10.1,11.7,0,0,0,4,0.5,0,0,0.5,0.5,1.3,0.7,7.6,0,0,0.33,0,0,0,112,107.9
Sekou Doumbouya,Det,F,20.26,40,12.6,26.2,16.9,13.3,30,0.733,86,0.419,70,0.243,0.394,0.428,3.6,2.1,9.2,0.6,6.7,0.38,0.05,0.65,5.3,85.8,104.2
PJ Dozier,Den,G-F,24.43,31,20.3,42.3,16.7,10.4,46,0.63,114,0.482,80,0.363,0.508,0.527,7.3,3.7,10.5,1.6,10.4,0.48,0.48,0.81,6.9,108.6,107.1
Goran Dragic,Mia,G,34.9,29,27,56.1,24.9,18.2,77,0.844,190,0.505,131,0.344,0.509,0.552,13.5,3.3,6.8,4.8,28.8,0.59,0.17,2.72,8.9,102,105
Andre Drummond,Cle,C,27.64,25,28.9,60.2,31.1,15.6,129,0.597,372,0.484,8,0,0.474,0.5,17.5,13.5,25.9,2.6,16.1,1.6,1.16,3.24,11.8,97.1,99.6
Jared Dudley,Lal,F,35.72,11,6.9,14.4,5.1,22.2,0,0,2,0,5,0.4,0.429,0.429,0.5,1.7,13.8,0.5,8,0.09,0.09,0.18,4.4,106.7,99.2
Kevin Durant,Bro,F,32.5,19,35.8,74.5,31.4,13.7,145,0.869,246,0.565,113,0.434,0.592,0.652,29,7.3,11.4,5.3,23.9,0.74,1.42,3.53,11.6,119.4,109.4
Anthony Edwards,Min,G,19.65,47,30.6,63.7,27.1,10.1,145,0.772,450,0.442,321,0.308,0.451,0.483,17.2,4.4,7.8,2.5,13,1,0.36,2,7.5,95.1,113.8
Carsen Edwards,Bos,G,23.05,18,10.1,21,20,3.6,9,0.778,38,0.632,39,0.333,0.565,0.581,5.2,1.1,5.8,0.5,7.5,0.28,0.06,0.17,5.6,118.6,106.6
CJ Elleby,Por,F-G,20.78,14,8.3,17.4,15.2,7.3,9,0.667,13,0.692,21,0.238,0.485,0.514,2.8,1.1,6.9,0.2,3.6,0.29,0.21,0.21,4.1,107.2,105.2
Henry Ellenson,Tor,F-C,24.21,2,19.2,40,17.7,0,4,0.75,5,0.6,9,0.222,0.429,0.476,7.5,6,17.2,2.5,18.9,0,0.5,0,10.1,120.5,96.1
Wayne Ellington,Det,G,33.33,34,23.2,48.4,17.1,8.1,31,0.774,54,0.556,216,0.426,0.622,0.635,10.6,1.8,4.3,1.4,9.6,0.44,0.21,0.74,5.2,118.9,111.4
Joel Embiid,Phi,C-F,27.04,31,32.6,67.9,34.2,12.2,354,0.859,468,0.545,90,0.422,0.559,0.65,29.9,11.5,19.3,3.3,17.4,1.19,1.39,3.19,12.8,123.8,99.5
James Ennis III,Orl,F,30.75,29,22.2,46.3,14,13,53,0.792,88,0.523,70,0.443,0.585,0.626,7.8,4,9.3,1.4,9.1,0.76,0.21,0.93,6.3,119.6,105.6
Drew Eubanks,San,F-C,24.16,27,13,27.1,16.7,16.3,40,0.7,94,0.5,1,1,0.511,0.555,4.6,3.4,13.7,0.9,9.5,0.22,1.04,0.81,7.4,104.9,103.2
Dante Exum,Cle,G,25.71,6,19.4,40.3,12.6,20.7,2,0.5,15,0.533,11,0.182,0.423,0.428,3.8,2.8,8.1,2.2,15.7,0.67,0.33,1.17,5.9,86.4,108.6
Tacko Fall,Bos,C,25.3,11,7.5,15.5,15.1,6.9,11,0.273,22,0.727,0,0,0.727,0.652,3.2,2.7,20.4,0.2,3.7,0,0.91,0.18,6.4,129,98
Derrick Favors,Uta,F,29.71,44,15.8,32.9,13.6,11.8,65,0.738,165,0.642,1,0,0.639,0.668,5.9,5.5,18.4,0.8,7.6,0.52,1,0.59,7.5,137.6,94.1
Cristiano Felicio,Chi,F-C,28.73,9,4.8,10,11.3,26.3,10,0.6,4,0.75,0,0,0.75,0.714,1.3,1.4,16.7,0.6,14.3,0.22,0,0.33,8.6,133.6,107
Terrance Ferguson,Phi,G,22.87,13,3.8,7.9,9.5,36.4,0,0,2,0.5,5,0,0.143,0.143,0.2,0.1,1.1,0.2,4.8,0.08,0,0.31,1.7,,
Bruno Fernando,Atl,F-C,22.62,23,7.3,15.3,12.8,30,16,0.625,26,0.462,2,0,0.429,0.485,1.5,2.8,20.8,0.4,7.1,0.09,0.13,0.65,6.5,88.1,101.2
Yogi Ferrell,Cle,G,20,2,20.3,42.2,26.6,12.1,2,0,12,0.417,9,0.333,0.452,0.434,9.5,3.5,9.6,2.5,20.5,1.5,0.5,1.5,8.6,90.5,104.6
Dorian Finney-Smith,Dal,F,27.9,34,31.3,65.1,11.5,8,25,0.84,88,0.591,154,0.351,0.55,0.567,8.4,5.1,8.9,1.6,6.7,0.85,0.35,0.65,5.2,119.2,108.6
Malachi Flynn,Tor,G,22.89,22,9.9,20.7,15.9,9.9,8,0.625,31,0.387,38,0.184,0.326,0.345,2.3,1,5.3,1.3,17.5,0.23,0,0.36,5.8,82.2,112.3
Bryn Forbes,Mil,G,27.69,45,19.1,39.7,18.2,7,34,0.765,118,0.475,213,0.446,0.6,0.611,9.4,1.3,3.5,0.6,4.4,0.22,0,0.58,4.1,115.7,111.9
Trent Forrest,Uta,G,22.8,12,4.3,9,12.3,33.6,2,1,7,0.429,2,0,0.333,0.405,0.7,0.5,6.1,0.8,24,0.17,0,0.42,6.1,87.1,105.7
Evan Fournier,Orl,G-F,28.41,26,30.3,63,26.2,11.3,123,0.797,181,0.536,188,0.388,0.56,0.604,19.7,2.9,5,3.7,20.6,1.04,0.35,2.08,7.9,114.2,108.8
De'Aaron Fox,Sac,G,23.28,46,34.8,72.5,30.4,12.4,318,0.704,600,0.552,256,0.332,0.536,0.573,24.8,3.4,5.4,7.2,32.7,1.37,0.48,3.07,9.7,113.6,113.4
Tim Frazier,Mem,G,20,3,10.8,22.6,14.2,27.3,0,0,6,0.333,2,0,0.25,0.25,1.3,1.3,6.6,2.3,26.2,0.33,0,1,5.8,67.1,101.7
Markelle Fultz,Orl,G,22.84,8,26.9,56,26.2,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6,5.4,32.7,1,0.25,2.25,8.9,96.3,107
Wenyen Gabriel,Nor,F,24.01,6,3.3,6.8,17.2,38.1,2,0.5,3,0,1,0,0,0.102,0.2,1.2,20.1,0.3,11.5,0,0,0.5,5,,
Daniel Gafford,Chi,F-C,22.49,31,12.4,25.8,14.2,17.3,41,0.659,87,0.69,0,0,0.69,0.7,4.7,3.3,14.9,0.5,6.1,0.35,1.1,0.71,6.4,127.8,100.2
Daniel Gafford,Was,F-C,22.49,2,14.2,29.6,26.6,16.5,5,0.8,13,0.769,0,0,0.769,0.789,12,5.5,20.5,0,0,0.5,2.5,1.5,0,129.7,107.6
Danilo Gallinari,Atl,F,32.64,34,23.4,48.7,21.4,8.6,107,0.935,137,0.453,175,0.4,0.535,0.604,12.8,3.7,8.7,1.5,9.5,0.56,0.21,1,7.1,119.2,107.5
Langston Galloway,Pho,G,29.31,33,11,23,16.8,8,17,1,49,0.51,70,0.457,0.613,0.644,4.9,1,5.2,0.7,8.8,0.18,0,0.33,5.5,122.3,109.2
Darius Garland,Cle,G,21.17,38,33.2,69.2,24.4,16.1,91,0.835,387,0.457,168,0.399,0.5,0.53,16.6,2.3,3.9,5.7,28.4,1.13,0.08,3,7.2,102.1,111.8
Marc Gasol,Lal,C,36.16,38,19.8,41.3,11.6,18,42,0.786,53,0.491,93,0.355,0.517,0.559,4.8,3.9,11,2,12.9,0.5,1.21,0.95,6.8,110.5,96.4
Rudy Gay,San,F-G,34.62,37,21.6,44.9,23.3,9.4,59,0.78,204,0.426,155,0.387,0.493,0.52,10.8,4.9,12.1,1.5,10.4,0.78,0.57,1.08,8,101.3,103.9
Paul George,Lac,F,30.91,36,33.5,69.7,28.7,14.6,136,0.882,337,0.51,270,0.426,0.568,0.607,22.5,6.3,10.5,5.5,25.6,1.14,0.47,3.17,11,114.9,106.6
Taj Gibson,Nyk,F,35.77,20,19.2,40,10.2,13.4,28,0.607,52,0.635,13,0.231,0.577,0.595,4.6,4.9,13.5,0.7,4.7,0.5,0.7,0.6,5.2,122,100.2
Harry Giles III,Por,F-C,22.94,23,11.8,24.7,14.1,19.1,18,0.722,55,0.418,9,0.333,0.43,0.473,3,4.9,22.1,0.9,10.3,0.22,0.43,0.74,8,102.9,98.5
Shai Gilgeous-Alexander,Okc,G-F,22.72,35,33.7,70.2,28.4,13.7,229,0.808,395,0.547,170,0.418,0.571,0.623,23.7,4.7,7.4,5.9,31.1,0.77,0.66,3.03,10.3,117.1,109.4
Anthony Gill,Was,F,28.45,13,5.5,11.6,9.7,17.9,4,0.75,4,0.75,8,0.125,0.375,0.436,0.9,1.5,14,0.3,6.8,0.23,0.15,0.23,5.4,91.9,110.3
Rudy Gobert,Uta,C,28.76,46,30.7,64,17.7,12.5,268,0.616,391,0.655,3,0,0.65,0.661,14.7,13.4,23,1.2,5.8,0.5,2.96,1.59,8.1,128.6,99.3
Brandon Goodwin,Atl,G,25.49,29,10.6,22,20.1,11.2,24,0.708,59,0.407,57,0.281,0.414,0.446,3.9,1,5,1.5,20.6,0.38,0,0.55,6.8,98.1,109.7
Aaron Gordon,Orl,F,25.54,25,29.4,61.3,23.9,16.5,105,0.629,181,0.475,112,0.375,0.509,0.537,14.6,6.6,11.7,4.2,22.7,0.64,0.8,2.68,10.1,103,107.9
Aaron Gordon,Den,F,25.54,1,20.7,43.1,19,0,0,0,5,1,4,0.25,0.722,0.722,13,2,5.5,1,7.9,1,0,0,5.7,142,111.9
Eric Gordon,Hou,G,32.26,27,29.2,60.9,25.3,10.9,114,0.825,157,0.573,210,0.329,0.527,0.577,17.8,2.1,3.9,2.6,14.9,0.52,0.48,1.89,6.3,108.4,113.3
Devonte' Graham,Cha,G,26.1,35,30.3,63,20.2,10.8,90,0.811,126,0.365,281,0.381,0.507,0.544,13.9,2.6,4.6,5.1,24.5,0.86,0.06,1.54,7.5,113.8,113.4
Jerami Grant,Det,F,27.05,43,35.1,73.1,27.8,9,273,0.868,476,0.466,277,0.35,0.488,0.557,22.6,4.9,7.8,2.8,13.8,0.72,1.09,2,7.7,109.6,109.1
Danny Green,Phi,G,33.77,46,28.7,59.8,14.2,11.8,24,0.708,84,0.44,293,0.406,0.572,0.578,9.7,3.6,6.9,1.6,7.6,1.33,0.85,1.13,5.3,110.8,104.9
Draymond Green,Gol,F,31.07,40,30,62.6,12.8,31,53,0.774,147,0.476,79,0.266,0.449,0.489,6.1,6.4,11.3,8.5,36.2,1.4,0.78,2.8,9.2,105.3,101.5
JaMychal Green,Den,F-C,30.77,34,19.1,39.8,19.3,11.2,38,0.842,111,0.514,127,0.402,0.561,0.587,8.8,5.4,16,0.8,5.9,0.56,0.32,0.94,7,115.3,99.4
Javonte Green,Bos,G-F,27.69,25,13.8,28.8,12.1,13.4,30,0.667,49,0.653,22,0.318,0.599,0.624,4.2,2.1,8.4,0.4,4.2,0.72,0.08,0.52,4.4,119.6,107.1
Javonte Green,Chi,G-F,27.69,2,11.6,24.1,14.8,37.5,0,0,4,0.25,1,0,0.2,0.2,1,3,14.4,0.5,5.2,1,1,1.5,3.9,48.8,97
Jeff Green,Bro,F,34.59,43,26.8,55.7,13.8,9.3,83,0.759,156,0.564,139,0.417,0.593,0.623,9.6,3.8,7.9,1.4,6.7,0.56,0.35,0.79,5.5,120.3,111
Josh Green,Dal,G,20.37,23,11,22.9,12.6,19.5,13,0.538,37,0.595,15,0.133,0.481,0.494,2.5,1.9,9.3,0.5,6.3,0.22,0.09,0.61,4.9,95.9,110.8
Blake Griffin,Det,F,32.04,20,31.3,65.2,19.6,11.4,62,0.71,98,0.429,124,0.315,0.453,0.491,12.3,5.2,9.3,3.9,18.7,0.7,0.1,1.6,8,101,108.6
Blake Griffin,Bro,F,32.04,4,18.3,38.1,15.4,11.6,11,0.636,12,0.667,6,0.5,0.694,0.701,8,4,12.2,1.8,12.9,0.75,0.25,0.75,8.4,134.6,97.7
Kyle Guy,Sac,G,23.63,19,7.6,15.8,18.3,4.9,10,0.8,23,0.435,31,0.323,0.463,0.497,3.1,1.1,8.1,1,17.5,0.21,0,0.16,7.9,112.4,111.6
Rui Hachimura,Was,F,23.14,38,31.5,65.7,17.9,8.9,121,0.769,316,0.528,102,0.333,0.522,0.561,13.9,6,10,1.6,7,0.79,0.08,1.21,6.5,108.8,110.2
Ashton Hagans,Min,G-F,21.73,2,2.1,4.3,10.2,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.5,0,,
Tyrese Haliburton,Sac,G,21.08,41,30.2,62.9,17.5,12.4,38,0.868,212,0.552,215,0.423,0.594,0.608,13.2,3.3,6.1,5,22.9,1.29,0.56,1.54,8,121.4,117.3
Josh Hall,Okc,F,20.47,9,10.4,21.6,21.2,19.8,17,0.471,16,0.375,13,0.154,0.31,0.356,2.9,1.7,8.4,1,13.3,0,0,1,6.5,69.3,103.9
R.J. Hampton,Den,G,20.14,25,9.3,19.4,14.3,14.4,12,0.75,42,0.476,18,0.278,0.458,0.49,2.6,2,12.2,0.6,7.6,0.2,0.08,0.44,6.3,99.6,106.2
R.J. Hampton,Orl,G,20.14,1,17.2,35.8,26.3,19.2,1,1,6,0.5,2,0.5,0.563,0.592,10,3,9.1,1,10.2,1,0,2,7.2,102.6,109.3
Tim Hardaway Jr.,Dal,G-F,29.04,44,29.3,61,23,6,107,0.785,244,0.529,335,0.397,0.567,0.592,16.8,3.4,6.4,1.8,9.3,0.5,0.14,0.91,6.4,115.7,112.7
James Harden,Hou,G,31.59,8,36.3,75.5,28.7,17.4,60,0.883,63,0.556,72,0.347,0.537,0.613,24.8,5.1,7.5,10.4,47.9,0.88,0.75,4.25,12.1,118.4,112.1
James Harden,Bro,G,31.59,32,38.7,80.5,28.9,16.6,249,0.863,325,0.545,251,0.367,0.547,0.616,26.4,9,13,11.4,43.8,1.34,0.72,4.25,14.4,122.1,108.1
Maurice Harkless,Mia,F-G,27.89,11,11.2,23.4,6.1,17.8,2,0,2,0,11,0.455,0.577,0.54,1.4,1.2,5.9,0.6,7.5,0.18,0.36,0.27,3.6,104.4,102.9
Maurice Harkless,Sac,F-G,27.89,2,12.9,26.9,18.3,18.2,0,0,4,0.5,5,0.6,0.722,0.722,6.5,1,4.3,1,11,0,0,1,5.8,118.1,117.8
Jared Harper,Nyk,G,23.54,3,2.4,5,23.7,51.5,2,1,1,0,0,0,0,0.532,0.7,0,0,0,0,0,0,0.67,0,,
Montrezl Harrell,Lal,F-C,27.17,47,25.3,52.7,21.7,8.9,185,0.697,449,0.65,9,0,0.638,0.661,15.2,6.8,14.9,1.1,7.1,0.72,0.79,1.13,7.7,128.5,100.1
Gary Harris,Den,G,26.54,19,30.6,63.8,13.8,7.6,30,0.733,81,0.556,75,0.32,0.519,0.544,9.7,2.5,4.6,1.7,7,0.89,0.21,0.74,4.5,112.2,112.4
Jalen Harris,Tor,G,22.63,4,3.5,7.3,15.3,20,0,0,2,0,2,0.5,0.375,0.375,0.8,0.8,11.7,0.5,18.9,0.25,0,0.25,7.8,,
Joe Harris,Bro,G-F,29.56,47,30.7,63.9,15.9,7.2,43,0.721,160,0.556,311,0.486,0.67,0.676,14.1,3.4,6.3,1.7,7.7,0.64,0.21,0.81,5.6,127.3,111.5
Shaquille Harrison,Uta,G,27.48,17,3.3,6.8,21.2,18.1,6,0.833,18,0.333,2,0,0.3,0.375,1,0.5,8.5,0.5,21.5,0.12,0,0.29,7.6,,
Tobias Harris,Phi,F,28.71,41,34.2,71.2,23.8,10.1,145,0.897,487,0.552,154,0.409,0.567,0.608,20.9,7.6,12.2,3.7,17.2,0.9,0.8,1.93,9.8,119.5,104.6
Isaiah Hartenstein,Den,C-F,22.9,30,9.1,18.9,18.8,18,36,0.611,80,0.513,0,0,0.513,0.543,3.5,2.8,17.8,0.5,7.4,0.37,0.67,0.7,7.5,109,90.7
Josh Hart,Nor,G,26.07,46,28.3,59,13.6,11.1,83,0.771,145,0.586,187,0.332,0.536,0.57,9.1,7.8,15.4,2.3,10.3,0.83,0.26,1,7.7,117.3,107.2
Jaxson Hayes,Nor,C-F,20.85,34,13.4,27.9,13.5,15.3,51,0.765,99,0.727,0,0,0.727,0.753,5.4,3.4,14.4,0.5,5.4,0.32,0.47,0.65,6.3,135.3,103.3
Killian Hayes,Det,G,19.67,7,21.1,44,19.2,26.2,2,0.5,27,0.296,20,0.25,0.33,0.334,4.6,1.1,3,3.6,24.3,0.29,0,2.43,5,69.1,108.3
Gordon Hayward,Cha,F,31.02,41,34.4,71.6,23.7,11,171,0.848,424,0.502,196,0.408,0.537,0.583,19.8,5.7,9.1,4.1,18.9,1.24,0.34,2.1,9,114.4,110.5
Juancho Hernangomez,Min,F,25.5,28,17.3,36.1,16.5,7.4,44,0.659,73,0.562,84,0.333,0.529,0.553,7,4.4,13.7,0.6,4.8,0.43,0.07,0.5,6.1,111,112.1
Willy Hernangomez,Nor,C-F,26.84,25,15.8,33,16.6,7.1,42,0.595,118,0.542,7,0.143,0.524,0.544,6.2,6.2,21.7,1.2,10.1,0.32,0.44,0.44,9.1,124.3,109.1
Tyler Herro,Mia,G,21.19,36,31.9,66.6,24.1,12.8,91,0.835,291,0.478,209,0.325,0.482,0.517,15.5,5.3,9.2,3.6,18.1,0.67,0.36,2.19,8.4,98.8,108.9
Buddy Hield,Sac,G,28.28,47,34.9,72.7,20.4,10.4,74,0.851,181,0.436,488,0.385,0.54,0.559,16.7,4.6,7.3,3.2,12.5,0.77,0.34,1.72,7.2,108.2,114.6
George Hill,Okc,G,34.9,14,26.3,54.9,16.9,8.4,25,0.84,63,0.619,57,0.386,0.6,0.63,11.8,2.1,4.1,3.1,18.1,0.86,0.14,0.86,6.5,125.6,113.5
Solomon Hill,Atl,F,30.03,45,18.9,39.4,10.8,12.7,21,0.857,42,0.452,134,0.328,0.483,0.507,4.2,2.2,6.4,0.8,5.9,0.69,0.16,0.6,4.1,102.6,108.3
Nate Hinton,Dal,G-F,21.81,10,3.9,8.2,29,15.6,6,0.667,13,0.462,6,0.167,0.395,0.439,1.9,0.3,4.2,0.4,15.2,0.4,0.1,0.4,6.3,,
Aaron Holiday,Ind,G,24.49,43,17.4,36.2,19.5,9.4,45,0.756,166,0.404,121,0.331,0.443,0.469,6.7,1.2,3.8,1.7,13.1,0.63,0.12,0.74,5.5,95.5,108.5
Jrue Holiday,Mil,G,30.8,35,31.4,65.4,20.9,12.1,67,0.821,286,0.559,166,0.38,0.563,0.586,16.1,4.4,7.4,5.1,22.8,1.77,0.51,1.89,9.1,118.8,107.8
Justin Holiday,Ind,F-G,31.98,45,32,66.6,14.2,8.2,62,0.79,111,0.523,296,0.395,0.574,0.594,11.5,3.8,6.6,1.7,7.2,1.24,0.36,0.87,5.3,114.3,110.2
Richaun Holmes,Sac,F,27.46,43,30.4,63.3,16.7,10.4,114,0.807,397,0.655,8,0.25,0.649,0.679,14.4,9,16.4,1.8,8.4,0.7,1.7,1.23,8.1,132.3,106.7
Rodney Hood,Por,G-F,28.44,38,19.1,39.8,14.1,13.1,12,0.75,117,0.41,84,0.298,0.425,0.436,4.7,1.9,5.4,1.2,8.7,0.53,0.11,0.82,4.6,91.3,114.2
Rodney Hood,Tor,G-F,28.44,3,21.9,45.6,12.6,10.4,5,1,6,0.667,9,0.333,0.567,0.64,7.3,1.3,3.4,0,0,0.33,0.33,0.67,0,115.5,113.3
Al Horford,Okc,C-F,34.82,28,27.9,58.2,22.2,7.3,22,0.818,208,0.51,152,0.368,0.528,0.538,14.2,6.7,12.6,3.4,20,0.89,0.93,1.04,9.8,110.2,106.5
Talen Horton-Tucker,Lal,G,20.34,43,18.7,38.9,21.1,15.2,66,0.833,219,0.521,82,0.244,0.478,0.52,8,2.7,7.9,2.3,18.1,0.79,0.47,1.37,7.9,100.8,97.4
Danuel House Jr.,Hou,F-G,27.81,28,27.8,58,15,9.5,51,0.667,100,0.47,126,0.357,0.507,0.529,9.4,4,7.7,2,10.7,0.68,0.46,0.93,6.1,106.1,109.7
Dwight Howard,Phi,C-F,35.31,46,17.1,35.6,18.5,24,135,0.548,186,0.591,14,0.286,0.58,0.59,6.7,8.1,26.1,0.7,6,0.43,0.93,1.78,7.9,105.8,88.8
Markus Howard,Den,G,22.07,22,3.4,7.2,27.6,12.5,2,0.5,12,0.333,29,0.172,0.28,0.287,1.1,0.3,5.3,0.4,13.5,0.09,0,0.27,6,,
Kevin Huerter,Atl,G-F,22.59,46,31.2,65,16.9,10.5,44,0.841,218,0.477,264,0.364,0.515,0.532,11.6,3.5,6.2,3.5,16.4,1.22,0.24,1.28,6.7,110.5,108.9
Elijah Hughes,Uta,G,23.06,10,3.8,8,27.8,20.2,4,0.75,5,0.4,13,0.385,0.528,0.557,2.2,0.6,8.3,0.4,15.5,0.1,0.1,0.5,8.5,,
De'Andre Hunter,Atl,F-G,23.32,20,31.2,65.1,19.6,9.5,75,0.867,136,0.596,87,0.356,0.572,0.625,16,5.1,8.9,2.1,10.4,0.9,0.5,1.35,7.1,121.9,107.3
Chandler Hutchison,Chi,F-G,24.92,7,9.1,18.9,16.1,20.9,2,1,15,0.267,3,0.333,0.306,0.344,1.9,2.9,17.4,0.6,7.9,0.14,0,0.71,6.5,67.3,97.7
Serge Ibaka,Lac,F,31.53,39,23.6,49.1,19.8,10.7,45,0.822,239,0.577,108,0.352,0.562,0.582,10.9,6.7,16,1.7,10.8,0.23,1.18,1.13,8.5,117.1,105.7
Andre Iguodala,Mia,G-F,37.17,43,21.3,44.3,11.3,18.6,31,0.613,42,0.524,132,0.333,0.506,0.52,4.5,3.8,9.9,2.1,13.8,1.05,0.42,1,6.2,102.6,104.9
Ersan Ilyasova,Uta,F,33.87,4,4.3,8.9,15,16.7,0,0,1,1,4,0,0.2,0.2,0.5,0.5,6.2,0.3,7.3,0,0,0.25,3.9,57.9,97.1
Joe Ingles,Uta,F-G,33.49,42,26.5,55.3,15.7,15.5,53,0.868,91,0.648,230,0.491,0.712,0.73,12,3.7,7.3,4.3,23.1,0.64,0.21,1.5,8.7,137,105.7
Brandon Ingram,Nor,F,23.57,46,34.4,71.7,27.9,10.6,234,0.876,539,0.521,285,0.386,0.541,0.592,23.8,4.9,8,4.7,21.5,0.63,0.7,2.39,9.5,117.4,113.3
Kyrie Irving,Bro,G,29.02,32,35.5,74,30.4,9.2,131,0.893,437,0.581,227,0.401,0.588,0.622,28.1,4.9,7.7,5.6,26.9,1.25,0.59,2.28,10.3,122.3,109.6
Wes Iwundu,Dal,F,26.28,23,12.5,26.1,9.9,9.4,14,0.857,29,0.483,23,0.13,0.356,0.421,2.1,1.9,8.4,0.4,4.4,0.39,0.13,0.26,3.7,92.2,106.9
Frank Jackson,Det,G,22.9,17,12.8,26.6,20.6,14.7,19,0.842,37,0.432,42,0.429,0.544,0.584,6,1.5,6.4,0.7,8.8,0.29,0,0.88,5.8,104.1,108
Josh Jackson,Det,G-F,24.13,41,24.6,51.2,26.2,14.7,140,0.721,287,0.502,168,0.274,0.468,0.51,12.9,4.1,9.3,2.1,14.3,0.9,0.8,2.17,7.8,96.1,102.7
Justin Jackson,Okc,F,26.01,30,16.4,34.1,20,12.9,33,0.848,87,0.54,95,0.305,0.497,0.532,7,2.2,6.9,1.5,14.3,0.43,0.07,0.97,6.9,102.1,109.7
Reggie Jackson,Lac,G,30.95,45,21.1,43.9,19.3,11.6,54,0.778,183,0.486,159,0.428,0.558,0.58,9.4,2.6,7,2.9,19.2,0.56,0.07,1.07,7.8,116.2,106.3
Justin James,Sac,G-F,24.18,23,6.3,13.1,14.9,9.9,12,0.417,24,0.5,16,0.313,0.488,0.486,1.9,0.5,4.2,0.5,10.7,0.13,0.04,0.22,5,100.7,117.7
LeBron James,Lal,F,36.25,41,33.9,70.5,31.7,15,239,0.703,489,0.593,266,0.368,0.579,0.606,25.4,7.9,12.9,7.9,40.9,1.05,0.59,3.71,13.8,114.8,102.4
DaQuan Jeffries,Sac,G-F,23.58,17,13.4,28,12.6,10.4,7,0.857,29,0.517,28,0.321,0.5,0.524,3.7,1.6,6.6,0.3,2.8,0.41,0.24,0.41,3.6,102.7,112.2
Ty Jerome,Okc,G-F,23.73,14,26.1,54.4,15.3,10.9,9,0.556,42,0.476,69,0.449,0.599,0.6,9.9,3.1,6.3,3.5,20.1,0.86,0.14,1,7.3,119,107.2
Isaiah Joe,Phi,G,21.74,23,11.1,23.1,15.5,5.4,5,1,20,0.35,66,0.364,0.5,0.516,4,1.1,5.6,0.7,7.9,0.3,0.17,0.22,5.2,109.8,104.5
Alize Johnson,Bro,F,24.94,1,33,68.8,21.7,6.1,1,1,14,0.786,1,0,0.733,0.745,23,15,25.4,3,16.3,2,0,1,12.3,149.6,107.6
Cameron Johnson,Pho,F,25.07,39,23.4,48.8,17.3,7.9,37,0.865,99,0.566,212,0.373,0.561,0.582,9.8,3.3,7.8,1.4,8,0.59,0.33,0.72,6.1,113,107.4
James Johnson,Dal,F,34.1,29,17.4,36.2,16.3,14.6,29,0.586,85,0.612,60,0.25,0.514,0.526,5.7,3,9.4,1.7,13.8,0.83,0.79,0.93,7.1,103.7,102.4
Keldon Johnson,San,F-G,21.47,41,28.9,60.3,19.9,8.7,126,0.77,328,0.518,109,0.33,0.513,0.553,13.3,6.4,11.6,1.9,9.6,0.59,0.54,1.15,7.5,111.4,106.3
Stanley Johnson,Tor,F-G,24.83,41,14.1,29.4,10.6,19.7,18,0.778,36,0.417,70,0.371,0.509,0.535,3,2.1,8.4,1.1,10.8,0.71,0.29,0.68,5.4,103.3,103
Tyler Johnson,Bro,G,28.89,28,16.6,34.6,13.6,6.2,19,0.842,38,0.447,90,0.367,0.52,0.546,5.3,1.9,6.5,1,7.4,0.43,0,0.32,5.2,111.9,111.6
Nikola Jokic,Den,C,26.11,46,35.7,74.3,29.1,12.5,219,0.868,691,0.605,166,0.428,0.612,0.65,26.9,11.1,17.7,8.5,39.8,1.59,0.65,2.96,15.3,131.3,105.1
Derrick Jones Jr.,Por,F,24.12,42,26.2,54.6,12.4,8.5,75,0.653,141,0.631,115,0.33,0.57,0.59,8.1,4.3,8.7,0.9,4.8,0.76,1.07,0.64,4.8,122.6,111.7
Damian Jones,Pho,C,25.75,14,6.7,13.9,12.8,22.4,11,0.545,15,0.533,1,0,0.5,0.528,1.6,1.3,10.8,0.3,5.4,0.07,0.36,0.43,5.1,100.1,91.7
