,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Lonzo Ball,Nor,G,23.42,38,31.7,66.1,19.7,13.7,43,0.767,165,0.497,296,0.385,0.549,0.562,14.2,4.2,7.3,5.6,24.1,1.32,0.55,2,8.8,113.4,111.4
Mo Bamba,Orl,C,22.88,24,11,22.9,20.8,7.9,18,0.556,68,0.588,41,0.268,0.518,0.526,5.1,4,19.1,0.4,6.2,0.13,0.96,0.42,7.3,107.4,98.8
Desmond Bane,Mem,G,22.76,40,22.4,46.6,16.2,11.6,30,0.833,139,0.518,153,0.458,0.606,0.621,9.5,2.9,6.9,1.3,8.2,0.68,0.15,1,5.9,113.3,106.3
Harrison Barnes,Sac,F,28.83,44,35.9,74.9,17,10.3,190,0.826,298,0.564,182,0.363,0.556,0.613,15.7,6.5,10.1,3.6,13.3,0.7,0.16,1.48,8,122.6,118
RJ Barrett,Nyk,F-G,20.79,47,34.1,70.9,24.1,10.7,193,0.731,534,0.478,165,0.333,0.483,0.52,17.4,6.1,9.6,3.1,15.1,0.72,0.23,2,8.1,104.6,104.4
Will Barton,Den,G,30.23,43,30.9,64.4,18.9,12.5,76,0.737,272,0.474,197,0.376,0.512,0.533,12.5,4.1,7.5,3,13.2,0.88,0.49,1.67,6.9,105.7,112.3
Keita Bates-Diop,San,F,25.18,16,7.4,15.4,13.8,2.7,10,0.7,17,0.353,15,0.333,0.422,0.467,2.1,1.3,8.9,0.4,7.8,0.38,0.06,0.06,5.6,107.3,109.3
Nicolas Batum,Lac,G-F,32.29,45,28.7,59.7,11.7,10,46,0.848,92,0.543,194,0.428,0.61,0.633,8.6,4.8,9.4,2.3,10.5,1.13,0.36,0.76,6.4,128.2,108
Aron Baynes,Tor,C-F,34.31,44,18.3,38.1,16.2,11.9,34,0.735,167,0.521,84,0.238,0.466,0.487,5.9,5.1,15.3,0.9,7.2,0.27,0.41,0.82,6.6,102.4,103.7
Kent Bazemore,Gol,G-F,31.75,45,16.3,34.1,16.5,17.2,44,0.682,110,0.509,107,0.393,0.548,0.567,6,2.9,9.3,1.5,12.9,0.8,0.51,1.09,7.3,101.3,99.9
Darius Bazley,Okc,F-G,20.8,36,30.7,63.9,19.7,12.6,81,0.704,217,0.479,186,0.29,0.459,0.487,11.9,7.5,12.8,1.5,7.4,0.5,0.64,1.75,6.7,91.1,110.6
Bradley Beal,Was,G,27.75,41,35.5,73.9,34.5,11.3,328,0.902,660,0.544,266,0.338,0.533,0.6,31.3,5,7.5,4.8,24.1,1.2,0.37,3.34,10.2,113.9,110.7
Malik Beasley,Min,G,24.34,35,33,68.7,24.4,8.8,74,0.851,271,0.498,308,0.396,0.549,0.571,20,4.5,7.3,2.5,12.5,0.83,0.17,1.69,7.4,108.9,114.9
Jordan Bell,Was,F,26.23,3,16.6,34.6,15,16.7,0,0,13,0.385,2,0,0.333,0.333,3.3,5.3,17,1.7,13.1,0.33,1,1,7.5,83.7,107.5
DeAndre' Bembry,Tor,G-F,26.74,32,17.1,35.7,12.7,20.4,25,0.68,90,0.6,28,0.321,0.572,0.589,4.8,2.4,7.7,1.9,15.8,0.66,0.31,1.03,6.5,109.6,108.1
Davis Bertans,Was,F,28.38,35,24.7,51.4,16.3,6.2,68,0.853,34,0.441,254,0.382,0.557,0.596,10.8,2.9,6.3,0.9,4.7,0.6,0.23,0.6,4.9,115.7,108.5
Patrick Beverley,Lac,G,32.71,29,23.8,49.5,14.5,12,39,0.795,62,0.484,119,0.42,0.58,0.608,8.3,3.7,8.7,2.1,11.4,0.86,0.79,0.93,6.7,121.7,100.5
Saddiq Bey,Det,F,21.97,44,24.9,51.9,17.6,7.2,79,0.873,118,0.441,258,0.395,0.545,0.583,10.9,4.2,9.3,1.3,8.2,0.61,0.11,0.73,6.3,115.1,108.9
Tyler Bey,Dal,F,23.13,9,3.5,7.3,17.9,0,4,0.5,10,0.3,1,0,0.273,0.313,0.9,1.2,19,0.1,4.2,0,0.11,0,5.4,,
Khem Birch,Orl,C,28.5,45,20.3,42.2,12.1,8.3,85,0.741,176,0.489,20,0.2,0.469,0.529,5.5,5.3,13.6,1.1,7.8,0.67,0.62,0.47,6.3,122.5,107.9
Goga Bitadze,Ind,C-F,21.69,26,9.5,19.8,18.9,9.2,26,0.692,58,0.638,29,0.207,0.529,0.559,4.2,2.4,14.2,0.3,4.6,0.19,1.08,0.38,6.1,113.7,98.4
Bismack Biyombo,Cha,C,28.58,43,21.7,45.2,11.3,17.9,72,0.486,169,0.58,1,0,0.576,0.573,5.4,5.3,13.4,1.3,8.5,0.28,1.14,1.02,6.2,114.4,105.2
Nemanja Bjelica,Sac,F,32.89,26,16.9,35.2,19.2,14.3,42,0.762,92,0.565,58,0.293,0.517,0.555,7.2,3.8,12.6,1.9,15.1,0.31,0.08,1.08,8.8,110.2,109.6
Eric Bledsoe,Nor,G,31.31,45,29.6,61.6,17.7,12.3,99,0.657,224,0.469,218,0.367,0.509,0.53,11.4,3.4,6.3,3.8,17.3,0.71,0.29,1.51,7.1,108.7,113.7
Keljin Blevins,Por,G,25.35,9,5.2,10.9,12.9,21.4,0,0,7,0.286,4,0,0.182,0.182,0.4,0.2,2.3,0.4,10.7,0.22,0,0.33,2.4,47.4,113.7
Bojan Bogdanovic,Uta,F,31.95,46,30.1,62.6,20.4,10.2,139,0.871,243,0.444,286,0.385,0.516,0.565,14.5,3.8,6.7,1.9,9.1,0.48,0.04,1.46,6.3,111.8,107.4
Bogdan Bogdanovic,Atl,G,28.61,21,23.3,48.5,19.2,9.2,15,0.933,70,0.543,121,0.339,0.521,0.539,10.1,3.1,7.4,2.3,14.7,0.57,0.19,0.95,7.1,110,108.1
Bol Bol,Den,C-F,21.37,20,5.3,11.1,19.7,18.7,7,0.571,18,0.556,18,0.5,0.653,0.653,2.6,0.8,8.5,0.3,7.8,0.1,0.3,0.45,6.4,104.3,105.8
Marques Bolden,Cle,C,22.95,6,4.8,9.9,12.9,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1,11.6,0,0,0.33,0.33,0.33,0,99.7,115.6
Jordan Bone,Orl,G,23.4,14,14,29.2,12.6,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.4,1.3,13.4,0.14,0,0.21,5.9,112.9,111.7
